user_name,user_rank,num_response,user_star,time,rating,content
장정우,2,5,5.0,2024.03.30.,5.0,
Daily,2,1,5.0,2024.01.21.,5.0,고기가 너무 부드럽고 오겹살은 정말 너무 맛있습니다 직원들이 전부 구우줘서 먹기 너무 편했어요 또 방문하겠습니다
이태호,2,1,5.0,2024.01.21.,5.0,고기가 신선하고 오겹살 너무 맛있어요!!^^
산,2,2,3.0,2024.01.07.,1.0,"To whom may it may concern, 1 year ago when i visited  foods were delicious and every staffs were nice but not this time! 왠만하면 후기 안 쓰는데 오늘 먹고나서 완전 실망해서 여러분들을 위해서 씁니다. 작년 이맘때쯤 먹었는데, 직원분들도 친절하시고, 맛있게 재밌게 먹고 나왔습니다. 지금은 외국인이 많아서 그런지 맛도 변했고, 사장님은 불친절합니다. 정말 불친절해요. 다시는 안 갑니다"
Andrew Gan,2,1,1.0,2023.12.28.,1.0,Service is very bad. Food is average. Not worth the queue.
정화,7,5,4.8,2023.07.29.,4.0,여기 진짜 맛있는데 언제부턴가 외국인 관광객들 픽 되면서 웨이팅이 너무 심각하게 길어져서 먹지를 못하고있어요......
남기순,20,6,2.3,2023.07.02.,1.0,"진짜 최악임인터넷 유명 맛집이었는데고기 1인분 150그람인가 170그람에 17000원인데우선 초벌구이해온 삼겹살이 5분의 4가 비계였다.직원(아들로 추정)은 땀냄새 풍풍,가위 집게는 직원만 갖고 있어서 다 태우는데도 뒤집지 못하고또 너무 두껍게 대충 썰어줘서 다 익었다고 빼 놓는거 먹었는데 생고기 ㅜㅜ타는데도 계속 안뒤집고 또 탄 솥뚜껑을 닦거나 교체없이그 그을림 위에 다시 생고기를 구움.상추, 파절이, 신김치, 쌈장, 쌈무 딱 1접시씩이 기본 세팅.상추는 5장.추가 요청하니 3장 다시 갖다 줌파채 4명이 갔는데 1접시라 다시 요청을 4번함.그것도 자꾸 까먹어서 6번 요청함.자꾸만 걎다주려했다고 하면서 가지고 옴. 즉 파채 크릇 먹는데 6번 요청함공기빕 시켜도 된장찌개 없음.돈되는 냉면을 국물삼아 시켜 먹음냉면은 그냥 마트서 파는 저렴한 냉면 야채 좋아하는 어른들은 절대.비추임.인스타에 소개글 올림 음료 서비스라는데...좋은 글 옰린다는건 음료수 하나에 매국노가 되는 기뷴이었다.가격 비쌈.서비스꽝맛 하위절대 내돈주고 안감"
뭬시,5,9,3.7,2022.11.30.,5.0,♩♪♩ 맛있는데?
_Lou_,53,221,4.5,2022.11.17.,5.0,할로윈에 방문해서1시간.정도 웨이팅 했어요고기 넘 맛있어요~~~
손시연,29,169,3.5,2022.10.30.,4.0,진짜 맛있어용!!!!
육회장인,3,2,1.0,2022.04.17.,1.0,여기 사장님이 불친절 그냥 툭툭 던지고 설명도 없고 고기맛은 그냥 어딜가도 다 이정도는 하는데  기본이 안되있어요
야호,18,65,2.6,2022.03.22.,1.0,맛없어요
내돈내삶,37,168,3.3,2022.01.10.,2.0,쏘쏘입니다. 멜젓이라도 있었음 괜찮았을 텐데. 아쉽네요.
윤지니,15,30,4.7,2021.10.13.,5.0,목살 야들하고 너무 맛잇어요솔직히 진짜 된찌 존맛소주도 로테이션잘되는지 술술 잘넘어갓어요!
라잇나우,27,130,3.9,2021.07.23.,4.0,흑돼지 치고 싸서 만족했답니다! 냉면까지 클리어!
부넝,27,86,3.4,2021.07.02.,2.0,직원분들 바쁜건 알겠는데 자리 나도 안내도 안해주고 아무 말도 없길래 계속 기다리다가 먼저 말거니 그제서야 안내해주시고.. 고기도 초벌?해서 나오는거라 그런지 하나 나오는데도 너무 늦게 나와요..
붕붕이,31,88,3.1,2021.06.13.,3.0,목살보단 오겹살이 훠얼씬 맛있어요김치찌개도 맛있고파절이도 맛있고냉면은 입맛에 안맞았습니다
맛집투어,2,1,5.0,2020.10.17.,5.0,오 맛집발견 홍대에서 먹은 고기집 중 제일 맛있는거 같아요가운데 마약소스인가 신세계 꼭 드세요 두번드세요
맛집데이터분석가,11,23,3.3,2020.10.03.,4.0,장점 : 고기질도 괜찮고 맛도 좋은편. 위치도 홍대거리에서 지나가다가 발견하기 쉬운 위치단점 : 딱히 없는듯재방문의사 : Y
맛집원정대따봉도치,42,341,4.2,2020.04.21.,4.0,3번 이상 간 집
@,20,170,3.7,2020.04.06.,4.0,굳
기분개구리,32,151,4.2,2020.01.15.,3.0,그냥 무난해요 갈매기보단 오겹살이 더 나은것같아요
!lIlI!IIl!l!lI!lll,15,28,3.5,2019.10.20.,5.0,나름고기매니아 개인적으로 고기퀄리티 최고수준! 너무맛있어요.단점은 가게가 고기를 굽는방식이 좀 별로라 맛을 해한다고 생각해요.
ㅊㅇ,26,89,3.8,2018.08.07.,3.0,돼지고기 맛있음 구워주셔서 더 좋음
블블,68,949,4.1,2017.06.22.,2.0,돼지 냄새 너무 마니 난다ㅜㅠ
