user_name,user_rank,num_response,user_star,time,rating,content
씰푸,12,27,4.4,2024.04.03.,5.0,귀엽고 둥지가 맛있어요!
준레논,30,82,3.6,2024.01.21.,4.0,무난하게 맛있는 닭볶음탕계란찜이 특히 맛있었다
광고면숭실대에서트월킹춤,28,78,3.0,2024.01.17.,4.0,맛남갠적으로 마라보단 기본이 나은듯
면,13,20,4.5,2023.12.20.,5.0,외국인 친구랑 함께 갔는데 너무 좋아하더라구요! 귀여운데 맛있어버림
ㅇㅎ,4,3,3.0,2023.11.11.,5.0,
자면서데굴데굴,4,13,4.6,2023.06.01.,5.0,
마싯는거조아,14,16,4.4,2023.05.15.,5.0,들깨 닭볶음탕 너무 맛있어용 (･ᴗ･̥̥̥) 다음엔.. 위를 늘려서 볶음밥까지 먹는 게 목표입니다.
맛있으면 재주부리는 곰,23,57,4.2,2023.04.30.,5.0,ㅇ데구르르르ㅡ르르르 휘이이이익 쿠오아앙 쿰척쿰척 햐!!!! 오물오물 햐!!!!!! 떼굴떼굴 둠칫둠칫 두둠칫
닐리리야,5,5,4.8,2023.04.30.,5.0,들깨닭볶음탕 맛있어요!들깨가루때문에 감자탕같기도 했는데 너무 짜지도 않고 맵기도 적당해서 맛있게 잘 먹었습니다사진엔 없지만 매운 거 못드시는 분들은 치즈계란찜도 같이 드시면 괜찮을 거예요
dorothy,8,7,3.9,2023.03.06.,4.0,맛있게 먹었습니다.위의 메추리알 닭이 너무 귀여워요.다만 주차가 어려우니 대중교통을 이용하는게 좋아요.
먹자마자,35,182,4.8,2023.02.09.,5.0,#먹자마자 #서울 일기둥지
짱,61,490,4.1,2023.01.15.,3.0,
눈누,13,26,4.2,2023.01.02.,4.0,무난
정서진,3,5,5.0,2022.11.26.,5.0,
드디어,34,152,3.6,2022.10.25.,5.0,찾았다!
차민호,25,49,3.7,2022.09.28.,5.0,꼭 들깨로 먹어야함 … 순살로 시키면 뻑뻑살 아니라서 더 좋음ㅠ
비,21,330,4.6,2022.08.04.,5.0,
푸드릉,15,26,3.7,2022.07.24.,5.0,귀여운데 존맛임
kkang,15,39,3.6,2022.06.30.,2.0,귀여운데 맛있진 않아요
듄그리,5,4,3.0,2022.06.11.,5.0,진짜 맛있어요!!!!!!!!!!!!
맛있는거만좋아함,61,319,3.8,2021.11.28.,5.0,아무생각없이들어갔는데 맛있고 양많아서 놀랐어요! 다음에 또가겠습니다 :)
장현준,65,513,3.6,2021.10.28.,4.0,
릴진수,47,"1,078",3.8,2021.10.10.,5.0,
내돈내산맛집에진심러,27,52,4.4,2021.08.22.,4.0,인스타에서 보고 다녀왔는데 생각보다 맛있어서 놀랐어요!! 원래 인스타 맛집은 잘 안 믿는데 여기는 괜찮더라고요. 가게 내부도 복잡하지 않고 깔끔했습니당:) 사장님도 친절하셨습니다.닭도리탕 자체는 막 너어어어어무 맛있다 이런건 아닌데 되게 깔끔하고 괜찮은 맛이었어요. 닭 특유의 비린내도 안 나고 꽤 괜찮더라고요!! 무엇보다 저 둥지 안의 닭친구가 너무 귀여워서 정말 빨리 깨물어주고 싶었답니다아^ㅅ^ SNS에 올릴 사진도 찍고 닭도리탕도 먹고 싶은 분들에게 추천드리는 집입니다!
동슐랭,51,345,3.6,2021.06.28.,3.0,좀 자극적이라서 내 입맛엔 별로였다젊은 사람들이 좋아할 듯 닭볶음탕에 둥지 올린건 귀여웤ㅅ다
정찰병,28,112,4.3,2021.06.06.,4.0,양은 4인분시키면 3명이 먹을양그거말고 다 맛나요
두띠,23,55,4.6,2021.02.21.,5.0,계란찜과 볶음밥은 필수
지니,9,15,4.6,2020.11.18.,5.0,
hay,12,13,3.8,2020.10.29.,5.0,존맛!!! 강추요
김민수,3,2,5.0,2020.10.03.,5.0,맛있어서 자주이용하고 있습니다..
꿈도리,22,65,3.7,2020.09.15.,5.0,귀여운 모양 뿐 아니라 맛도 정말 맛있어요 사장님도 친절하시고요
.,17,29,4.7,2020.08.14.,5.0,짱 맛있어요 20분만에 흡입했어용 들깨닭도리탕 진짜 진하구 너무 맛있어요ㅠㅠㅠㅠ
JKM,24,94,4.0,2020.07.20.,5.0,그냥 귀여운 맛일줄 알았는데 진지함이 있음일반맛 먹었는데 훌륭함들깨를 추천하셨는데 다음엔 꼭 들깨를 먹어봐야겠음
사냥꾼,54,706,3.2,2020.07.03.,5.0,단짠단짠에 둥지 너무 귀여움ㅋㅋ
YJ,2,1,5.0,2020.04.09.,5.0,닭이 부드럽고 매콤달콤 완전 맛있어요!!홍대 갈 때마다 방문하는 곳!!
SHK,55,495,4.5,2020.03.24.,5.0,닭볶음탕 비주얼과 맛 모두 최고! 게다가 살얼음 진로소주까지!
경포달밤,13,24,3.0,2019.11.09.,5.0,매콤하니 맛나예 술이 술술술들어갑니당
와웅공원,41,349,3.8,2019.11.03.,4.0,닭이 퍽퍽하지 않고 부드럽고 맛있었어요. 1인용은 없어서 조금 아쉬웠어요ㅎ 나중에 기회가 된다면 생겼으면 좋겠어요 또 올게요~'
