user_name,user_rank,num_response,user_star,time,rating,content
lala,2,4,5.0,2024.04.16.,5.0,
이근우,5,234,5.0,2024.04.06.,5.0,
sleeepingfrg,15,20,4.9,2024.03.08.,5.0,맛있어요! 감튀추가 볶음밥 필쑤!!
알로하,11,20,4.0,2024.02.26.,5.0,감자튀김은 여기가 진리인듯!
SOL,32,97,4.3,2024.02.23.,4.0,"맛있지만 양적고 비싸요🥹 한번정도 먹어볼만한 맛이고, 단골이 되기엔 가성비가 매우 떨어집니다,,재방문 의사는 없지만 그래도 직원분들이 친절해서 기분좋게 식사했습니당"
내 맛집은 내가 만드는거야,17,26,4.0,2024.02.17.,4.0,
쵸쵸,3,1,2.0,2024.02.11.,2.0,명절 휴무 공지 왜 업데이트 안해주셨어요...칼바람 뚫고 갔더니 휴무......
김요환입니다,4,14,3.1,2024.02.01.,4.0,
찐빵냥이,15,20,4.2,2024.01.31.,5.0,"떡복이집이 많아도 종종 생각나는 곳, 버갈 필수."
전 뭉치입니다만?,32,88,3.8,2024.01.29.,4.0,"식사 및 음료가 입에 맞았는가?> 떡볶이 맛있었어요. 버터갈릭감자튀김도 안눅눅했어요. 볶음밥도 먹었어야 했는데 배불러서 못먹고 나온게 한임...방문하면서 돈 생각나지 않았는가?> 떡볶이 돈 생각을 하는 건 웃긴 건 같고 여긴 웨이팅이 길잖아요? '웨이팅을 오래하면서 방문할 가치가 있는가?'를 고민해야 할 듯 한데 웨이팅해도 괜찮을 듯 해요. 웨이팅하고 나면 바로 즉석떡볶이가 준비돼있고 금방 익어서 면 먼저먹고 그다음 떡 순으로 먹을 수 있게 바로 음식이 나오니 '생각보다 덜 기다리네?' 하는 느낌도 있었어요.다음에 또 가고싶고 지인에게 추천할 의향이 있는가?> 여기 체인이란 걸 알아야합니다. 10분 정도 걸으면 근처 또보겠지 나오긴 합니다. 거기를 가세요. 웨이팅 극악임ㅅ니다. 워낙 유명해서 추천을 안해도 다 아실 것이라 생각을 해봅니다. 맛있기는 한데 줄을 서서 먹을 정도의 엄청난 맛은 아니거든요. 유명해서 유명한 느낌. 근데 사람은 많아... 기다리면서 먹으니까 너무 맛있어... 그러니까 또 가게 돼... 사장님 뇌 좀 당근해서 비법 좀 알고 싶어요...추가적인 요소(직원친절, 주차, 이벤트, 청결)> 사람들이 줄 서서 기다리는데 안내하는 직원분께서 너무 친절히 대해주셔서 기분 좋게 먹었습니다. 건물 자체가 너무 협소해요. 기다리는데 좀 좁단 생각도 듭니다. 제발 테이블링 좀 해주세요😭+ 오후 3시면 다들 점심 먹었을 시간 아닌가요?ㅠㅠ 다들 간식으로 떡볶이 드시나요ㅠㅠ 주말이라지만 어떻게 웨이팅이 40분이야ㅠㅠㅠ"
💍,25,43,4.5,2024.01.23.,4.0,
찌야,2,6,4.3,2024.01.21.,5.0,
욜,26,96,4.6,2024.01.08.,5.0,또보겠지는 버갈튀와 볶음밥이 찐입니다..👍
ㄹㅇ루다가,31,105,3.5,2024.01.07.,4.0,떡볶이 그닥 안좋아하는데 여긴 인정..!갈릭감튀 꼭 먹어야되구 떡볶이에 만두추가하면 극락입니다
브룬이,31,79,3.7,2023.12.15.,3.0,또보겠지허니버터감자튀김집...✌️
귥,12,17,3.9,2023.11.25.,5.0,8년째 애정하는 맛집! 국물 맛도 여전하고 맛있어요!! 사람들 줄서는데 다 이유가 있고 항상 만족스러워용다만 2인에 야채추가 2단계(깻잎+양배추) 했는데 예전 또떡 기본 2인 사리추가 안한 비주얼이랑 같아서 조금 아쉬웠어요. 워낙 옛날부터 사랑하던 집이라 아쉬운 마음은 어쩔수없음 ㅠ
qwerty,2,3,4.7,2023.10.28.,5.0,
Tasty Road,62,161,4.4,2023.10.25.,5.0,즉떡은 또떡이 진리.주말 웨이팅이 빡시지만 먹는 순간 용서되는 맛.버터갈릭과 볶음밥은 필수.
맛있는건정말참을수없,34,119,3.7,2023.10.15.,4.0,또떡 말해뭐해요 맛있어요 !감튀 최고 !
jj,32,199,3.4,2023.10.11.,5.0,
유정,3,2,5.0,2023.10.11.,5.0,주말이랑 웨이팅이 좀 있었지만 음식이 너무 맛있어서 다 용서되는 맛🤭
멍멍,21,158,3.6,2023.09.17.,3.0,
goo,11,25,4.0,2023.09.15.,4.0,"음식은 맛있는데 대기시간이 너무 길었고, 직원들이 바빠서 주문 누락이 있었는데 재차 말씀드려도 안 나와서 세 번 말함 ㅠㅠ"
..,2,6,4.8,2023.09.09.,5.0,
맛집을찾아서,37,117,3.6,2023.09.02.,3.0,본토핑엔 달걀없으니 참고하세용!달걀2개랑 소세지 추가하고 버갈튀에(양너무적음) 볶음밥먹고 쿨피스하나....이렇게 시켰는데 엄.....분식집에서 3만2천원 쓴거치고는 아쉬워요^^;;줄이 왜 긴거지??하면서 나왔음
민트초코,19,30,5.0,2023.08.30.,5.0,볶음밥 안 드시면 진짜 후회하십니다 반드시 드세요 ‼️‼️
마포구 쩝쩝박사,33,89,3.3,2023.08.29.,4.0,"제발 안 변했으면 하는 곳. 분위기나 맛이나 붕붕허니비 같은 곳입니다웨이팅이 너무 많아져서 포장해서도 먹어봤는데, 포장은 비추에요 그 맛이 안나오더라구요버갈튀 꼭 시키시고, 마지막 볶음밥은 날치치 국룰입니다. 사실 이거 먹으러 가요.국물 국자로 퍼서 노른자 비벼 먹으면 극락이에요 분식집 치곤 살짝 비싼 감이 있지만. 이건 분식이 아니라 요리 입니다요즘 웨이팅이 너무 길어서 문제지만..."
matteopaga,6,6,5.0,2023.08.16.,5.0,Best one in Seoul
삼계탕,24,43,4.9,2023.08.13.,5.0,그저 도른 곳. 아 진짜 너무 맛있고요. 살 찌는 것만이 두려울 뿐… 언제 또 가지?
3점부턴맛있음,22,67,3.2,2023.08.12.,3.0,"떡볶이는 평범함, 감튀랑 볶음밥이 괜찮음"
내가 가는 곳이 곧 맛집,52,465,4.2,2023.08.06.,5.0,7년째 재방문중인 떡볶이집홍대 떡볶이하면 또보겠지를 꼭 가곤 했는데 간만에 왔는데 알바생들 얼마나 친절한지 내가 더 감사했다바쁜 와중에도 웃음을 잃지않고 친절하셔서 감동이였습니다!
😛,3,2,5.0,2023.08.01.,5.0,
마코,16,28,3.9,2023.07.30.,4.0,또보겠지는 버갈튀~
아기새,6,3,4.7,2023.07.22.,4.0,또보겠지는 항상 느끼는데 양이 너무 적어요ㅠㅠ 맛은 있음
.,33,157,4.1,2023.07.10.,4.0,최애 즉석떡볶이..홍대입구역 바로 앞이라 그런가 웨이팅이 특히 심한거 같다ㅜㅎ 그래도 먹어야지
최주뇽,5,10,4.2,2023.07.02.,4.0,맛있는데 저같은 맵찔이한테는 좀 매워요
ny,22,43,4.2,2023.07.01.,4.0,"딱 저녁시간에 가서 웨이팅이 길었지만,,용서가 되는맛 떡볶이보다 감튀랑 볶음밥에 더 환장하면서 먹었어요"
seoullife,36,146,3.6,2023.06.21.,4.0,또떡은 붕붕허니점이 젤 맛잇는 듯
냥복쟁이,66,292,4.1,2023.06.18.,5.0,테이블이 넓어서 좋았고 직원들이 친절함. 다른지점이랑 큰 차이 없었지만 여기가 더 분위기는 괜찮은 듯
밈,10,12,3.8,2023.06.05.,5.0,너무 맛있고 그리움..또 먹고 싶은데 멀어서 못가는 중우리 동네에도 열어주세요
갱,16,24,4.2,2023.05.25.,4.0,웨이팅은 정말 오래지만 또떡은.. 또..가지요..내가 맵찔이가 되가는 건지 옛날버다 매움
눈흘기는강쥐,47,779,3.7,2023.05.24.,5.0,"오픈런해야하는 떡볶이,감튀 맛집.."
리뷰알바 개패버릴라,57,546,3.9,2023.05.23.,5.0,주말에 갔는데 줄이 개길다.. 기본30분은 대기한듯맛있게 잘 먹고간다욤
후닝,52,351,4.6,2023.05.23.,5.0,떡볶이집이 이렇게 웨이팅많은거보고 1차충격… 뭔가 남자들도 맛있게먹을수있는맛임 저 감자가 진짜킬포임 감자안먹으면4개 감자때문에별5개 가끔먹으러갈만한집
