user_name,user_rank,num_response,user_star,time,rating,content
이수민,4,5,4.4,2024.02.25.,5.0,
api_e1,12,21,3.4,2024.02.21.,1.0,떡볶이에서 놀라울정도로 아무 맛이 안남 그냥 무맛이었음 같이 온 일행도 아무 맛이 안난다고 하고.. 주변 사람들은 맛있게 먹길래 우리 테이블만 잘못된건지 진지하게 고민함 떡볶이는 최악 다남겼고 버갈튀는 맛있었음
Cino,11,39,3.9,2024.02.20.,4.0,조금 좁긴했지만 맛있게 잘먹었어요
액션가면,15,24,3.7,2024.02.12.,3.0,앞에서 웨이팅 이름 불러주시는 중국인 STAFF분...제발 서빙만 하시고 이름 부르지 마세요.다들 못 알아들어서 혼선 주시고 답답해서 힘들었어요...
🙈,6,9,2.9,2024.01.10.,3.0,양념이 맛있지만기본양이 너무 적다
문서현,1,2,4.5,2023.12.30.,4.0,
보헤미안,35,260,3.3,2023.11.24.,3.0,맛은 있는데 장소가 협소해서 오래 기다려야 해요.
지슐랭,37,158,3.5,2023.10.30.,3.0,또떡 걍 종종 생각나서 먹으러 옴ㅋㅋ 떡볶이가 막 그렇게 맛있지도 않은데 걍 삼삼한 떡볶이 맛과 버갈이 땡겨서 옴.. 볶음밥은 맛있었던 기억이 있어서 이번엔 양을 많이 시켰는데 걍 쏘쏘..
영하,3,3,4.7,2023.10.20.,5.0,
Sue,1,6,3.7,2023.09.27.,4.0,
지양이⚘️,11,10,4.1,2023.08.29.,4.0,즉석떡볶이 감자튀김 존맛탱.. 근데 웨이팅존이 너무 더워요
전 뭉치입니다만?,32,88,3.8,2023.06.22.,3.0,음식이 입에 맞았는가?-음식이야 뭐 워낙 유명한 곳이라 두말할 거 없이 맛있었습니다. 버터갈릭감자튀김 꼭 드세여...식사 중 돈 생각나지 않았는가?-떡볶이가 뭐 거기서 거기지... 볶음밥까지 4명이서 9천원 나옴다음에 또 가고싶고 지인에게 추천할 의향이 있는가?- 추천할 순 있는데 다른 지점을 가라고 하고 싶어요 매장 내부가 좁고 홍대에서 좀 멀어요.
와파결핍,47,273,4.2,2023.06.21.,4.0,호호시스터점은 조금 매웠는데 여기는 안 맵습니다. 맛있게 먹었어요.
고독한글,26,93,3.4,2023.06.14.,1.0,제가 사진을 다 닦고나서 찍었는데 위생상태가 좀.. 안좋습니다. 메뉴판 위엔 밥풀 묻어있고 앞접시 두개에는 다 이물질 묻어있고.. 그렇다고 서비스가 친절한 편도 아니고.. 또보겠지 좋아하는데 제가 가본 지점중에 제일 별로에요. 다른 지점 갈걸 그랬어요.
기린,33,"1,122",3.8,2023.05.31.,4.0,
이예린,3,14,4.6,2023.05.10.,5.0,
김하늘,3,1,5.0,2023.05.03.,5.0,
하영,8,8,4.3,2023.02.12.,5.0,
rcd,21,52,3.9,2023.02.11.,3.0,
내가 가는 곳이 곧 맛집,52,465,4.2,2023.01.07.,5.0,여긴 웨이팅 할 자리가 있긴 있음!
N,11,945,5.0,2022.12.05.,5.0,
리코,33,157,3.8,2022.11.25.,4.0,늦게까지해서 여기 지점도 종종와요
음,16,67,4.1,2022.11.18.,5.0,일단 감자 드셔보세요…볶음밥은 무조건 날치+치
보리새우,5,8,3.9,2022.11.15.,4.0,맛있었어요가성비는.. 두사람 24000원..떡볶기 값으로 싼건 아니지만즉석떡볶기니 패스~남편과데이트로 분위기도아기자기 옛날생각도 나고 괜찮았어요서빙하시는 분이 살짝 쌀쌀맞은 분위기?그래도 맛있으니 그것도 패스~볶음밥도 맛있었어요^^번창하세요♡
집앞,3,1,1.0,2022.11.05.,1.0,알바생 ㅈㄴ싸가지없어요 단무지를 던지질않나 소릴지르질않나 기분 좋게 먹으러왔다가 기분만 베리고 가네요 ㅋㅋㅋㅋㅋㅋㅋ 알바생때문에 재방문 안해요 다른 지점 가고 말지
내맘대로,19,70,3.8,2022.10.05.,4.0,
enekiba,12,25,4.0,2022.09.20.,5.0,존맛입니다 아직도 안먹어본 사람있냐고ㅋㅋ
렁,16,25,3.8,2022.09.16.,5.0,최애 떡볶이집
★,28,99,4.0,2022.09.10.,4.0,맛있는데 볶음밥이 너어무 매움그리고 가격 생각하면 만족스럽진 않음... 또떡 좋아하지만 양 적어서 두명이서 먹음 거진 3만원 나옴
박예나,4,3,5.0,2022.08.12.,5.0,매장은 좁지만 맛은 있어요~~ 볶음밥이 최고고 감튀가 레전드
Jeong,5,6,3.7,2022.07.23.,1.0,웨이팅 시스템이 별로에요~
박민규,11,10,4.1,2022.07.23.,1.0,웨이팅이 이렇게 많은데 웨이팅 시스템이 거지같음.알바는 손님이 와도 폰을 보고있음.음식은 아직 안먹어봄 ㅋㅋ
