user_name,user_rank,num_response,user_star,time,rating,content
ykk,6,6,3.8,2024.03.25.,5.0,다리면서도 줄서서 먹게 되는 나의 떡볶이맛집
영등포바늘미각,29,84,4.4,2024.03.20.,4.0,즉떡을 진짜좋아하는 입장에서 무난무난한 선택지이다. 다만 모든메뉴가 너무 달았음
천장바닥,19,38,4.1,2024.03.20.,4.0,맛있어요
김새롬,4,2,5.0,2024.03.09.,5.0,요근래 먹었던 떡볶이중에 제일 맛있는 것 같아요 직원분들도 친절하셨고 매장도 깔끔하게 정말 잘 먹고갑니다
배봉산갱스터,3,3,5.0,2024.03.09.,5.0,버갈 미쳤어요 매일 먹을수 있을거같아요
마포갈매기,3,2,5.0,2024.03.09.,5.0,식당이 너무 깨끗합니다! 맛있게 잘먹었습니다~
냥복쟁이,66,292,4.1,2024.02.22.,2.0,23.06.07맛은있는데 좌석간 사이가 너무너무 좁음…안그래도 테이블이 작아서 집기류가 테이블 밖으로 삐져나오는데 조심 안하면 테이블 사이 지나다가 옷에 뭍을 것 같음. 개선이 필요하다고 느낌24.02.22 갱신맨 마지막장 버터갈릭감자튀김 양 보세요감튀로 젠가를 하는 곳은 처음이네 ㅋㅋ두번째 감튀 사진이 작년. 마지막장이 오늘.다른지점 가세요
짱태❤️,2,2,4.0,2024.02.21.,4.0,
조화경,7,4,4.0,2024.02.06.,1.0,"서비스는진짜ㅠㅠ,, 개선될필요가있는것같아요"
m_m,17,28,4.0,2024.01.08.,5.0,맛있고 친절해요 존 맛 탱
소금빵,15,27,4.8,2024.01.07.,5.0,즉석떡볶이 감자튀김
올리비아,4,5,1.8,2023.12.22.,1.0,영수증 꼭 확인하세요. 주문 시에 은근 슬쩍 추가로 메뉴넣고 아무 말 없으면 결제합니다.
눈흘기는강쥐,47,779,3.7,2023.12.09.,4.0,
퐝맨,22,36,4.4,2023.12.01.,4.0,볶음밥이 ㄹㅇ 개맛있음 그러나 제일 중요한 떡볶이는 뭐 예상된 맛이었고 떡양은 좀 적은 느낌..? 그래도 추천합니다~^^
이아름,8,9,4.6,2023.11.28.,5.0,즉석떡볶이 감자튀김 늘 생각나는 맛
.,2,1,3.0,2023.11.28.,3.0,정말 좋아해서 자주 가는 곳인데 이 지점은 항상 알바생이 불친절하네요..
gogodidi,5,24,4.5,2023.11.02.,4.0,
yan,3,18,4.3,2023.10.24.,5.0,
현다,16,43,3.7,2023.09.05.,3.0,맛은 있는 거 같은데 너무 매워서 전 다신 안갈거 같네요 혀가 얼얼해요
마이쮸,20,26,4.0,2023.08.08.,4.0,떡볶이랑 감자튀김이랑 볶음밥 시켜 먹었어요. 저한테는 떡볶이가 아주 살짝 매워요. 그래서 감튀를 더 많이 먹었어요. 볶음밥은 날치알과 소시지로 했는데 달콤매콤합니다.
