user_name,user_rank,num_response,user_star,time,rating,content
도도더,23,158,4.1,2024.04.19.,1.0,매장에 역한 냄새 나서 바로 나옴 ㅠ
말 많은 사람,33,122,4.1,2024.03.03.,5.0,"(24/03/03 후기)오랜만에 생각나서 왔습니다. 많이 좋게 바뀐 모습에 놀랐습니다. 그리고 더 맛있어졌습니다.1. 반찬으로 유자 단무지가 생겼는데 맛있었습니다.2. 각 그릇 마다 무료 토핑(계란, 차슈 제외) 추가가 생겼습니다.3. 중간에 작아졌던 차슈가 커졌습니다. 굵기는 처음 굵기처럼 돌아온 건 아니지만, 더 넓적하고 좋습니다.4. 눈에 띄는 입구 메뉴판, 내부에 역사를 알리는 사진들, 열기 힘들었던 대문이 깔끔하게 바뀌고 가게에 나는 냄새도 많이 줄어들었습니다.5. 1인세트 할인메뉴가 생겼습니다.6. 메뉴가 다양해졌습니다. 기본라멘, 신라멘, 진라멘만 먹어봤지만 다른 메뉴도 먹어봐야겠습니다.라트가 중간에 구성이 바뀌어 오랫동안 안오다가 오랜만에 왔는데 눈에띄게 바뀐 모습에 단골로서 행복했습니다. 앞으로 다시 자주 오겠습니다ㅠㅡㅠ(23/01/05 후기)새로 나온 차슈멘을 시켰다. 계란이 안들어있다. 기본라멘에도 들어있는 계란인데 단골들은 당연히 들어있을거라고 생각하지 않을까?게다가 평소보다 차슈가 반 가까이 얇아졌다. 더 충격인건 기본라멘에 차슈 1장 추가가 사라졌다. 제일 많이 추가하는게 차슈 1장 추가 아닌가.매번 들쭉날쭉한 맛이라고 해도 맛있는 날이 있기에 찾아왔지만 이젠 더이상 올 이유가 사라졌다... 차라리 가격을 올리고 그대로였다면 계속 왔을텐데...(이전 후기)변했다는 리뷰가 많은데 변했다기보다는 갈 때 마다 맛이 다르다는 표현이 더 정확한 것 같다.30회 이상 방문에 밀키트도 시켜먹고있지만 매번 맛이 다르다. 어느 날은 마늘을 너무 많이 넣어서 마늘맛이 강하고, 어느 날은 밀가루를 제대로 안털었는지 국물에서 밀가루 맛이 나고, 또 어느 날은 정말 맛있게 먹는다.그래도 계속 생각나서 먹고있지만 오랜만에 오는 손님들은 변했다고 하고 다신 오지 않는 경우도 생길 것 같다. 변하는 맛에 대한 개선이 필요해 보인다.돼지육수로 인해 가게에서 순댓국집 냄새가 나는 것도 나는 익숙하고 이해하지만 처음 오는 손님은 꺼려질 법 하다.한국인의 입맛에 맞게 적당한 간이 있는 곳이다. 그래도 나는 계속 간다."
코코,22,39,4.1,2024.01.24.,2.0,원래 운영하시던분들은 어디로 가신거에요?학생때부터 몇년간 쭉 맛있게먹었고 지인들에게 일본현지보다 더 맛있다고 추천하던 가게인데 어느순간 매장 직원분들도 바뀌고 가게안에는 돼지냄새가 가득하며 국물도 냄새가나고 차슈는 타서 탄맛이 섞이고 이건 문화살인이에요 아무에게나 지점을 맡기고 떠난건가요 최고였던집이 홍대에서 최악으로 바뀌어서 발길을 끊었어요 제발 왜이런지 알려줘요
혜상공,10,16,3.8,2024.01.01.,2.0,매장에 장냄새..? 같은게 매우 심해요알바생 한분이 너무 불친절해요...ㅠ고기 누린내 납니다...원랜 국물 맛도 좋았는데 맛이 좀 변한것 같아요
기린,33,"1,122",3.8,2023.12.15.,4.0,매장에 냄새가 너무 많이 나요…
룰루,23,92,4.1,2023.12.06.,5.0,
행인,22,62,4.0,2023.11.21.,4.0,
볼빨간어피치,12,20,4.0,2023.11.19.,4.0,라멘은 너무 맛있고 좋은데 가게 안에 파리랑 모기들이 너무 많아요 ㅠㅠ
솔직한후기만남깁니다,14,33,3.9,2023.11.07.,4.0,"너무 좋아하던 라멘집이었는 데 확장 후 맛이 복불복인 것 같아요. 직원분들이 에너지 넘치셔서 좋고 계란, 차슈 모두 맛있는 데 차슈는 예전만큼 못한 것 같아요. 육수도 언젠가부터 좀 더 식은 느낌으로 서빙되어서 개인적으로는 아쉽다고 느껴집니다. 반정도 먹은 후에 청양고추 더해서 먹으면 두가지 느낌으로 먹을 수 있어요. 라멘은 면선택 가능해서 좋고 육수도 맛있습니다 !"
ㅇ.ㅇ,17,34,3.8,2023.09.30.,3.0,처음 갔을 때 너무 감동해서 다시 갔는데.. 두번째엔 별로였어요ㅠ들어가자마자 나는 냄새와 첫번째 때와는 완전 다른 육수... 처음 진차슈멘을 먹었을때의 그 감동 그립습니다ㅜ
최범규,20,34,5.0,2023.09.27.,5.0,
무생채,10,7,3.4,2023.09.11.,2.0,달에 한번씩 들르는 단골인데 갑자기 국물에 기름이 너무꼈고 묽지가 않고 약간 스프같이? 찐득찐득하게 변했네요 ㅠㅠ제일 좋아하던 라멘집인데 아쉽습니다..
김순자의 에스프레소바,1,1,1.0,2023.08.29.,1.0,매장에서 돼지냄새 심하고찐한데 자극적이여서 별로입니다
리주,8,12,5.0,2023.08.27.,5.0,냉라멘 맛있음
코코몽,16,37,4.3,2023.08.06.,5.0,가성비도 좋고 메뉴도 빨리나옴... 제일 좋은건 이 근처 갬성충들의 전유물인 브레이크타임이 없다
고양이맘마,6,6,5.0,2023.08.03.,5.0,계란도 맛있고 차슈도 맛있고 숙주도 신선하고 면도 맛있있고 국물도 떠 마시면 딱 좋았는데 같이 먹으면 약간 담백해지는 스타일이었어요. 짭짤하게 싱겁게 조절 가능하다하니 직원에게 문의해서 조절하면 좋을 듯! 매장은 넓고 쾌적했으며 상수역 역세권에 브레이크타임 없는 돈코츠 라멘집으로 대체로 만족스러웠습니다 😌
김예린,39,289,4.6,2023.07.28.,5.0,라멘은 간이 이상해서(?)잘 안 먹게 되는데여기는 다 먹었어요
희,11,11,4.2,2023.07.26.,3.0,"사방이 나무로 이뤄진 작은 가게었을 적,  국물은 사골과 마늘의 맛이 조화로웠고 계란의 노른자는 흐르는듯하게 간장 맛을 맛있게 머금었었고 차슈는 불맛과 고기맛이 잔뜩 느껴졌었다그 맛을 회상하며 리뉴얼된 가게에 방문하여 먹었다가볍고 차가운 계란이 느껴져 냉동실에 있었나 하는 착각을 하게 되었다, 고기의 육즙도 맥주를 시키고 싶은 조화로움도 사라진채."
푸다뱅,75,933,4.2,2023.07.22.,5.0,"라멘장인도 인정한 라멘 기술의 맛집, 한국인 입맛에도 잘 맞춘 간에 무엇보다 차슈가 끝내줬던 라멘"
과객,3,4,5.0,2023.07.16.,5.0,라멘이 절묘하게 맛이있네요진하면서도 담백함이 함께하는일본과 한국식 입맛의 경계선이랄까만족스러웠습니다~~
파워,42,508,3.7,2023.06.18.,3.0,일당 확실한건 냉라멘은 진짜 별로
기분좋은돼지,22,45,4.7,2023.06.14.,4.0,대중적으로 무난한 라멘!
Rams,25,84,3.0,2023.06.08.,5.0,유명한집인건 알고 있었으나 최근에서야 가봤는데 개인적으로 진라멘이 없었다면 다시 안왔을거 같습니다. 10주년 기념 진라멘도 계속 팔아주세요~
헤헤,13,54,4.0,2023.06.01.,5.0,10년째 매번 가는 집 변함 없이 맛있음
아임그루트,16,25,4.3,2023.05.29.,2.0,예전에 갔을 때 되게 맛있게 먹었던 기억이 있어 최근에 또 방문을 하였지만 실패실패 대실패~~과거가 미화된건지 맛이 변한건지 모르겠네요ㅜㅅㅜ전에 진짜 맛있었는데ㅜㅜ
