user_name,user_rank,num_response,user_star,time,rating,content
긍쨩,2,2,3.0,2024.04.22.,5.0,"잔잔한 재즈가 나오는 꼬치집! 직원분들 다 너무 친절하시구 간술하기 좋은곳이에영 ㅎ 자주는 못가지만 시간 날때마다 갈려고하는 만큼 최애 술집💕💕 항정살,볼살이 자주 매진되서 슬프지만 가끔씩 럭키하게 먹는거에 만족해요ㅋㅋㅋ 금토엔 웨이팅이 많으니 가실분들은 참고하시는게 좋을것같네요"
👀,13,40,4.8,2024.04.14.,5.0,표고버섯 최고
쭁미니,14,18,4.9,2024.03.17.,4.0,맛있습니다 ㅎㅎ
...,8,18,4.2,2024.03.13.,5.0,
춘식러버,10,19,4.9,2024.03.07.,5.0,양도많고 하이볼도 맛나고 절대 한꺼번 와르르 시키지마세요ㅋㅋ꼬치하나가 엄청커요~! 또가고싶어요
미아 되기 싫어서 사용함,2,10,5.0,2024.02.21.,5.0,
장세희,2,1,5.0,2024.02.09.,5.0,꼬치 목살 신선한 야채 아사히가 기가막히게 맛있어요
김성호,11,18,4.8,2024.01.30.,5.0,
ㅇㅇㅇ,23,52,4.1,2024.01.16.,4.0,"모듬꼬치(돈설, 목살, 뽈살, 항정살, 간, 울대, 토마토, 표고버섯, 새송이버섯튀김, 삼겹살튀김) 48,000원짜리 먹었어요! 숯불향 미쳤고 크기도 커서 만족스러웠어요!! (제가 표고향때문에 표고버섯을 안좋아하는데.. 위에 발라진 간장소스?가 표고향이랑 잘 어우러져서 2개나 먹었어요!)아쉬운 점은 인당 주류를 무조건 하나씩 시켜야 하는 점이었어요 ㅠㅠ 일행이 금주해야 하는 상황이라고 말씀 드리니 음료수로 이해해주셨어요!"
suuuu,31,391,4.2,2023.11.22.,4.0,"꼬치 목살, 항정살 맛있어요!"
Jen,12,15,5.0,2023.11.12.,5.0,"처음 가봤는데 완전 맛있어요...다 맛있지만 제 입맛엔 목살&항정살이 젤 맛있네요!1차라서 적당히만 시켜봤는데, 가볍게 먹을 수 있는 술국도 있어서 더 좋았습니다^^ 다음엔 샤브샤브도 도전해 보려구요!"
내돈내산솔직후기,8,4,3.0,2023.11.01.,5.0,감히 제 인생 야끼돈집이라 평할 수 있을 것 같습니다. 두툼하고 육즙 터지는 돼지고기 꼬치에 감동의 눈물을 흘리고 왔던 집.. 개인적으로 항정살이 특히 맛있었습니다. 모둠 말고 이렇게 원하는 고기 꼬치로만 주문하시는 것도 좋은 선택이 될 것 같아요.
마유,2,1,1.0,2023.10.13.,1.0,비싸고 돼지 비린내 나고... 모듬꼬치 먹었는데 목살 외엔 다 질기고 짬... 가츠동도 엄청 짬... 식으면 더 짜요. 짜게 먹는 편인데도 짜서 다른 사람은 몇입 먹고 말더라고요. 가라아게도 시켰는데 튀김에 고기 요리까지 있으니 느끼해서 야채를 엄청 씹었음... 후기 잘 안남기는데 여긴 기억해두고 안가려고 적음재방문 의사 없음
후기,2,4,4.5,2023.10.13.,5.0,
호야,45,415,3.3,2023.10.07.,3.0,맛4/양4/가격3/친절3재방문의사 있음꼬치 가격은 좋은데 술이 약간 비싼근처살면 혼자 가볍게 먹고 갈듯함꼬치는 전반적으로 다 괜춘숯향이 강하고 맛있음목살은 다소 질김항정이 체고bb
낙천적으로 바라보자,31,114,4.6,2023.09.30.,5.0,숯불향 죽이네
비둘기,15,58,2.4,2023.08.18.,5.0,
언제나청춘,41,564,4.7,2023.08.18.,5.0,동교동을 대표하는 꼬치 맛집
