user_name,user_rank,num_response,user_star,time,rating,content
익명,37,607,3.8,2024.04.22.,4.0,
이주하,25,52,5.0,2024.04.21.,5.0,홍대에서 자주가는 피자집입니다 데이트코스 딱이네요  피자는 나와서 좋고요! 치즈가 너무 부드러워요외국에서 재료도 가지고 오시고 외국인분도 계시고요 피자 3판도 먹을 수 있을 것 같아요 피클도 직접 담그신다고 하네요! 자주 올께요
디카페인,31,134,4.1,2024.04.14.,5.0,이탈리아 스타일 피자 집!! 오픈 키친에 화덕에서 굽는 걸 볼 수 있네요.
동우&,7,4,4.0,2024.04.14.,4.0,이탈리아에서 먹을 것같은 맛이예요 가운에서 다 보이는 곳에서 요리하시는데 분위기도 좋아요ㅎ
Kyle,3,6,4.0,2024.04.13.,5.0,사장님이 정말 너무 친절하시고 정겨운 분이십니다. 최고로 사랑하는 피자집이에요. 모든 메뉴 거의 다 먹어봤는데 돈아까운 메뉴가 없었어요. 오픈 초기에 장인분들 오셔서 요리 해주실 때 부터 틈만 나면 가려고 하고있어요. 최고입니다👍👍👍
Jan Ri,27,111,4.0,2024.04.10.,4.0,Definitely a tasty pizza. However based on their immense self-congratulation I expected even more ;)
고동환,3,6,4.2,2024.03.30.,5.0,
'€iㅇ`£○⚱^⛓⚜¿☣'⛹¤☄O♟°,22,85,1.9,2024.03.28.,3.0,나폴리 사람들이 한국에서 생명의 위협을 받는걸까..?여기선 가장 기본 마르게리따만 먹으면 됨. 가격 좀 되는거 주문하면.. 돈이 좀..아까.. 받고 가져다놓고 모든것이 셀프에 이정도 사이즈로 거의 아무것도 안들어간 피자라 이 가격은 당연. 한국여행 몇일간 온 유럽사람들이 고향음식 간단하게 먹고플때 홍대호텔에서 잠깐 나와 갈곳으로 의미있는듯.
놀자놀자,7,7,4.6,2024.03.28.,5.0,홍대 피자 집 중 그냥 이견없이 1등
Rae,32,117,4.2,2024.03.19.,5.0,
Gill,13,11,3.9,2024.02.04.,3.0,"평일 저녁에 방문했는데 테이블이 많이 비어있어 편하게 먹을 수 있었습니다. 혼자 오셔서 식사하시는 분들이 많았고, 단골이 많은 듯한 느낌이었어요. 피자 자체는 맛도 괜찮은데-토마토베이스가 크림베이스보다 맛있어요- 무조건 1인 1피자에, 남은 음식 포장도 불가능하고 가격대도 낮지 않은 편이에요. 화덕피자 매니아에 주변에 사신다면 단골이 되실 수 있을 것 같아요. :)"
읽는법,7,9,5.0,2024.01.31.,5.0,평일 오후 방문했고 낮은 평점이 왜 존재하는지 정말 모르겠습니다 !!
딩딩,31,112,4.3,2024.01.23.,5.0,맛있음젤 비싼 반달모양피자 최애
봉쥬르,26,147,2.9,2024.01.09.,3.0,혼자 먹기 좋아요. 피자도 맛있었어요.
ㅅㅅㅅㅅㅎ,16,19,3.4,2024.01.06.,5.0,사람들이 많네요줄서서대기하는곳 ㄷㄷ
최민주,2,1,3.0,2023.12.21.,3.0,"셀프서비스를 운영해서 피자 값을 반으로 낮춘다는데, 반인가?상도 셀프로 닦았다바질은 오직 시각효과를 위한 것인가?맛잇었다, 그러나 앞 선 사항들을 이기지는 못했다."
Laura,1,2,5.0,2023.12.17.,5.0,
sorry,12,30,4.1,2023.12.10.,5.0,
shabaiaoo,17,48,4.4,2023.12.04.,4.0,평범한 화덕피자맛임
나나야에나,43,180,3.9,2023.11.27.,2.0,피자는 어지간하면 다 맛있는데…. 아닌걸… 중간 기본에도 못 미치는 맛… 친절도 하지 않고 다 셀프 그럼 가격이라도 착하든가…. 시큼한  토마토 베이스 안 좋아하는 1인으로써 베이직 오브 베이직 토마토 베이스도 실패. 열심히 교육받았어요라고 화려하게 벽에 이것저것 붙여져 있지만 뭔지 ㅋ 도우 식감도 실망…. 주차는 안됨
왕십리 라이더,21,10,3.2,2023.11.20.,5.0,둘이 가서 피자 세 판에 감자까지 먹고 서비스인 돌체 피자까지 먹었습니다. 피자가 크진 않지만 서울에서 이 가격에 이 퀄리티 맛볼 수 있는 피제리아 없습니다. 홍대 갈 때 꼭 다시 먹어보고 싶네요. 전부 셀프이긴 하지만 저렴한 가격 생각하면 충분히 납득할 수 있습니다
경희,6,13,4.8,2023.11.17.,5.0,늘 배달 시키는데 여기 잘합니다. 맛있어요.
