user_name,user_rank,num_response,user_star,time,rating,content
징ㅇ,65,751,3.4,2022.09.25.,5.0,한적하고 아늑한 분위기에 사람도 없어서 좋았음밥 먹고 2차로 가벼운 안주에 와인한잔하기 딱 좋음
좋다,36,324,5.0,2021.03.11.,5.0,와인 한병 그냥 들어가는 분위기~너무 너무 특별하고 좋은 곳 입니다!^^추천추천
고마워,34,264,5.0,2021.03.04.,5.0,신랑이랑 오랜만에  데이트한 곳인데 너무너무 좋았어요~ 루프탑이라 인생샷도 많이 찍었네요 ㅎㅎ
wwewwe,54,"1,085",5.0,2021.02.18.,5.0,분위기 좋네요 ~ 와인 맛집으로 추천 !
카카오리뷰어,55,"1,221",5.0,2021.02.03.,5.0,코로나 때문에 예약제로 운영되서 오히려 저는 더 좋았던거 같아요 ㅎㅎ 친구들 모임 간만에 했는데 즐거웠습니다 !!
카사카,23,132,5.0,2021.02.03.,5.0,와이프랑 다녀왔는데 분위기도 좋고 직원분들도 친절해서 좋았어요^^
김비누누,44,593,5.0,2020.11.17.,5.0,분위기 짱이네요 !! 인생샷 건져갑니다 ㅎㅎ
정현,3,17,4.7,2020.09.16.,5.0,
정상해씨,26,85,3.7,2020.07.04.,5.0,아무도 오지마요 저만 갈거에요
김,46,668,5.0,2020.04.03.,5.0,와인 한잔하기에 분위기 좋은거 같아요 ^^
예스아이캔,51,886,5.0,2020.03.20.,5.0,"이번에 커플들끼리 모여서 파티했습니다~ 위치도 홍대랑 합정 가운데? 정도 되는것 같아서 어디서 내려도 가까워서 좋았고, 무엇보다 루프탑도 그렇지만 내부 인테리어나 분위기도 깡패라서 저희나 친구네 커플이나 너무너무 만족했습니다!! 제가 알아본 곳인데 다들 만족해하니 제 어깨가 들썩들썩 하더라구요 :) 다음에 또 방문할게영~"
