user_name,user_rank,num_response,user_star,time,rating,content
ㅇㅅㅇ,8,7,4.9,2024.03.16.,5.0,특유의 분위기도 좋고 맛있는데 웨이팅 진짜 깁니다ㅜㅜ 평일에 가시는 거 추천드려요!
빵기록집,7,8,4.1,2024.02.17.,5.0,맛도리 미쳤다❤️너무 맛나게 잘 먹었습니다!간만에 홍대 맛집 성공🫶
JY,10,10,3.3,2024.02.12.,2.0,- 맛이 없진 않지만 기성품 맛입니다.- 웨이팅 엄청 오래 걸립니다. (매장 내 테이블 총 16개)- 대체로 친절하지 않은 분위기입니다. (물 달라고 말 안하면 안 줍니다)
지우개,4,11,4.1,2024.01.10.,4.0,
장소연,3,2,3.5,2024.01.07.,2.0,음식 너무 늦게 나옴;; 피자는 맛있었음
리노,13,151,5.0,2024.01.06.,5.0,
휘바휘바,9,12,4.3,2023.12.15.,4.0,분위기 독특해서 한번쯤 가볼만한 곳. 맛도 괜찮음
리나,8,23,4.9,2023.12.02.,5.0,언니항 같이 갔는데 맛있어요12.2)저번주에 또 갔다 왔는데 맛있었어요😋
♥아름♥,1,1,5.0,2023.11.17.,5.0,
HyeJung,2,2,1.0,2023.11.06.,1.0,맛없음
음식에진심인편,23,42,3.6,2023.11.01.,3.0,맛있고 컨셉 확실해서 보는 재미가 있었어요근데 파스타 양이 적어서 가성비 있지는 않았어요후기에 왜 다들 양이 많다 그러는지 모르겠어요 제가 하루에 한끼 많아야 두끼 먹는 소식좌인데.. 파스타랑 음료수 먹고 배부르게 먹기까지는 좀 부족하다 느꼈어요그래도 맛은 있었어요+) 10월 30일 경 혜화 마녀주방 가봤는데 퀄리티가 훨씬 좋음..  점바점이란게 이런 말이구나..
뭐야,13,23,3.5,2023.10.25.,5.0,너무 맛있어용! 음식이 너무 귀여움
미숙,2,3,3.3,2023.10.08.,3.0,
아기볶음밥,6,8,4.9,2023.09.26.,5.0,맛도 있고 분위기도 정말 최고였어요~ 다만 테이블간 거리가 너무 좁아서 진지한 이야기는 삼가하시는게...
ㅎㅁ,7,15,3.7,2023.09.11.,1.0,평점 조작하는 거 같은데 개별로임
전사의 긍지,34,234,4.1,2023.08.22.,4.0,Not bad~!
mjk,6,16,5.0,2023.08.17.,5.0,아이들데려오기 좋아요 양도많고 맛있어요
곽정원,19,21,4.0,2023.07.24.,5.0,분위기 특이하고 가성비 좋은 맛집. 비스마르크 피자 존맛에 논알콜 칵테일 링거는 국룰
허재준,2,4,5.0,2023.05.08.,5.0,
해피릴리,9,7,4.3,2023.05.05.,5.0,컨셉도 확실하고 음식도 맛있어서 두번째 방문인데 서울가면 또 가고 싶은 곳이에요~
만듀만듀,21,26,3.8,2023.04.10.,5.0,강남점 갔다가 음식에 반하고 홍대에서 자주 먹었던 양식맛집! 마녀주방 컨셉이 할로윈이랑 잘 맞아서 할로윈때 방문했는데 웨이팅줄이 어마어마하게 있었어요
리뷰,5,5,2.6,2023.02.02.,1.0,오후6시 근무서는 염색머리 여자 카운터싸가지가 왜이렇게 없나요?저번에 왔을 때도 싸가지 없었는데 여전히 없네요이 알바생 왜쓰나요?갈 때마다 웨이팅 5명 이내인데 1시간 반 걸린다고 합니다;손님 받기 싫어서 그러나요?오래 걸린다길래 멀리 가있으면 20분도 안되서 전화하고전화 금방 끊겨서 1분 지나서 바로 다시 전화하니까'전화 안 받으면 취소된다고 했잖아요'이렇게 말하네요?가고 있는데 안되냐 하니 다시 예약하라네요손님 있는데 핸드폰이나 쳐다보고 있고알바비 안 받는 거면 이해하겠습니다.
•_•,30,114,4.1,2023.01.09.,5.0,맛있어요
ELT,27,100,3.5,2022.12.25.,1.0,접객 좀 매너있게 해요. 밀키트같은 퀄리티 팔면서 쌍방 기본적인 건 좀 지킵시다.
맛집만 노리는 검은 복면,36,209,3.7,2022.09.21.,3.0,무난무난홍대 주변에 워낙 맛있는 파스타집이 많아서 여기 보다는 다른 데 갈 듯
소진용,22,112,4.6,2022.08.11.,4.0,양도 푸짐하고 맛있게 잘 먹었어요
2021년부터,41,355,2.8,2022.08.07.,5.0,토마토파스타가 매콤하니 맛있어요.
수빈,19,20,4.2,2022.08.05.,5.0,마녀 주방은 진짜 홍대점이다ㅜㅠ 3번 넘게 간 것 같은데 갈 때마다 맛있음ㅠㅠ
하현,11,10,4.7,2022.08.04.,4.0,맛은 무난하고 생각보다 양이 푸짐해서 놀랐어요. 사람이 많은 시간에는 대기해야해서 예약하는게 좋을 듯 해요.
임창준,22,63,3.2,2021.12.21.,1.0,옛날에 갔었는데 엄청 평범한 집이 컨셉질한다고 보시면 됩니다 주변이랑 비교하면 굳이 갈만하진 않아요2~3점 주려다 댓글알바 쓰는 것 같아서 1점 줌
🌙,16,31,4.5,2021.12.20.,4.0,음식도 맛있고 분위기나 인테리어도 가볍게 가기에 좋았어요!
희야,29,218,4.6,2021.11.05.,3.0,굿굿
