user_name,user_rank,num_response,user_star,time,rating,content
너구리,2,1,1.0,2024.04.18.,1.0,위생이 너무 안좋아요 ㅠㅠ
최태욱,2,1,2.0,2023.09.09.,2.0,
qq,5,2,3.0,2023.05.25.,1.0,바퀴벌레 막 기어다님
콜키지 사냥꾼,41,164,3.8,2022.12.30.,1.0,왜 사장님이 조리를 하는데... 제발 멈쳐.. 내 시그널이야..
버터오징어,27,60,4.4,2022.11.28.,1.0,ㅎ 가지마위생 쒵 맛도 쒵무슨 막걸리에서 딸기약맛남 ㅋㅋ..
ㅇㅇ,45,308,4.4,2022.09.16.,1.0,"알바 둘다 마스크 안씀,,"
ㅋㅆㅇ,37,695,3.8,2022.09.02.,5.0,
김재형,2,1,5.0,2021.01.22.,5.0,막걸리 자주 마시러 갔었는데 생각나요
먹는게남는거,36,234,3.7,2020.02.09.,3.0,본안주로 오뎅탕나오고 막걸리 종류가 다양해서 좋네요 과일주보다는 그냥막걸리가 나은듯 20대초반 고객이 많아요
MONAVIS,21,41,3.7,2018.11.03.,2.0,옥수수막걸리먹으러왔는데치즈김치전 베스트라서 시켰는데 치즈는 가득올라가지만 김치전이 배추가많아서 씹는맛은좋지만 너무너무싱거워서  김치맛도안나고 전체적으로 별로....  간장에찍어먹어도 모자란맛 .... 그냥 막걸리먹으면서 그냥입에넣는정도....
.,7,13,1.8,2018.09.08.,1.0,하 여기 좀 보고 갈걸막걸리쌀롱 진짜 핵별로알바생 들어갈때부터 인상찌뿌리더니 그릇이고 수저고 다 쾅쾅 놓고그릇에는 기름이 찌들어있어서 아예 안썼고테이블에는 무슨 가룬지 모르겠는데 회색가루 같은게 가득해서 아 여기 청소 제대로 안되는구나 알았어요ㅡㅡ치즈김치전 먹었는데 맛도 그닥?과일 막걸리들도 몇개는 그냥 남기고 나오고어디서 소개팅 장소로 딱이라는 글 보고 갔는데 진짜 그 글 쓴 사람 추적하고 싶을정도 ㅋㅋㅋ오랜만에 데이트 나갔다가 둘다 지금 배아프고 기분만 더럽고 아주 인생식당 최악 탑쓰리 안에 듭니다ㅋ판단은 각자 알아서 하시길..
