user_name,user_rank,num_response,user_star,time,rating,content
潤,28,126,3.7,2024.04.11.,1.0,ㅋㅋㅋㅋ..^^
카카오별점맹신자,15,24,3.9,2024.03.09.,1.0,퉤
나비,2,2,3.0,2023.10.15.,1.0,새벽 4시에 정중히 한명만 올라가서 10명 문의를 드렸으나 다른 테이블 손님들이 있었는데도 준비시간이 오래걸린다는 이해 안되는 이유로 오지말라는 뉘앙스를 풍겨 그냥 다른 술집 갔음. 이럴꺼면 24시 오픈이라는 간판부터 떼고 직원들이랑 영업시간 협의하시길 바랍니다.
shu,2,4,5.0,2023.09.13.,5.0,
참시간,32,129,2.0,2023.08.15.,1.0,"골뱅이무침?!! 이게 2만원?!! 맛도 없고...소주, 맥주도 다른곳 보다 500원 비싸...;;"
힝,6,9,1.7,2023.08.14.,1.0,세네번 가봤는데 양이 정말 창렬의 끝판왕^^
드디어,34,152,3.6,2023.04.14.,4.0,또 찾았다 - 23.04.14찾았다 - 22.12.27
J,5,8,3.8,2022.10.01.,1.0,불친절의 끝판왕. 남자 직원인지 사장인지 들어가자마자 싸가지 없이 대함. 다른 맛있는 곳도 많은데 굳이 이런 서비스 받으면서 여기를 갈 이유는 전혀 없다고 봄.
윤상혁,3,1,1.0,2022.09.26.,1.0,단체라서 미리 전화했는데 한숨 푹푹 쉬면서 싸가지 없는 태도로 손님대우하는데 직접 방문 했을 때도 기본 안주랑 수저랑 메뉴판 다 던져서 주고 일하기 싫으신 거 같은데 그만하세요 ㅋㅋ 음식도 딱히 다른 곳보다 맛있는지도 모르겠는데 다시 올 이유 없어보입니다
행인,2,1,1.0,2022.09.10.,1.0,별 하나도 정말 아까비.. 세상에 그런 음식을 팔 수 있다니... 지금도 그 맛이 생각나 입이 비려지는 느낌. 정말 음식 쓰레기입니다. 절대로 가지 마세요.  눈꽃치즈 불닭시켰는데 딱 하나 먹고 나왔어요.  닭비린내가 완전 심해서 토할 뻔 했어요
ㅎ,2,1,1.0,2022.09.10.,1.0,최악 중에 최악 0점이 있다면 0점 줬을듯닭고기에서는 한 입 먹자마자 누린내가 진짜 너무 심하게 나서 같이 간 사람은 다시 뱉을 정도였음한 입 먹고 바로 나옴절대 가지 마세요 절대돈 버리고 싶으신 분만 가시길
ㅇ,3,7,2.1,2022.07.25.,1.0,적당히 불친절해야지 진짜ㅋㅋ 남자 사장인지 알바인지 모르겠지만 괜히 한잔하러 갔다가 기분만 잡치고 나왔네요 입장할때부터 개무시하더니 주문부터 나갈때까지 불친절하단 생각뿐이 안들었네요 마감시간이라 화가 많이났는지 청소하면서 의자를 쾅쾅 내려던지질 않나 주문받을때도 건성으로 받질않나 더이상 있고싶지않아 남은음식 포장 안되냐는 말에 당연히 포장 안된다는식으로 말을하고 참... 석이 많이나가네요
chhhhhhn,4,5,4.2,2022.07.19.,1.0,0점 없나요네이버 리뷰쓰려고 영수증달라고했더니 중간계산서줬네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ안좋은얘기 달릴줄 알았나 그렇게 손님대우없는 태도로 장사어떻게 하나요 지나가는 사람한테도 그렇게 안할듯요..
fiazo,2,2,1.0,2021.01.30.,1.0,서비스 최악
굿 혹은 배드,11,9,1.8,2021.01.16.,1.0,"0점이 있다면 0점 드립니다...^^기다리라고 해놓고 얼마나 기다려야 하냐고 물어보면 말 무시하고 그냥 지 할일 하시고~!커플끼리 갔는데 자리 남는 곳 훤히 보이는데도  자리가 부족하다느니 찬 바람 쌩쌩부는 문 앞자리 앉아야 한다느니, 술은 드시는데 안주는 40분 기다리셔야 한다느니...누굴 호구로 보네요^^이 시국에고 장사 아주 잘~되시나 봅니다~!돈내고 쓰레기같은 서비스 당하시고 싶으시면 추천^^별점 왜 쓰레기인지 잘 알듯^^"
리뷰:),2,1,1.0,2020.11.16.,1.0,최악.. 절대 안갈 것 같네요.. ^^.. 음식은 몰라도 서비스 진짜 별롴ㅋㅋ
대성,11,14,3.6,2020.09.18.,1.0,지난번 방문해서 닭똥집먹었을 땐 괜찮았습니다. 이번 방문에 시킨 찹 스테이크는 만든 요리사한테 찹을 날리고 싶은 마음 뿐이였습니다.
태왕,1,1,5.0,2020.08.18.,5.0,
용막골,27,112,3.6,2020.04.11.,1.0,건물 이쁜건 인정. 근데 음식 맛이..
tto6,25,96,2.0,2019.09.13.,1.0,최악입니다. 음식 서비스 모두 최악입니다. 그냥 냉동식품입니다.
