user_name,user_rank,num_response,user_star,time,rating,content
맛없으면화남,14,16,2.9,2024.04.24.,3.0,무난하게 잘 먹은 것 같다인상깊진 않음
배홍동,12,15,3.9,2024.04.18.,4.0,탕수육 미쳤다얇고 바삭한 튀김옷과 고기로 꽉 찬 속..어향가지도 존맛 짜장면은 간이 좀 센 편이에여
오나경,2,3,5.0,2024.04.04.,5.0,
맛집만가는까미,12,15,3.9,2024.03.22.,4.0,맛이 참 좋습니다. 탕수육이랑 크림새우 꼭 드세요.하지만 셰프코스 꼬오오오옥 드세요.너무너무 친절하십니다.
냠냠,4,3,5.0,2024.03.18.,5.0,"탕수육이랑 짬뽕 먹었는데 짬뽕 둘이서 하나 시켰더니 그릇 나눠서 드릴까요? 먼저 물어봐주셔서 너무 좋았고 친절하셨어요! 국물도 너무 기름지지 않고 깔끔해서 좋았습니다.그리고 탕수육이 진짜진짜 맛있어요. 튀김은 얇고 바삭하고, 안의 고기가 질기지 않고 수분감도 있어 촉촉하고 부드러웠습니다."
김만덕,6,126,3.6,2024.03.12.,3.0,
shhiit,6,6,3.0,2024.03.06.,5.0,이 가격에 이 맛 퀄리티면 손꼽히는 맛집이라고 봅니다 곰부탕면이 제일이지만 다른 면류도 중상급 탕수육도 소스없이 먹는 걸 즐긴다면 추천
후기미제공매장은거르세요,25,58,3.9,2024.02.17.,4.0,처음갔을땐 서비스든 맛이든 진짜 센세이션이었는데 이젠 맛이 그렇게 압도적인지 모르겠음 직원들끼리 얘기하는건 너무 커서 신경거슬리는 수준이고  예전같았으면 면요리 두개시키면 먼저 나눠드리냐고 이야기했을텐데.. 전반적으로 수준이 너무 아쉬워짐
정재현,2,30,3.6,2024.02.16.,3.0,
맛집원정대따봉도치,42,341,4.2,2024.02.06.,5.0,"런치코스 3.7만원으로 가성비 좋고 특히 코스중 탕수육이 제일 맛있어요!코르키지 비용 2만원, 룸 이용시 단품이면 룸비 3만원 있어요"
임성환,2,5,4.2,2024.01.17.,5.0,맛도 좋고 괜찮아요 저는 금액도 매우 좋다고 생각
바질파스타,4,8,4.5,2024.01.04.,5.0,
Hank,8,14,4.5,2023.12.27.,5.0,
방문자,21,57,3.3,2023.12.26.,5.0,"진짜 맛있어요, 백짬뽕 맛이 고급스러움"
중식러버,1,11,4.3,2023.12.19.,4.0,
차오,22,41,5.0,2023.12.11.,5.0,유린기 꼭 드세요 모든 메뉴가 맛있음
4.9점,30,93,4.2,2023.12.09.,5.0,다먹고 찍은거 밖에 없네요개인적으로는 공부탕면<새우볶음밥=짜장면<<탕수육 이었습니다근데 다 맛있었어요!
BT62,19,512,4.2,2023.10.26.,4.0,
원범,28,85,3.1,2023.10.22.,5.0,1. 백짬뽕 시원칼칼하니 되게 맛잇엇구2. 짜장은 먼가 조금 아쉽긴햇는데 맛잇게 먹엇고3. 탕수육도 튀김이나 고기두께나 되게 맛잇엇는데돼지고기 돼지잡내가 너무 많이 나서 많이 거슬렷습니다.재방문의사도 잇으나 탕수육은 다시 이렇게 내시면 재요리 부탁할거같습니다  :)4. 잘먹엇습니다
보라,3,6,4.3,2023.10.17.,5.0,
._.,33,475,4.6,2023.10.09.,5.0,맛나용
굴자,27,85,3.6,2023.09.27.,3.0,짬뽕에서 마라맛이나서 그리 선호하는 맛은 아니었습니다
swanster,14,143,3.9,2023.09.26.,3.0,
Sol,13,24,3.0,2023.09.21.,2.0,
유코,4,5,4.0,2023.09.17.,5.0,탕수육이랑 깐풍기가 겉바속촉 맛있어요이렇게 탕수육깐풍기 잘 하는 집 진짜 얼마 없음
오또릴리,7,7,5.0,2023.09.06.,5.0,유린기 공부탕면 지림
이원재,3,2,5.0,2023.08.31.,5.0,공부탕면 탕수육 강추입니다
순두부,46,232,4.3,2023.08.30.,5.0,맛있었던 것: 게살스프 짬뽕 짜장면 어향가지 멘보샤 탕수육여럿이 가서 시키면 인수대로 그릇 다 나눠서 주시고 친절하심
운서운서,10,3,4.3,2023.08.26.,3.0,유튜브 등에서 맛집으로 들어왔던 터라 기대하고 가서 점심 세트 먹었습니다. 일단 매장에서 먹는데도 탕수육이 볶아서 나오지 않는 부분에서 크게 실망이네요... 신라호텔 출신이시라고 들었는데 아쉽습니다
포리,14,20,3.9,2023.08.26.,3.0,맛있는데 조금 짰던 기억과 양이 그다지 많다는 느낌은 아니었어요 예약하고 가는것을 추천합니다
도토리,11,11,2.5,2023.08.17.,1.0,맛은 좋아요 탕수육 진짜 맛있고요 근데 금발로 탈색한 여자직원분. 본인이 일처리 이상하게 해놓고 손님 탓하더라구요. 직원 교육은 어찌 하고 있는지 궁금하네요.. 그 여자 직원 때문에 별점 0주고 싶은데 최소 별점이 1이라 어쩔 수 없이 이렇게 남겨요~^^음식 맛은 좋아요!
진영,18,36,4.2,2023.08.16.,5.0,탕수육 결이 살아있는건 첨봐요
니니,10,9,4.0,2023.08.11.,4.0,아주 깔끔한 중국요리를 맛보고 싶다면 여기로
yj,20,52,3.8,2023.08.09.,5.0,요리류는 정말 맛있게 잘먹었고 여자친구랑 가고 이후에 가족끼리 재방문 할 정도로 잘먹었어요. 근데 식사류는 좀 아쉽습니다.
