user_name,user_rank,num_response,user_star,time,rating,content
별별별,8,9,4.9,2024.04.20.,5.0,정말 먹어본 라멘 중에 쩰 맛있어요. 국물도 고기도 딱 완벽한 일본 라멘 맛이에요! 추천 많이 하겠습니다!
맛집 찾아다니는 고양이,11,23,4.8,2024.04.09.,5.0,멘야산다이메는 유명한 돈코츠라멘 체인입니다. 그 중에서도 홍대점은 일본 현지와 매우 유사한 점포 분위기를 가졌으며 맛 또한 충분히 찾아 먹을만 합니다. 가격도 홍대치고 그렇게 비싼 편도 아닙니다.
뭐야,13,23,3.5,2024.03.03.,3.0,맛있는데 가게가 너무 좁음 미어터짐
진짜맛집만,9,22,4.0,2024.02.20.,1.0,
haena,16,27,3.8,2024.01.29.,1.0,주방에서 손톱갈고~ 자르고~ 다하시는 모습보고 😧이제 못가겠네요
ㅇㅅㅇ,31,89,3.8,2024.01.22.,5.0,양은 적지만 현지 맛에 가까움. 추억...
뚠뚠,14,31,3.7,2023.12.31.,5.0,너무 맛있어요
JJ,9,9,4.8,2023.12.05.,4.0,좀 짜긴 한데 괜찮아요 추억의 맛으로 가끔 먹으러 가는데 무난무난하니 맛있는 라멘집입니다
조현서,3,3,4.7,2023.12.01.,4.0,
권시예,2,1,5.0,2023.11.19.,5.0,양은 좀 적은데 맛있어요
만듀만듀,21,26,3.8,2023.11.01.,5.0,두세번씩이나 재방문한 일식라멘집.돈코츠라멘이랑 카라구치라멘 먹어봤는데 전 돈코츠라멘이 더 맛있어요.특히 돈코츠라멘 국물은 먹고 나와도 계속 생각나요
ON,14,32,3.6,2023.10.12.,5.0,진짜 너무 맛있음 재방문 의사 100%
냥냥,5,4,3.0,2023.09.24.,5.0,오랜만에 일본감성을 제대로 느끼고 갑니다 맛있어서 또 방문할거에요 ㅎㅎ 맛있고 그릇이 작아보이지만 깊게까지 있어요 부추김치도 맛있습니다! 직원분도 친절하셨어요~~
그게무슨,11,13,3.5,2023.09.21.,4.0,이젠 좀 괜찮은듯 싶은.. 맛있어요
.,17,31,4.0,2023.09.15.,5.0,주방 홀 직원 모두 일본인. 분위기 지림.덕분에 일본 느낌나서 좋았고 라멘 맛도 독특함.진한데 시원한 육수 느낌이고 다른 라멘집과 좀 다른맛임.평소에는 다른 라멘집 가더라도 무조건 한번씩은 여기 라멘 맛이 생각나서 주기적으로 들리는 편.
김카비,29,135,3.1,2023.09.13.,4.0,계속생각나는맛 다른지점도 맛있음짜다고 느낄수이씀
Gordon Ramsey,22,88,4.0,2023.08.22.,4.0,츠케멘 괜찮았습니다.
긴가민가요,4,4,4.0,2023.08.03.,5.0,오이시
정대만,23,37,3.6,2023.07.31.,4.0,간이 좀 쎈 편이지만 맛있어요!!차슈 맛있음 양도 꽤 많은편
푸다뱅,75,933,4.2,2023.07.21.,3.0,현지 일본라멘이랑 가장 똑같다고 생각되는 맛입니다. 특히 간이 좀 짠 편이라 일본에서 먹던 라멘과 비슷한 간입니다.
안녕하쇼,21,140,4.6,2023.07.07.,5.0,
원범,28,85,3.1,2023.06.20.,4.0,정말 베이직한 라멘가게 1년에 1번정도 생각나서 감
ฅ՞•ﻌ•՞ฅ,36,175,3.5,2023.06.17.,5.0,처음 갔던 10년 전과는 토핑도 차슈두께도 달라졌지만 그래도 여전히 최애 라멘집타임스퀘어점 부활해주면 안되겠니...ㅠㅠ
0-0,24,104,4.3,2023.06.11.,4.0,맛있어용 라멘 괜춘
공부,16,46,3.8,2023.05.07.,3.0,5년전엔 진짜 맛있었는데 지금은 평범해졌다
은율,16,13,4.5,2023.05.05.,5.0,들어가자마자 이랏샤이마세~ 하고 친절하게 반겨주셨습니다 가게가 조금 좁았지만 맛은 너무 좋았어요 칼칼하고 적당히 매운 국물이 인상적이었고 마제소바 먹었던 친구들도 연신 맛있다고 하면서 먹었습니다! 최근 먹은 라멘 중에서 제일 맘에 들었어요 🥰
지구,24,59,4.7,2023.05.03.,5.0,13년부터 홍대 라멘은 여기만 감. 블랙 라멘 최고. 여기 망하면 홍대 안 갈 거임. 장소 많이 좁고 3명 이상이면 웨이팅 좀 많이 기다려야 할 수 있음. 간 쌘거 좋아하면 블랙 완전 추천.
펩시제로,7,15,3.0,2023.04.30.,4.0,
윤냠,22,68,3.6,2023.03.14.,3.0,혼밥하기 좋아요 맛 괜찮아요
주영커,53,555,4.1,2023.03.08.,5.0,"[ 맛 인정합니다 ]홍대 온 김에 라멘집 찾다가두세곳 폐업, 휴업 딱지 보고, 이곳 다녀갑니다엇그제 다녀온 나고야 일본 여행을 질질 끌어보고팠나 보옵니다.양 작은 게 흠인지, 비싼 게 흠인지~^^양작아뵈나 그릇이 깊었네요, 온김에 교자 5알 4천원 추가~^^"
앵쓰,13,24,4.9,2023.02.14.,4.0,일본온줄 알았슴다혼밥 하기 좋음그냥 일본 라멘집 분위
콜키지 사냥꾼,41,164,3.8,2023.02.12.,4.0,"총대표님 보시면, “챠슈 왜 이렇게 얇아졌죠? ” 오늘만 이런거죠?"
피클이빠졌어,22,63,3.5,2023.01.28.,4.0,한국 라멘 체인중에 여기보다 맛있는데가 있긴한가?
냉철한입맛,43,503,3.7,2023.01.15.,4.0,카라쿠치라멘 맛있으나 가격이 계속 오르는게 단점
yor,20,85,3.8,2022.12.18.,3.0,육수를 머는건지 맹뮬을 먹는건지서비스는 친절
햰,38,196,3.4,2022.11.27.,4.0,평범하게 맛있어요!
많이먹는알통맨,20,40,3.6,2022.11.24.,4.0,아사히 생맥주랑 매운라멘 짱
🛸,17,190,4.4,2022.10.13.,5.0,카라구치 짱
먹잘알맹이,12,18,3.5,2022.10.07.,5.0,다시 가고 싶을정도로 가끔 생각남. 돈코츠라멘 다 거기서 거기라고 생각했는데 맛있음
ㅋㅆㅇ,37,695,3.8,2022.09.02.,3.0,
NNN,26,86,4.1,2022.08.26.,5.0,맛있는데 좁고 사람이 많아요그래도 종종 생각나요
맛있는 메뉴,15,71,3.9,2022.08.13.,5.0,쿠로 라멘
bright52,9,15,4.3,2022.08.09.,3.0,라멘을 처음 접했던 가게 그 당시엔 너무너무 맛있다고 생각했으나 지금은 평균적인 라멘집이라고 느껴짐
얍,5,4,4.0,2022.07.19.,4.0,"돈코츠라멘 8500원조금 짠 정도 맛있었다 한 번쯤 와볼만 함공간 좁음 2인용 테이블, 바만 있음"
맨드라미,20,50,3.0,2022.06.25.,3.0,맛있는데 좀 짜요. 라멘이랑 마제소바 주문했는데 그냥 라멘보다 마제소바가 아주 맛있고 양도 많았어요. 그런데 매장이 너무 협소해서 불편했어요.
오호아하,29,226,4.5,2022.04.30.,5.0,여기가 찐이야...
객관적으로,3,2,5.0,2022.04.25.,5.0,라멘 진짜 맛있음 일본인 직원분들이 일본어로 인사해주시고 친절하심 라멘이랑 맥주조합이 오짐
장래희망 돈 많은 한량,21,132,3.5,2022.04.13.,4.0,
ღ,34,150,4.9,2022.04.03.,5.0,"일본에 온 것 같아요 ,, 메뉴에 일본어보다 한글이 조금 더 컸으면 좋겠다고 생각했습니다 .. 맛은 짱"
내가누구게,15,90,4.1,2022.03.27.,5.0,크으..
tttz,4,6,3.0,2022.03.21.,1.0,같이 들어간 팀이 다 먹고 나갈 때까지 음식이 안 나와요게다가 다른 손님한테 우리 메뉴 잘못 줌테이블에 따라 음식 나가는 거 같은데 우리가 알바생한테 물어보고 자리 바꿨는데 알바생이 주방에 전달 안 했는지 꼬였더라고요우리 음식 안 나왔다 얘기만 했는데 진상취급하는건지?주방에서 궁시렁거리고 계산하고 나갈 때까지 쳐다도 안 보고 인사도 안 하더라고요
김준혁,3,46,4.7,2022.02.12.,5.0,개맛있음
