user_name,user_rank,num_response,user_star,time,rating,content
까다로운사람,50,"1,026",3.6,2024.04.06.,4.0,디저트 카페! 커피 저렴함.
나,17,39,3.4,2024.02.01.,1.0,평일 여자 알바분 겁나 싸가지 없구요....심지어 커피맛도 없어서 바로 나왔어요
✿,21,29,4.2,2024.01.04.,5.0,샌드위치가 정말 맛있습니다...👍
또오기,33,195,2.5,2023.12.17.,4.0,매장이 꽤 좁고 음악이 안나와서 좀 그렇다커피와 크로플은 괜찮음
연근튀김,41,203,4.0,2023.12.01.,4.0,매장 안이 하얀색이라 분위기도 밝은 느낌이고 사장님도 친절해요
JH,1,1,5.0,2023.08.21.,5.0,
푸다뱅,75,933,4.2,2023.08.11.,3.0,"크림이랑 과일은 맛있는데, 크림 양이 너무 많은지 크로플이 거의 젖어서 아쉬움, 분위기는 캐주얼하니딱 좋음"
호불호,45,248,4.1,2023.03.04.,5.0,장소 멋짐 음료 맛집사장님 대친절
푸하핳하,17,43,2.7,2022.11.27.,1.0,2022.1.16 ㅅㅊㅈ 포교 행사
정재훈,13,19,4.4,2022.11.16.,5.0,맛있어요
Bigmama,31,137,3.4,2022.08.18.,5.0,분위기 좋고 이쁘고 커피도 맛있다. 사장님이 정말 친절하다.
우잉,3,1,5.0,2022.08.12.,5.0,카페가 너무 예뻐요! 사장님도 친절하시고 아인슈페너가 맛있었습니다🖤 크로플도 맛있다고 하던데 다음에 또 가서 먹을게요!!
기승,4,4,3.0,2022.07.26.,5.0,인테리어도 예쁘고 사장님도 너무 친절하시네요아인슈페너와 크레이프 케잌이 일품입니다!!
햄,15,31,4.1,2022.01.27.,5.0,
프로리뷰러,3,4,4.8,2021.05.14.,4.0,예쁘고 좋아요
맛있는거줘,20,50,3.9,2019.12.05.,3.0,통..
돋을볕♧,20,34,4.4,2019.10.19.,5.0,좋아요:)
