user_name,user_rank,num_response,user_star,time,rating,content
5점쉽지않다,42,357,3.6,2024.04.18.,3.0,아기자기 귀여워요.인스타감성으로 좋은곳.빵을 다들 너무 태워서 타는 냄새가 계속 나요.재방문의사 : 사람별로 없으면 있음
:-),5,3,2.3,2024.02.17.,1.0,전화주는 웨이팅 시스테인데 ❗️누락❗확인하러 들어가니까 이름에 찍 - 그어져있고 최근기록 확인만 하시고 사과도 없이 그냥 다음에 바로 불러주신다고 하네요.가스 나가서 갈아주시다가 불 확 - 나서 머리카락까지 탔는데 신경도 안 쓰시고 “맛있게 드세요“하고 가셨어요.다시는 안 갑니다 ㅎㅎ
jja,12,18,3.7,2024.01.05.,4.0,분위기 좋고 다 좋은데 사람들이 말 안듣고 빵 다 태워서 타는 냄새 너무 심함환기에 대한.. 대책이 필요할 듯
효,4,279,3.7,2023.12.21.,3.0,
🪼,5,3,3.7,2023.12.16.,5.0,빵 너무 맛있어요! 친구랑 한입 먹고 맛있다를 반복하며 다 먹엇어요⋯ 제가 실수로 컵도 깼는데 사장님이 너무 친절하게 말씀해주시면서 치워주시고 정말 최고⋯🥹🩷 친구들한테도 추천하고 다니려구용.ᐟ.ᐟ.ᐟ 홍대 갈 일 있을 때마다 방문하고 싶은 카페 ♡ ｡ ✩ * ｡ ♡
동민,31,86,4.8,2023.11.17.,5.0,귀여운 감성카페였다
김현주,4,2,5.0,2023.08.17.,5.0,분위기도 너무 좋고 음료 디저트 맛도 좋네요다음에 또 방문하고싶어요🥰👍🏻
이정석,2,1,5.0,2023.08.08.,5.0,인스타 감성의 이쁜 카페입니다!음료랑 디저트도 맛있고 분위기가 너무 좋아요!
병진,2,5,3.8,2023.07.17.,5.0,감성카페
김민,26,60,5.0,2023.07.14.,5.0,일단 분위기가 매우 좋아요. 라떼도 존맛.
한성구,2,1,5.0,2023.07.10.,5.0,홍대에서 지인 기다릴때마다 방문하는 카페입니다.  아메리카노에 휘낭시에가 맛있어서 두개씩 먹는답니다.
김정호,1,1,5.0,2023.07.05.,5.0,인테리어가 너무 이쁘고 커피 랑 케이크 맛나요~번창하세요
이 아람,2,5,4.6,2023.05.03.,5.0,
홍진,7,15,5.0,2023.05.03.,5.0,맛집중에 맛집  매년 가고싶은곳
라인,14,17,4.7,2023.01.15.,4.0,귀여워 ㅎㅎ 잼이 맛있어요!! 굽다보면 가게가 흐릿해집니다 ㅋㅋㅋㅋㅋ 가게가 넘 귀여워요!!!
곽두팔,23,64,3.8,2022.10.10.,2.0,매장은 아기자기해서 귀여웠으나 음료에 특별한 점은 없음.
냠냠,9,7,4.3,2022.09.03.,4.0,"제가 간 카페중에 가장 귀여워요빵이나 식기, 곳곳의 일러스트와 굿즈 구경하면서 행복했습니다음료랑 커피 양이랑 맛은 그냥 그래요자꾸 탄내같은게 나는데 환기도 안돼서 별로였습니다하지만 귀여워서 또 갈 예정"
민,24,305,4.3,2022.08.25.,3.0,
bada,62,615,4.2,2022.08.13.,3.0,아기자기하고 소품도 팔아서 좋고 커피맛도 무난했어요. 하지만 가성비는 좀 떨어지는 편이고 주변에 빵을 구워먹던데 환기가 전혀안되서 아쉬웠어요
.,15,41,3.3,2022.08.02.,3.0,귀엽고 커피가 써요.. 너무써요...
이이잉,31,189,4.0,2022.07.06.,4.0,
박규진,7,15,3.7,2022.06.11.,3.0,커피양이 진짜 느므 적다 ㅎㅎㅎ  종이컵보다 살짝 큰 잔에 줘서 2번 시켜먹어야할 판
MJay Ko 고 민정,89,"8,538",3.3,2022.02.15.,4.0,Coffee
haruya,20,32,3.9,2022.01.29.,5.0,분위기 갑
김예라,9,14,4.1,2022.01.29.,5.0,계랑빵 최고!4년 단골입니다!!
ㅇㅅㅇㄷ,67,374,4.4,2022.01.20.,4.0,맛은 무난함 근데 진짜 예쁨.... 일본 분위기 ㄹㅇ임.... 빵은 어떨지 모르겠네요
미식가,34,124,4.2,2022.01.17.,2.0,예쁜게 끝인...
김샴밥,12,21,1.8,2022.01.09.,1.0,환기 1도 안됨 그냥 지나가다 들렀는데 너무 매캐해서 숨막힘
렘,19,46,3.3,2021.12.19.,1.0,이쁘기만 하고ㅠㅠㅠㅠㅠㅠ 흐엥 내 돈
커피,12,13,2.3,2021.12.08.,1.0,잠깐!! 저스트 모멘트!!커피를 마실거라면 뒤로 돌아 핸드릭스를 가라.귀여운 얼굴이 박힌 빵은 안먹어봤어..
민섭&재인맘=김선희,26,259,3.5,2021.10.24.,3.0,
예수아버지의자녀❤️,5,9,1.9,2021.10.23.,1.0,.
찐,55,153,4.1,2021.09.16.,4.0,아기자기한 소품들 곰모양 빵들. 귀여운...그런데 사람들이 넘 빵을 태워서..온몸에 탄내 진동 ㅜ
cheerryy,22,45,3.6,2021.07.03.,5.0,정말귀여워요
만쥬,31,130,3.3,2020.11.18.,3.0,인테리어가 귀엽고 굿즈들이 넘 귀여워요.. 그치만 귀여운게 전부 ..
w.w.w.,21,54,4.1,2020.10.30.,4.0,귀엽기만 한 곳인 줄 알았는데 맛도 있어서 좋았다 말차크림라떼는 크림이 정말정말 찐한 말차맛 계란빵도 스프도 전부 맛있었음
맛없는데 비싸면 맞아야해,16,20,3.4,2020.10.16.,1.0,직원들 왤케 싸가지 없는지 모르겟음 주문 하려고 카운터 가니까 저 멀리서 멀뚱멀뚱 쳐다만 보고 참다못해 내가 주문 해도되는거에요? 물어도 절때 가까이 안오더니 네. 라고만 대답하고 ㅋㅋㅋㅋㅋㅋ 들어올때 나갈때 절대 인사안함 ^^ 나는 무슨 말안하기 대회하는줄 빵은 맛있었지만 기분나빠서 다신 안갈듯
Dwyer,6,8,2.6,2020.08.19.,5.0,staff are a bit sad :(. But the coffee was good. The interior was great. The music was amazing. If only the staff didn't look like they look like they just lost a relative in a car crash!!!
리뷰왕,17,29,3.1,2020.07.14.,2.0,썸머메뉴 먹고싶었지만 품절이라고함 계속 죄송해여 하면서 품절이라고 해서 다른거 먹음 옆자리테이블 것도 품절 됬는지 양해구함...진짜 한낮에.....유명한 카페가!!.!.....제대로 된게 읍더!
미음,31,96,4.1,2020.06.05.,4.0,사장님이 일본분인거 같아요 인테리어가 일본 느낌이라 귀여웠고 사람 별로 없어서 조용했어요
홍홍홍,33,223,3.7,2020.05.23.,3.0,통이에요
칸탈로프,58,607,3.2,2020.02.26.,3.0,
B,22,50,3.5,2020.01.03.,3.0,외국인들 많이 옴 일본 카페를 그대로 옮겨놓은 듯한 느낌ㅇㅇ 불친절을 직접 경험하지는 못했는데 다른 손님한테 불친절하게 구는 걸 목격한 적은 있음
뇸뇸,17,29,4.1,2019.08.08.,3.0,화장실 밖에 있고 쓰레기통애 휴지 쌓여있어서 별로친구가 가자고 해서 가긴 했는데 재방문은 안 할 듯
배고파요,33,119,3.0,2019.08.03.,1.0,여기 일본사람이 하는곳이에요? 일본사람이 일하고 가게에 온통 일본어고 일본노래까지 나와요. 모르고 갔다가 웨이팅까지 했는데 이건 아닌거같아서 그냥 나왔어요
_,14,62,3.7,2019.07.17.,3.0,"빵 존맛탱 근데 외국인, 사람 너무 많음 웨이팅있음 정신없음"
gooooooood,32,429,3.7,2019.06.15.,5.0,서머 아메리카노와 계란말이 빵은 최고빵에서 은은하게 느껴지는 와사비가 킥이다
행복한지렁이,22,72,3.7,2019.05.06.,4.0,직원분들 불친절할까봐 걱정했는데 친절하셔서 좋았어요빵세트 시켰는데 음료를 또 1인 1잔 시켜야해서 배불러죽는줄 알았어요 ㅠㅠ딸기크림라떼는 꼭 드셔보세요 크림라떼가 유명해서 먹어봤는데 딸기가 더 맛있었어요빵굽는건 개인적으로 비추함니다 그냥 집에서 토스트기에 구워서 딸기잼 발라드세요..매장이 협소하고 오픈시간 얼마안지나서 갔는데 테이블 거의가득차있었구요 주차할곳이 마땅히없어서..  (매장앞에 두대는 댈수있을듯) 근처에 주차하시고 걸어가셔야합니다~그리고 한국사람보다 외국인들이 더 많이 오더라고요ㅎㅎ
광화문킬러🔫,8,61,3.6,2019.04.27.,1.0,친절은 바라지도 않습니다. 뭘 불어보면 멀뚱 멀뚱 쳐다만 보지 말고 제대로 대답 좀 해주세요. 무례하게 물어본 것도 아니고 이상한 걸 요구한 것도 아닌데 왜 쳐다보기만 하세요? 직원 두 분 다 그렇네요.
빵먹는사람,40,255,3.7,2019.04.04.,3.0,캐릭터 확실 소품이랑 메뉴가 잘 어우러짐 맛은 쏘쏘
한창잘먹을나이,18,33,2.8,2019.02.20.,1.0,남직원들 불친절해서 짜증났음다신 안 간다
새별,44,250,3.8,2018.11.03.,4.0,토요일 점심시간 쯔음 방문. 웨이팅이 (엄청나게) 길었지만 재밌고 맛있고 즐거운 시간을 보냈으니 되었다. 가성비 그런건 모르겠다.
tkhsjr,32,911,3.7,2018.09.10.,3.0,특별히 좋을것도 나쁠것도 없었던 카페지만 일하는 직원의 응대가 조금 무성의하다고 느꼈습니다. 그리고 머무르는 동안 모기 두 방 물렸어요...
별점조작은말없이1점,57,475,2.9,2018.07.28.,3.0,커피쏘쏘 계란빵맛나요! 나머지 빵종륜 별로...
