user_name,user_rank,num_response,user_star,time,rating,content
떡국맨,10,9,3.6,2024.04.02.,1.0,"개인적으로는 짜고 별로여서 이건 취향이라고 치지만진짜 충격적인 것은 다 먹고 얘기하다가아무생각없이 피자를 담아준 은박 접시를 물티슈로 닦았는데, 이런 검댕이 묻어나온다.  두그릇 전부...."
박기훈,7,39,4.3,2024.03.27.,4.0,최고의 해장 피자
붕붕붕,4,3,5.0,2024.02.06.,5.0,밤늦게까지 해서 배고플때 생각나는곳 ㅠㅠ 피자 존맛탱 피클이랑 핫소스도 있었음 조켔다🍕
홍석찬,2,3,4.0,2024.01.18.,5.0,
디저트쳐도리,63,165,4.7,2024.01.07.,5.0,피자미치신듯~
정직한 후기 만 쓴다,11,20,2.2,2023.11.30.,1.0,"일차적으로 별로 … 알바생끼리 웃고 떠듬  둘째 그리고 피자 별루 가격이 문제가 아니라 피자가 …,.. 너무 얇고 싸구려맛이고 미리 구운것 줌차라리 돈 더 주고 좀더 질 좋은 피자먹을듯시간걸리더라도 한번 안좋은 경험하면 다시는 안감"
tae_fraish,4,4,4.8,2023.11.18.,5.0,Good place to eat especially when you are out in Hongdae 👍
홍밥러,46,215,4.3,2023.10.29.,5.0,토핑 별 거 없는데 기본적인 피자 맛 최고예요. 뭐 잔뜩 올라간 거에 비해 질리지 않아요. 최애피자
Laura / 하니,2,2,5.0,2023.09.02.,5.0,
Sundry,17,38,4.1,2023.09.01.,5.0,가성비가 매우 좋네요! 피자도 너무 맛있습니다!
마포섹시가위,11,61,4.4,2023.03.25.,5.0,금강산도 식후경
홍홍,25,88,3.5,2023.03.09.,3.0,페페로니 스파이스걸즈 먹었는데 맛있어요간편하게 먹기 좋았어요포장손님이 더 많은편이라 안붐벼요
한냥충🐛,36,180,4.1,2023.02.18.,5.0,빵디 흔들가 뱌고프면 처먹처먹
김덕배,42,218,3.8,2022.11.27.,1.0,이제는 갓구운 피자를먹을 수 없는 곳. 다 식은 피자 뎁혀주는데 맛없어요 ㅎㅎㅎ 모기 날아다니는 위생상태도 맘에 안들고 … 여기저기 지점 늘리던데 초심을 잃은 피자가게더 이상은 안가요
내가 곰으로 보이냐곰,37,195,3.6,2022.11.04.,4.0,치즈피자 먹었는데 크러스트가 맛있다!보통 피자보다 사이즈 두배는 큰 조각하나랑 콜라작은캔 하나 6000원이 어떻게 가능하지
Klaus (클라우스),2,51,4.4,2022.10.08.,5.0,
김현정,1,2,3.5,2022.03.29.,5.0,
밍맹고,23,49,4.5,2022.02.22.,5.0,이것이 미국식 피자다
.,33,153,3.6,2022.01.16.,5.0,페페로니 슬라이스 피자 너무 내취향
blanca,33,191,3.5,2021.05.23.,4.0,치즈피자 맛잇다
진실의 미간,47,405,3.7,2021.05.15.,5.0,맛집 ㅇㅇ
ㅇㅅㅇ,26,114,3.6,2021.04.19.,4.0,
ㅠ,48,264,3.9,2021.02.21.,2.0,피자가 미지근해요 ㅡㅠ
Mj,35,963,4.0,2021.02.03.,2.0,걍 그럼
SHK,55,495,4.5,2020.02.09.,5.0,짭짤한 미국식 피자 좋아하면 꼭 가봐야됨!
Jin,14,68,4.5,2019.11.05.,5.0,미국식 피자
코로나여도맛집은잘만된다,11,27,3.0,2019.09.22.,1.0,맛없어짐 더러움
S. Kim,45,"1,148",3.5,2019.09.15.,4.0,
내가진짜쩝쩝박산데다따라하네,89,"1,717",3.8,2018.01.15.,3.0,이미 만들어진 홀 피자에서 한 조각씩 판매하는 곳. 크기 정말 크다. 주문 후 음식 나오는 속도 엄청나다. 맛은 노코멘트하겠다. 개인적으론 할라피뇨와 베이컨이 들어간 spice girls가 그나마 나앗다.
