user_name,user_rank,num_response,user_star,time,rating,content
맛집탐방자,16,30,4.1,2024.04.20.,5.0,"아주 맛있게 먹었어요!! 분위기 맛 서비스, 무엇하나 빠지지 않는 이태리 식당이에요"
Jisoo*,31,82,4.2,2024.04.17.,5.0,풍기피자 꼭 츄라이
E.Han,52,139,3.7,2024.04.13.,4.0,"너무나 기대하고 좋아하고 싶었던 집. 메뉴, 친절, 분위기 다 좋다. 그런데 음식이 안짜게 해달라 부탁 했음에도 짜다. 원래 좋아하는 재료만 올라간 루꼴라 프로슈토 피자도 짜고, 파비오 파스타는 부실한 재료 비해 너무 비싸다. 피자 크러스트는 좋다. 퀄리티가 가격에 비쳐지지 않은 기분. 생일 축하하러 예약했는데 조금은 아시움이 남는 축하 저녁이였다."
스티치,54,860,4.2,2024.03.29.,5.0,피자 맛있어어ㅓㅓㅓㅓ
ㄱㄴㄷ,5,4,3.0,2024.03.16.,5.0,인생피잣집. 사장님도 무지 무지친절하시고 피자도 너무 맛있어요. 단순한 화덕 피자랑은 또다른 맛. 요즘 합정까지 가기엔 먼 곳으로 이사를와서 자주 못가지만 정말 최고 피잣집입니다. 저도 추천받고 다니지만 저와 왔던 지인들 모두 여러번 재방문한 맛집입니다. 그리고 여기는 파스타도 맛있지만 피자가 압도적인 맛이므로 1인 1피자 추천해요.
쩝쩝박사,31,30,4.3,2024.03.10.,4.0,
.,16,37,4.4,2024.02.22.,5.0,인생 피자집.......풍기 피자 무조건 드세요
하형민,18,5,4.4,2024.02.22.,5.0,"이런 맛과 친절함이 있는 곳이니 그렇게 사랑받는 거겠지 싶습니다. 평소 음식의 맛과 향 둘다 좋아하시는 분들이라면 친구 혹은 연인과 함께 가보시길 추천드려요 :) 저도 다음 번엔 기념일에 스테이크 먹으러 또 가볼까 합니다!p.s. 피자 도우가 포카치아인 듯 아닌 듯 호불호가 있을 수 있습니다만, 베어물 때 피자 토핑과 베이스를 빨아들이듯 먹으면 더욱 맛있습니다."
Typhoon,13,85,4.1,2024.02.16.,4.0,
J,20,36,4.1,2024.01.31.,5.0,피자 존맛... 근데 너무 작고 크기에 비해 비싼데 1인 1메뉴 ㅋㅋ 그래도 맛은 있음
벼랑위의당뇨,16,32,3.9,2024.01.29.,5.0,항상 너무 맛있어요!! 예약해야해서 조금 귀찮긴한데 사장님도 항상 친절하세요!
.,8,12,4.7,2024.01.28.,5.0,
진조,16,25,4.9,2024.01.23.,5.0,언제가도 맛있는 집!
영원,3,1,5.0,2023.12.29.,5.0,맛뿐만아니라 친절한응대로 더욱 기분좋게하는 곳
MJ,10,12,5.0,2023.11.13.,5.0,피자와 파스타 모두 맛있었어요. 특히 풍기피자 향도 식감도 최고였습니다. 어울릴만한 파스타도 친절하게 추천해주셔서 좋았습니다.
hyahhoi,2,4,4.0,2023.11.08.,5.0,
Tiffany,6,71,4.2,2023.10.09.,4.0,"풍기 피자, 맥주"
한,46,300,3.5,2023.10.08.,3.0,피자굿 파스타는 가격대비 비추 메뉴당 거의 3만원씩 근데 양이 귀여움 음 가격대비 양이적음 친절 재방문은 딱히
굼댐,22,43,5.0,2023.10.02.,5.0,메뉴 조화롭게 추천해주시고~ 너무너무 친절~ 미리 예약하고 가시고~ 분위기 너무너무 좋아요~ 다음에 와서 다른 메뉴 먹을라구요~
