user_name,user_rank,num_response,user_star,time,rating,content
제종현,7,8,3.5,2024.04.13.,5.0,가격은 살짝 세지만 편한 분위기와 맛있는 음식이 장점입니다
서교동 강냉이 탈곡기,50,698,3.6,2024.04.07.,4.0,커피종류 외의 음료가 겁나 비쌈 분위기는 좋음 노래가 중간중간 이상한게 나와서 좀 별로였삼 소파자리 편함
🎀행복하세요🎀,21,68,2.6,2024.04.02.,3.0,화장실 갈 때 담배 냄새가 넘 심해요.개방감 있는 공간이 너무 좋지만디저트 부실해서 아쉬움 ...
밤구,14,17,4.9,2024.03.06.,5.0,"음악 선곡이 좋고 음식 커피 술 다 있어서 혼술하기에도, 모임장소로도 좋아요 반려동물과 다양한 사람들이 이용하기에 편안한 자유롭고 개방감 있는 공간입니다. 다만 비흡연자의 경우 야외 흡연구역 입구쪽과 거리가 먼 좌석을 추천합니다. 댓글보니 호불호가 많이 갈리던데 저는 오히려 이곳의 서비스가 담백하고 편하게 느껴져요 내공있는 공간들이 점점 사라져가는 홍대에서 얼마 안 되는 특별한 공간이라 오래오래 있어줬으면 좋겠습니다."
ㅇㅇ,4,9,5.0,2024.03.02.,5.0,
맛과청결모두중요한사람,23,32,3.6,2024.03.01.,2.0,💻🔌 대화 + 노트북 하기 좋아요 (only 2층) / 🫧 청결 4점 / 🚽 화장실 매장 안에 있음 / 대화하면서 작업하기 좋아요. 음식은 나쁘지 않은데 예상 가능한 맛입니다!
민트초코 훌륭해!,7,4,4.3,2024.02.28.,4.0,최근 콘센트가 사라졌다는 특징이 있으나 작업하기 좋은 곳임
최혜민,14,23,4.5,2024.02.01.,5.0,오랫동안 다닌 애정하는 공간. 푸드 메뉴 맛있고 채식/베지테리안 옵션이 있어 너무 좋다. 얌운센 커리부어스트 카레 피시앤칩스 김볶밥 샌디치메뉴를 좋아한다. 하지만 나의 원탑은…감자튀김🤩
스스로불러온재앙에짓눌려,26,156,4.5,2024.01.18.,4.0,
롸,16,31,4.2,2024.01.01.,4.0,2층 아늑해서 좋아요 메뉴는 좀 비싼편
-,10,21,4.0,2023.12.30.,5.0,작업 및 미팅하기 좋은 곳
진택,2,2,5.0,2023.12.29.,5.0,
이동규,14,44,4.0,2023.12.29.,3.0,
