user_name,user_rank,num_response,user_star,time,rating,content
맛집은4점,13,20,4.0,2024.04.20.,3.0,낫배드!! 하지만 기다릴정도는 아닙니다냉라면에 하이볼 굿
전영민,21,150,4.7,2024.04.17.,5.0,맛집
.,30,142,4.1,2024.03.23.,2.0,아 왜지...맛이 없음...
SOHADA,4,1,5.0,2024.03.20.,5.0,
메에,12,18,3.9,2024.03.13.,3.0,"가격이 저렴하기는 합니다만 줄 서서 먹을 정도는 아님. 점심 가볍게 한 끼 때우긴 좋지만, 맛있지는 않습니다. 그냥 적당히 먹을만함. 학식 대용."
김희진,1,2,4.5,2024.03.09.,4.0,
헬로똣또,42,335,3.0,2023.12.26.,5.0,추억이 있는 무라. 간장새우밥은 여기가 유명했죠
맹현재,4,13,4.8,2023.12.06.,5.0,냉라멘이 정말 맛있어요
맛잘알,3,3,2.3,2023.12.06.,1.0,맛이 별로에요..
와압,25,48,3.5,2023.11.14.,4.0,전체적으로 메뉴들 간이 쎈 편명란우삼겹덮밥은 한입 먹으면 맛있는데 먹다보면 물림..냉라면은 자꾸 생각나는 맛
도동이,14,29,4.9,2023.11.02.,5.0,명란 우삼겹 먹으러 가는곳!
세모눈,31,80,4.7,2023.10.24.,5.0,대야만한 크기에 나와서 진짜 당황했는데 다 먹은 나도 신기해서 당황스러웠던 가성비. 가라아게 냉라멘 처음 먹어봤는데 맛있었어요 !
ABC Cage,29,116,5.0,2023.10.22.,5.0,치킨돈부리냉라멘 생각나는곳이전했으니 곧 먹으러 갑니다~~
.,17,31,4.0,2023.09.15.,5.0,그동안 갔던 무라 체인점들 중 여기가 제일 괜찮음같은 체인점이여도 지점마다 퀄리티가 다르긴하네
monicaSUN,3,2,5.0,2023.09.07.,5.0,일본가정식 혼밥
포리,14,20,3.9,2023.08.26.,5.0,돈까스 냉라멘 주기적으로 생각나는맛 여름 필수코스예요
서정원,6,5,5.0,2023.08.24.,5.0,"여기 추천메뉴 3개: 냉라멘, 우삼겹명란덮밥, 그리고 매운 우삼겹명란덮밥"
rara,24,74,3.1,2023.08.16.,3.0,무라 초기엔 재료도 좋고 맛있었는데지금도 맛은 있지만 작은 부분부분 재료가 바뀌고초반에 비해 아쉬운 부분이 생겨요!다시 초심으로 돌아가면 좋을텐데!
오연주,41,127,4.7,2023.07.20.,5.0,맛있는 곳이예요.냉라멘이 최애예요.메뉴가 늘었어요.네이버예약하면 천원씩 할인되요. 줄서는 맛집.
진거이,14,26,4.6,2023.05.26.,5.0,맛있고 하나 확실한 건 맛없는 메뉴가 없음
사랑,17,27,4.3,2023.02.20.,3.0,나쁘지않음 진짜 평범함니당
노하은,2,1,5.0,2023.02.20.,5.0,너무 맛있어서 다음에 또 방문할 것 같아요 연어가 입에서 녹고 날치알 톡톡 씹혀서 너무 좋아요
진실의방,17,17,4.2,2022.12.09.,1.0,가지마세요.. 대창은 겉은 딱딱 속은 건조합니다.차라리 신림역 연하남 가십쇼 거기가 더 맛있음
ㅇㅇ,45,308,4.4,2022.11.19.,5.0,
맛집탐방아티스트,47,413,4.3,2022.11.09.,4.0,간단하게 먹기 좋은. 메뉴가 다양하다.
그린그린,70,772,4.2,2022.10.06.,3.0,2009년부터 다녔던 추억의 맛집인데 이제 물에빠진 돈까스는 그만 먹고 다른 메뉴를 먹자. 아마도 냉라면을 처음으로 먹어봤던곳
준듀,22,53,4.0,2022.08.14.,3.0,그냥 저냥 먹을만한 느낌..?!
마슐랭,13,22,3.5,2022.07.23.,5.0,
ㄱㄱㅑ,63,"1,218",2.9,2022.07.09.,3.0,학교앞 밥집
Althea,6,6,3.2,2022.07.06.,4.0,냉라멘 자체는 괜찮다 하지만 나는 기대하고간게 히야시츄카여서 별하나뺌
노케팔,4,8,3.8,2022.07.04.,4.0,종종 포장해서 먹는데 맛있습니다!
깜깜징어,10,17,3.2,2022.06.11.,3.0,냉우동 맛있어요. 근데 연어•간장 새우 덮밥은 퀄이랑 양이 아쉬웠어요.
수경,7,7,4.9,2022.06.07.,5.0,맛잇어용 일부러 포장도 하러가용신당사능뎋ㅎㅎㅎㅎ아주 맛잇어용일식안좋아하능데 여기는 아주 맛잇어용 굳
하와이,26,95,4.0,2022.05.18.,4.0,"돈까스가조금작아서아쉬웠던.,,,"
D. S. LEE,43,250,3.5,2022.05.14.,4.0,홍대에서 꽤 오랫동안 장사를 하고 있는 가게. 대부분의 음식들이 평균 이상의 맛을 보여준다.
옹고,16,21,4.5,2022.03.15.,4.0,무난하게 맛있는 맛!
김선경,33,127,4.3,2022.01.30.,5.0,무난하게 맛있어요
Paul.h,26,65,3.5,2021.10.01.,5.0,사진 찍기전에 음식이 사라지는 곳..
ㅇ,29,108,2.6,2021.08.09.,5.0,오랜만에 갔는데 여전히 맛있네요돈까스냉라멘인데 약간 짜긴해요
ㅎ,29,106,2.8,2021.06.28.,5.0,"학생때부터 갔는데, 여전히 맛잇어여ㅠㅠ 행복함"
후후,13,28,4.2,2021.04.09.,5.0,서빙하는 여자 직원분이 친절해요
푸추,21,43,5.0,2021.03.29.,5.0,
조랭이떡,20,34,4.7,2021.03.21.,4.0,예전엔 웨이팅이 긴 집이었는데..!그래도 여전히 가성비좋고 맛있는 집화장실은... 다른곳에서 가세요..
동네주민,24,59,4.2,2021.03.12.,3.0,맛은 평범합니다다만 요즘 같은 때에 다닥다닥한 테이블 띄어 앉히지도 않고 가림막도 없어요 옆자리랑 간격 30센치라서 영 불안했습니다 첨엔 띄어 앉아있길래 거리두기 하나보다 하고 들어갔는데 아니었어요;;; 이렇게 가까이 앉는거였으면 패스했을 것 같네요
당돌한얼음,23,79,3.8,2021.01.07.,4.0,
정찰병,28,112,4.3,2020.11.22.,3.0,맛이 규칙적이지 않으나 대체적으로 평균이상맛이다
신이내린 혀,18,52,4.1,2020.11.09.,4.0,카라이 라멘은 먹지마셈. 맛없게 매움
맛집레이더,15,17,4.0,2020.11.08.,2.0,"음식들이 염전에서 건져온 정도 진짜 넘 짜요,, 연어도 냉동 연어,, 웬만큼 이름있는 집이라 믿고 왔는데 냉동연어는 좀 ㅠㅠ,,, 전에는 생연어 쓰신거같은데,, 사장님 이런 리뷰 보시면 음식 간이나 재료 컨디션 한 번쯤 다시 재고하시길 바라요,, 너무 친절하신데 맛은 하나도 안 친절해요,,"
눈의띠네,33,555,3.8,2020.10.29.,3.0,
글랜,2,1,2.0,2020.10.03.,2.0,와 너무 짜서 먹다가 남겼어요 ㄷㄷㄷ대창덮밥 너무 짜요 ....
영지,3,4,4.0,2020.09.05.,4.0,오래 자리를 지키는데에는 이유가 있는 것 같아요! 맛있습니다
제로프레이,4,46,3.2,2020.07.22.,4.0,
맛짱이,12,20,4.4,2020.06.07.,4.0,전체적으로 간이 좀 짜긴한데 다 평균 이상으로 맛있었어요 그리구 간판 캐릭터가 귀여워요
오모오모,15,92,3.8,2020.06.05.,3.0,돈까스냉라면
맛있으면 우는 냥이,5,5,4.2,2020.04.23.,3.0,냐아아아아아아아아어오옹우삼겹덮바아아아아앙아아압깍두기 멍멍
말,28,208,3.5,2020.04.20.,5.0,맛있어요
