user_name,user_rank,num_response,user_star,time,rating,content
Jiyoung,7,5,3.4,2024.03.30.,2.0,아담한 가게이며 집에서 요리하는듯 깔끔하고 음식맛은 있는데 요즘 이정도 맛집은 많은데 동네사람 아니면 굳이.. 라는 생각을 하게 만든 집. 1인당 주류는 무조건 시켜야합니다. 접시는 평균 2만원대. 산오르막길 위치며 불친절하고 굳이 재방문은 안할듯.
기리,32,156,3.2,2023.11.12.,4.0,
마리오빠,54,377,4.4,2023.10.01.,5.0,이런 맛이 기다린다면 와우산 등반 열번도 가능해
팩트만,21,48,2.2,2023.09.26.,1.0,저번주에 유선상으로 예약문의 했더니 안된다해서 화요일 저녁 7시에 방문함. 갔더니 한자리 비었길래 들어갈라 하니 예약석이라 하네??  요일 마다 예약 시스템이 다른건지 장사 멋있게 하시네요👍🏻
남진우,3,2,4.5,2023.07.22.,5.0,"음식맛 최고, 수육 대박입니자"
커피홀리크,7,13,3.9,2023.05.30.,5.0,
기미,36,151,3.8,2023.05.30.,5.0,메뉴 하나하나 다 맛있어요ㅠㅠ생맥주도 너무 부드럽고 또 가고싶은곳
나나나나나나나나,3,6,5.0,2023.04.12.,5.0,
블루,9,9,4.7,2023.03.26.,5.0,
명 월,18,49,3.6,2023.01.06.,4.0,"굴보쌈, 계란탕 훌륭. 고기틔김은 평범우리 동네에도 하나쯤 있었으면 하는 주점"
션,5,4,5.0,2022.10.02.,5.0,맛은 보장된 미로식당예약잡기가 어려울뿐..안주가 너무 맛있어서 술이 계속 들어가는
hoi,13,89,4.1,2022.05.14.,5.0,
JongChol Kim,27,119,3.6,2022.01.05.,1.0,꼭 전화해보고 가세요.민머리 남자분 사장인지 몰라도 싸가지가 . . . 말을 말아야지.
비판자,22,413,2.9,2021.11.05.,4.0,
감비,41,277,3.8,2021.07.21.,4.0,
링컨,57,"1,048",3.5,2020.12.09.,3.0,
개미님,38,200,4.4,2020.11.21.,5.0,넘넘 맛났어요!!!! 아롱사태 입에서 녹네요 ㅠ
cnsal,11,16,4.3,2020.11.12.,4.0,약간 외딴 곳이지만 ^^;;; 음식은 맛있어요!! 다만 갔던날 옆 식탁 너무 시끄러워서 일행과 말을 할수 없을 정도 ㅜㅜ
kwon,6,9,4.0,2020.10.28.,4.0,"가파른 언덕에 있는데 주차공간이 없다는 점이 아쉽지만, 맛있어요."
♡̷̷̷,34,197,3.9,2020.09.20.,4.0,
@jxnnyqim,71,428,4.4,2020.03.13.,5.0,산꼭대기까지 계단 타고 올라간 보람이 있네요안주 다 너무 맛있고분위기도 짱짱친구들 데리고 또 갈래요 ( ღ'ᴗ'ღ )
맛집좋긔!,33,205,4.0,2019.10.28.,4.0,안주가 강점인 곳은 드문데여긴 안주가 최고임
이행진,19,343,3.6,2018.10.08.,3.0,
Choi Dong Sik,45,350,4.0,2018.03.02.,4.0,
MJay Ko 고 민정,89,"8,538",3.3,2018.01.31.,3.0,술안주
나경,22,714,3.4,2017.09.21.,4.0,
공과장,48,484,3.5,2017.04.23.,4.0,부부가 운영하는 약간 특이한 분위기의 식당좌석이 많지 않은 것이 아쉬울 따름...
김군순,24,104,3.4,2016.08.15.,3.0,"한식 안주를 기본으로 하는 퓨전 술집. 반지하의 깔끔한 까페식 인테리어로 홍익대 여대생들과 여자 직장인들에게 인기가 많은 곳이며 진심 간단 맥주 한잔과 맛있는 저녁을 먹으러 오는 사람들을 곧잘 볼 수 있다. 합석 불가인 마주보는 정사각형 4인 테이블이 대여섯개 정도이면서, 예약 따위 받지 않는 주방장 존심 경영.메뉴마다 15000선 가격대로 거의 모든 메뉴들에게서 합격점!!! 오뎅탕은 제외.화요라고 하는 국산 증류수가 4만원으로 가격이 비교적 낮은 편."
