user_name,user_rank,num_response,user_star,time,rating,content
Glad,1,4,4.0,2024.04.21.,1.0,
김춘식,28,190,3.8,2024.03.07.,1.0,
조아름,3,4,4.5,2024.02.06.,5.0,
Seol-Hee Jeon,2,1,1.0,2024.02.01.,1.0,가격에 비해 서비스가 후짐
아,4,5,1.8,2024.01.15.,1.0,외국인우대 한국인차별비추
Мистер Виталий ✌️,4,30,5.0,2024.01.08.,5.0,
KANE TV,2,1,1.0,2023.12.15.,1.0,폐업 축하맨이야
Jenny Om,7,4,2.3,2023.11.09.,1.0,What a horrible place to have wild animals in captivity.  DO NOT SUPPORT THIS BUSINESS!  I blame the owners for having such a terrible business.  Shame on you owners.  I hope your business fails so you can release those innocent animals to where they belong.
김진우,3,9,5.0,2023.09.16.,5.0,
떠리,2,2,3.0,2023.08.02.,1.0,"직원분 일하기 싫으면 그만두세요 ㅠ아무래도 예민한 동물들이다 보니 제약이 많은건 이해되지만 그래도 사람들을 상대하는 서비스가 필요한곳인데 친절한 말투,행동은 1도 없네요 별점 1 점도 아까운곳입니다 ㅠ 귀여운동물보다가 기분 확 나빠져서 그냥 나왔네요."
박지우,22,63,4.5,2023.07.23.,3.0,동물이 다양한건 좋은데 라쿤이 나가고 싶어서 모서리 틈새를 살피고 계속 불안한 모습을 보여요..
전진구,3,1,5.0,2023.05.15.,5.0,제가 갔을때는 거의 외국인분들만 계셧어요. 직원분들이 엄청 친절하셔서 좋아용 ㅎㅎ
Ed13ed,1,3,4.0,2023.05.09.,3.0,Couldnt find
cotton168,4,3,5.0,2023.05.07.,5.0,Meerkat Friends was a great experience and the staff were super helpful and nice. The only bad thing is that it smells like a zoo inside but that is expected with that many animals. All looked well cared for and the staff genuinely looked like they cared about the animals.
Jas Sim,2,3,5.0,2023.05.05.,5.0,
ems,3,2,3.0,2023.04.18.,1.0,Animals here do not look happy. They don’t look well cared for. A sad environment for the animals. Also the workers here are pretty rude.
드르렁,17,141,1.8,2023.03.07.,1.0,
하늘다람g,25,104,4.3,2023.02.28.,5.0,
^~^,32,262,2.3,2023.02.12.,1.0,2023.2.12.동물농장 방영
strangerx,28,62,2.9,2022.12.14.,1.0,동물이 좋으면 다큐를 보시고 . 자연에 직접가서 교감하세요 . 이런데 돈주고 가니까 가둬놓고 돈벌이하는 곳이 생기는거죠.   불쌍하지도 않아요?
김민수,4,6,4.7,2022.11.27.,4.0,"직원분들 친절하심, 네시간 가까이 재밌게 놀다왔어요직원분들이 돌아다니면서 간식을 조금씩 나눠주셔서 좋은 것 같아요"
이유있는별점,14,43,2.0,2022.11.27.,1.0,...
벌레맛치약,4,3,1.0,2022.10.13.,1.0,분더러워서 그냥 나왔네요 ㅋㅋ냄새는 둘째치고 제약이 이렇게많고하지말라는게 많은 동물카페는 처음이네요뭐 동물을 위해서 어쩐다~하시는데 임신한 동물 밖에내놓고 좁은곳에 동물사육하는게 학대입니다 어불성설같은 얘기하지마시고 특히 직원분들(특히 중국인같은 교포 직원둘)교육좀 똑바로 시켜주세요짜증내면서 틱틱거리는데 돈내고 기분잡치고갑니다~ 두번다시 갈일없고 제발 동물들이랑 교감하고 편하게 즐기고싶은분들 절.대 가지마세요^^(일반적인 동물카페 절대아님)
모모,16,45,4.5,2022.10.09.,1.0,"실내화 진짜 다 낡아헤져서 덜렁거리고.. 실내화가 오줌에 다 젔었는데 세탁도 안 되어 있어서 양말에는 지린내 진동... 진짜 가족 분들 데리고 갔다가 입구부터 식겁했네요.. 입장료가 1인 13,000원 적은 금액도 아니었는데..외국인 관광객분들이 한국분들보다 더 많이 오시던데 솔직히 한국인으로서 창피했습니다..ㅠ 직원 분들은 설명도 잘 해주시고 좋았는데 청결도가 좀 충격적이었어요.."
ㅇㅇㄱ,24,278,3.4,2022.10.02.,4.0,
라라,2,1,1.0,2022.08.07.,1.0,"처음방문해서 잘몰라 어리버리대면 소리지릅니다지시사항 어겼다고요 친절한 설명따윈 없어요슬리퍼도 신발장에 없고 들어가야 있어요 그것도 바로 못 알아듣고 안신으면 소리지르고 나중에 진상취급합니다슬리퍼도 안신고 돌아다닌다구요 슬리퍼안신으면 소변냄새진동하는 곳에서 내발이 더 찝찝한데요?그리고, 동물들은.... 씁쓸하기만 합니다다음리뷰를 먼저 봤으면 안갔을텐데 속상하네요"
꽥꽥,11,13,2.8,2022.07.11.,1.0,내 돈내고 눈치봐야하는 곳 외국인들 전화벨소리 울렸다고 시끄럽다고 조용히해달라고 하면서 정작 본인들 떠드는 목소리가 제일 큼
최찬영,13,16,4.9,2022.06.17.,5.0,문을 빨리 닫을 수도 있으니 기재된 시간보다 빨리 방문하시길 바랍니다
Ara,5,9,3.3,2022.05.22.,1.0,
박지현 (Roy),13,40,2.5,2022.05.13.,1.0,
돈가스킬러,6,8,4.0,2022.04.23.,1.0,제발 일 하기 싫으면 하지 말아주세요그냥 기분이 더러워요
bon chemin,4,3,2.3,2022.04.17.,1.0,한국인 차별하는 카페. 동물 귀여지만. 비추같은 외국인이라고 완전 친하게지내요. 한국인 무시와 깔본는 서비스를. 주네요. 외국인 전용이에요. 그런것면 한국에 장사하지마세요
박성진,3,2,3.0,2022.03.05.,1.0,알바생이 싸가지가 없음. 불친절함
hou,8,7,3.0,2021.10.16.,1.0,여기 갔다오고 피부 발진와서 병원다녔어요
하비,11,19,3.8,2021.07.07.,1.0,계속 구석에 혼자 있어서 봤더니 관리를 얼마나 안했으면 발톱이 휘어서 걷지도 못하게 만들었나요? 여기 신고 못하나여?
.,32,135,3.7,2021.02.19.,4.0,캥거루 있는지 모르고 갔는데 너무 귀여워요 잘 관리해주시는것 같고 아래 평 엄청 안좋게 남기신분 계시던데 야생동물이니까 주의해야하는게 맞고 들어가기전에 주의사항 다 숙지하고 들어오라고 하는데 제대로 안읽고 가셨나봐요 애들이 귀걸이나 목걸이 같은 귀중품 낚아채간다고 다 제거하고 들어가라했는데 ㅠㅠ 직원분도 친절하셔서 좋았어요 미어캣존은 10세이상만 들어갈수 있다고해요
L,11,173,4.3,2021.01.23.,5.0,
지니,4,2,1.0,2020.11.07.,1.0,"냄새 너무 심함, 재미없음, 동물이 없음, 동물 만질수 없음, 동물 가둬둠, 돈이 너무 아까움, 다시는 안감"
아이린,8,13,4.7,2020.10.24.,1.0,I don't think it is suitable environment for some of the exotic animals. I felt uncomfortable.  Restricting the amount of people who are allowed in at one time would also be good.
Sabi,4,15,4.7,2020.10.24.,1.0,Not good enviroment for some of the animals there. The entrance fee is 13 000원.
구이사,2,3,5.0,2020.08.09.,5.0,나이 제한 없어요
(°∀°)b,23,87,3.5,2020.08.09.,5.0,
영재,4,5,3.2,2020.07.24.,5.0,
ㅎㅇ,22,65,4.2,2020.04.05.,4.0,미어캣카페에 처음가봤는데 다른카페봤더니 평점 안좋아서 여기갔다 . 미어캣도 많고 북극여우도 있고 왈라비 사향고양이 개미핥기처럼생긴애도 있었다  알바생(?) 이 체험같은것도 하게해주고 괜찮았다 다른곳에서는 간식 사라고 하고 음료도 필수로 사라하던데 여긴아니었음 왈라비주라고 사료도 주고 북극여우 간식도 줘보고  재미있게 놀았다 미어캣있는곳에 앉아있었더니.. 육지동물 닥터피쉬인줄; 엄청 긁어대구 양말물고 근데 너무 귀여웠다한가지 아쉬웠던건 개미핥기처럼보이는애가 철장에서 왔다갔다 이상증세가 있어서 불쌍했다 풀어놓을거 아니면 개체수를 조절하는게 좋을거같다.
서현성,9,9,3.9,2020.03.08.,5.0,아이들이 행복하게 지낼 수 있는 곳이라 더 기분이 좋았어요!직원 분들도 넘 친절하고 한 마리 한 마리 애정을 갖고 돌봐주시는 것 같아서요~~애니멀카페는 그간 마음이 안좋아서 잘 안갔는데넘 좋은 곳을 발견한 것 같아요. :)))))
H,22,48,2.5,2020.02.23.,1.0,"동물 데려다가 사람한테 보게 하고 만지게 하고.안 가봐도 주인장 마인드가 어떤지,동물 보호라고는 전혀 없을 동물학대가.가게 접을 때 자연 방사나 하지 마쇼"
치칯치치,11,12,1.8,2019.11.17.,1.0,입장료 인당 만삼천원에다가 카페인데 병음료 갖다놓고 하나에 6천원씩해서 팔아요 생각했덩 그런 동물카페 느낌도아님
함승운,4,5,3.4,2019.10.26.,5.0,미어캣뿐만 아니라 다양한 동물들이 있고 친절하고 좋았어요ㅋㅋ추천해요!
kim,4,2,3.0,2019.10.26.,1.0,정말 별로네요. 손님들이 호구도 아니고 13000원받으면서.. 서비스가 꽝이네요. 정말 불친절하고 조용하라고 당부하면서 직원들이 가장 시끄러움. 동물들이 불쌍해요. 사람들이 비추하는데는 이유가 있습니다. 저도 긴가민가 가봤는데 가지 말걸 후회합니다.
웅돌,4,5,1.8,2019.10.06.,1.0,나이제한이 있다는걸 알수가 없는데 막상가보니 나이제한이 있다고 입장 못한다네요 너무 기분이 나빴습니다
루다,3,1,1.0,2019.09.14.,1.0,입장료 13000원 내고 들어가기 너무 아까운곳(음료는 따로 구매 해야함)냄새 심해요 동물 찌린내 또는 꼬랑내 같음. 더워요미어켓 만지는데는 줄서서 기다렸다가 들어가야되요관리 하는거라곤 하는데 굳.이. 이럴필요가 있나 싶네요동물들이 유리 안에 들어가있어서 구경만 해야되고동물을 쉬게 해주는건 이해하지만(잠자게 해주고)직원 본인들은 자유롭게 들어가서쉬라고 넣어논 애들 데리고자기네들끼리 동물들 데리고 놀아요난 돈내고 구경만 할수있는데직원들은 돈받고 노는것 같음가끔 간식 주려고 꺼내서 보여주고손님들한테 간식 줘보시라고 하는데그거빼곤 지들이 더 신나게 놀고있음ㅋㅋ서울랜드 동물원 보단 가깝게 동물을 접할수 있는게장점이고 다양하게 볼수있지만동물카페를 찾는 이유가 눈으로 보기만 하기 위해서가 아닌가까이서 접하고 눈을 마주칠수 있고터치가 가능하다면 쓰담도 하고 그런 경험을 하기위해돈내고 들어가는거 아닌가요?저도 동물을 굉장히 좋아해요그렇지만 관리 면목하에 굳이 돈내고 들어온손님들을 다 제지할 권.리.는. 없다고 생각합니다물론 애견카페에서 괴롭히는 사람도 있고여러사람이 있어서 그런건 알고있지만좀 오바가 심한거 같네요한줄평-돈내고 눈으로만 많이 보기가능직원과 동물들이 노는걸 구경할수 있음멍때리기 가능
한선규,5,131,4.2,2019.08.31.,5.0,
광고는 1점,33,169,3.4,2019.07.21.,1.0,들어갈 때 냄새가 좀 많이 나구요. 한여름인데 에어컨을 제대로 안틀어줘서 더워 죽을 것 같아서 금방 나왔습니다. 제 인생에 가장 가까운 12000원...
유니스 <3,10,32,3.8,2019.04.21.,5.0,The animals looked happy and well-cared for. The owner/manager lady was clearly the leader of this pack of animals and you can tell they love her. Meerkats were boring but the other animals were amazing and allowed to roam freely outside of the pens. Super cool experience. 좋았어요~
노가다맨,5,8,4.3,2019.04.15.,1.0,남직원 인가 남사장인가 때문에 그 누구에도 추천안함
Marina Yu,4,5,5.0,2018.11.02.,5.0,
곱창골목,3,4,2.8,2018.10.17.,2.0,입장료 인당 12000원. 동물들이 불쌍했어요. 갖혀있어서 스트레스 많이 받을 것 같아요.
.,12,23,3.7,2018.09.26.,1.0,멸치같이 마른 남자직원 진짜 까칠하고 불친절해요
칸탈로프,58,607,3.2,2017.09.19.,4.0,"북극여우,은여우,라쿤,왈라비,페르시아 고양이도 거주함 ㅎㅎ"
