user_name,user_rank,num_response,user_star,time,rating,content
윤해빈,2,4,5.0,2024.04.14.,5.0,
음,22,50,2.0,2024.04.04.,1.0,입술 피어싱한 여자분 너무 불친절하고 9시반 까지인데 9시까지영업하시네요 맛도 그냥 그래요  민트맛이 별로 안나요 너무 불친절 ㅜㅜ 세명이라 음료 두개 케익 시켰는데 포크 몇개 주냐 물어보시더라구여  꼽을 주겠다는 의지… ^^결국 빨대 2개줘서 더 달라 안하고 먹었어요 혹시 사장님이시면 그냥 장사 접으셔요 ㅠ 왜 손님하고 기싸움하고 꼽을주시나요…ㅜ
빠박,3,29,2.9,2024.01.01.,4.0,
🎀행복하세요🎀,21,68,2.6,2023.12.12.,3.0,민초도 민트맛도 좋아하지만 여기에서 치약맛 나는 메뉴 골라서 고통스러워하면서 먹었음  .. 분명 같은 민트맛인데 물약 같은 기분 나쁜 달콤함...ㅋㅋㅋㅋㅋ 초코가 많이 들어간 메뉴를 고르세요 여러분..ㄷㄷㄷ
이보경,15,17,3.8,2023.12.10.,5.0,민트초코 좋아하시는분들 강추!!분위기도 민트민트해서 좋구요 디저트도 맛있어요!!
...,20,18,3.0,2023.11.08.,5.0,"민트의, 민트에 의한, 민트를 위한 가게"
.,5,2,3.0,2023.10.28.,3.0,"카운터 보시는 여자 알바생 분...모든 알바는 피곤한 게 당연하지만 일하기 싫은 티를 손님한테 내서 뭐하나요?손님한테 설명하면서 한숨 푹푹 쉬면서 귀찮다는 티 팍팍 내시네요알바 대 손님이고 뭐고 다 떠나서, 사람 무안 주고 불쾌하게 만드는 화법은 상대방도 쓸 줄 알아요! 다만 인간 대 인간으로서 지켜야 할 매너가 있으니 참는거죠...ㅎ내 돈 주고 기분 나빠지는 가게는 다신 안 가겠습니다"
고양이,44,304,4.2,2023.10.24.,4.0,민초단 모이라옹!! 민트맛 디저트와 음료가 가득하다옹
ON,14,32,3.6,2023.10.12.,5.0,민트초코 덕후면 당장 갈겨야할 곳
.,8,5,3.4,2023.10.09.,1.0,"매번 좋은 인상만 받고 왔었는데 콜라보기간이라 바빠서 그런가(안에 테이블 4개정도 차있었음, 음료는 이미 다 나온 상태) 카운터 남성 직원분이 10분정도 주문을 안받고 자기 할거 하고 손님들 와도 매대 케이크 채우고 아무 설명도 없더라구요. 주방 안에 계신분은 폰보고 있고.. 그래서 주문 혹시 언제받냐고 물어보니까 주문 밀려서 알아서 받을거니까 기다리시고 거기 앉는 자리 아니니까 들어가라는 이야기를 한숨쉬고 약간 짜증내면서 이제서야 해주시더라구요. 민트하임 자주 애용한지 4년정도 된거같은데 좀 당황스러웠습니다."
gun123,3,3,4.3,2023.09.11.,3.0,
고기조아,21,84,4.0,2023.09.10.,5.0,민초조아
ㅋㅆㅇ,37,695,3.8,2023.07.06.,2.0,
홍희,3,8,4.5,2023.06.17.,5.0,
유라,14,19,4.4,2023.05.02.,5.0,친절하시고 음료랑 디저트도 맛있어서 다 먹고 포장까지 해온 집!!! 홍대 갈 때 마다 들리고 싶습니댜!
꼬꼬마,45,"1,096",3.9,2022.11.20.,5.0,민초케잌 진짜진짜 미쳤다
별섬,23,189,4.3,2022.09.09.,5.0,
무지개,15,91,4.8,2022.09.02.,5.0,
악영,11,9,3.9,2022.08.30.,5.0,"민초 사랑하는 사람에게 추천, 디저트도 맛있음 JMTGR"
민초단💙,4,5,4.0,2022.08.21.,1.0,여기 넘 맛있어서 자주 갔는데 오늘 갔더니 머랭쿠키가 다 녹아서 흐물흐물했어요.머랭쿠키는 바삭한맛에 먹는건데...이건좀 너무하네요!ㅠㅠ
choigii,21,261,3.6,2022.08.14.,3.0,
후기쓰는거북이,19,63,4.1,2022.08.01.,1.0,민초 치약
dere13,3,8,5.0,2022.06.06.,5.0,
슬기로운평점생활,35,787,3.6,2022.03.22.,3.0,
ZG,20,144,3.0,2022.02.22.,4.0,맛있어요 사라지지 않으면 좋겠어요
최나은,45,199,4.1,2021.09.14.,4.0,"민초단에겐 천국과 다름없는 곳(●’◡’●) 가격대가 꽤 있는 편이라 메뉴 선정을 잘해야 할 듯 기본적으로 마카롱과 케이크 그리고 초콜릿바 프레즐 등등 디저트 류는 상당히 좋은 편임 그만큼 가격이 비싸지만 하핳 마카롱은 딱히 안 비싼 편이니 꼭 한개 먹는 걸 추천함 치즈케이크도 꼭... 맛있음 민트오레오라떼? 이건 뭐,, 밍밍한 민트라떼에 오레오가루 얼마 안 넣어서 실망스러웠음 음료보단 디저트가 주력인 듯 예전에 n만원어치 한번에 포장해왔던 기억이 ㅎㅎ"
.,21,22,3.5,2021.07.08.,5.0,인테리어가 예쁘고 음료와 디저트가 맛있음
☆,5,8,3.1,2021.07.02.,1.0,아무리 바빠도 기다리는 사람 있으면 주문부터 먼저 받아야 되는 거 아닌가요 줄 마지막에 서서 기다렸는데 제 앞에 있는 손님 주문은 다 받고 그분들 거 만드느라 저만 10분은 기다렸어요. 그에 대한 사과나 양해도 없어서 뭐하자는 건지 싶었습니다 앞으로 갈 일도 없겠지만 손님 응대 제대로 하셨으면 좋겠습니다
AEYoo,41,363,4.9,2021.05.22.,5.0,민초덕후로소서 최고였어요ㅠ
🥫,11,29,4.4,2021.04.16.,3.0,배달시켰는데 제 입에는 그냥저냥했어요
뽀,11,26,3.0,2021.04.11.,3.0,
마법소녀,47,458,4.8,2020.12.06.,5.0,
ㅇㅇ,27,68,2.8,2020.10.13.,5.0,"엄마랑 오빠랑 가족끼리갔는데 너무너무 맛있었어요 케이크가 진짜 찐이었어요,주방에서보니까 만드시는거 같은데 빵도 퍽퍽하지도 않고 엄청 꾸덕한것도 어니고 딱 그중간 너무 좋아요♡민트는 찐매니아라면 부족할거 같지만저처럼 처음먹거나 민트를조금 즐기는 오빠입장에서는 너무너무 좋았구요~마카롱도 가격대비 크고 필링 적절하고너무 많으면 느끼한데...케이크도 음료도 마카롱 당도가 넘 적절했어요♡재구매의사있고 나중에 홀케이크 주문하고 싶습니다♡사장님도 너무 친절하셨고 오래하세요♡"
옴뇸뇸,30,177,3.9,2020.10.12.,3.0,민초단인데 민초맛이 연한느낌이에요ㅠㅠ
껴리,2,5,4.8,2020.10.06.,5.0,짱이에여
yu,37,371,3.9,2020.06.05.,4.0,민트 음료 맛있다. 복숭아요거트였나 마카롱이 아주 맛있었다.
푸리맘,6,4,2.0,2020.05.06.,1.0,"오레오민트라떼 최악. 오레오가루라고 할것도 없는 검은색 가루 몇개가 바닥이 훤히 보일정도로 매우매우적게 가라앉아있었고 오레오 맛 나지도 않음. 얼음, 우유한가득에 민트향만 대~충. 알바에게 따지려다가 알바가 정말 일 하기 싫어하는 표정이라 적선했다치고 그냥 나와서 버렸음. 다신 안감."
얍,14,20,3.5,2020.02.16.,5.0,민트좋아하는 사람이라면 한번쯤가도 나쁘지않은곳
fowj,33,137,4.1,2019.12.23.,4.0,굿굿 떠들기도 편하고 제가 마카롱 예쁘다고... 친구한테 말했는데 서비스로 하나 주심ㅠㅠㅠㅠ감동이에여 흑흑 마카롱 존맛이고 넘 예쁨ㄹㅇ 케이크도 존맛이에요 민트덕후인 나에게는 천국인 곳누가 여기 5만원 이용권 줬으면 좋겠다
