user_name,user_rank,num_response,user_star,time,rating,content
럴럴럴,40,124,3.4,2023.11.29.,4.0,"육회비빔밥, 육회 - 육회비빔밥 정말 맛있게 잘먹었습니다. 육회는 기본이상 하는 맛이었어요. 잘먹었습니다."
엣헴,4,6,2.2,2023.11.25.,1.0,개창렬 회 먹지 마세요 옆 테이블 앞 테이블 뒷 테이블 회 안먹는 걸 회 시키고 나서 앎진짜.. 동네 허름한 횟집보다 못함 회는 안파시는 게 좋을듯 제발사진 찍을 것도 없어서 안찍음 이렇게 팔 거면 팔지 마셈 해물 뭐시기 들어간 메뉴도 시키지 마셈해물 코딱지
김강현,9,16,4.5,2023.11.18.,5.0,
합정워커,6,6,4.2,2023.09.28.,5.0,모임하면 항상 찾는 곳
대원,9,7,2.7,2023.06.24.,5.0,오랜만에 맛있는 뭉티기 먹었습니다 :)
음음,50,948,3.1,2023.01.02.,3.0,광어는 무난무난.
기린,21,84,3.7,2021.12.28.,5.0,
오너야행복하자,23,64,4.6,2021.12.18.,5.0,완벽 사장님 너무 후하시고 또 올거에요.. 사장님 사랑합니다 따흐흑
장남인,2,2,5.0,2020.11.04.,5.0,안주가 싱싱한점저렴한 가격맛이 시골 어머니가 해 주신 맛 입니다
김지연,16,775,4.3,2020.10.03.,3.0,
ㅇㅇㅇ,18,38,2.6,2020.09.11.,3.0,육회양과 배 상태입니다. 코로나라 그런지 배 상태가 영 아니네요 ㅎㅎ
ruhenheim,27,73,4.2,2020.07.08.,5.0,술맛난다!
문설오,14,19,4.9,2020.04.13.,5.0,전반적으로 싼편은 아니지만먹는 순간 돈 생각은 없어진다여러 음식들을 먹었지만 다 맛있었다정말 좋은 집
홍대에서건대까지,24,79,4.0,2020.03.07.,4.0,그냥 다 맛있다홍게탕 오징어
leebre,34,196,3.2,2019.06.02.,5.0,"말할것도없다.음식맛, 분위기, 친절, 일하시는 어머님두분과 아버님이 너무 친절하게 받아주시고 가게분위기도 유쾌하다.젊은 단골들도 자주드나드는 집이라.자주바뀌는 홍대에 정붙일 술집하나 라고 생각된다."
