user_name,user_rank,num_response,user_star,time,rating,content
나는 자유로운 영혼,23,35,2.9,2024.04.19.,2.0,방어가 역시 철 많이 타는 듯. 두 번째 방문 때는 솔직히 맛있었음. 근데 웨이팅이 ㄹㅇ 호들갑인 집. 직원들도 불친절. 가성비도 별로.
Mr.CHA,15,24,4.3,2024.03.20.,3.0,맛 좋고 다 좋은데. . .웨이팅이 너무 심해요.
링컨,57,"1,048",3.5,2024.03.12.,5.0,서울에서 여기보다 맛있는 대방어회를 보지 못함ㅋ그래서 매년 겨울철마다 꼭 가게 됨! 😊
배진재,2,4,2.8,2024.03.04.,4.0,
솔찍후기,16,20,4.0,2024.02.24.,1.0,사장님인건지.. 알바아주머니들 이신건진 모르겠는데그럴거면 장사 왜 하시는건지 이해를 못하겠네요 영업시간 1시까지 해놓고 11도 안됐는데 나가라고 ... 테이블도 텅텅비었는데/댓글알바들 갑자기 많이 보이네요
김다현,4,3,5.0,2024.02.05.,5.0,맛집은맛집! 해물도 진짜 맛있어요. 근데 겨울에는 웨이팅 3시간 정도 각오하고가시길
음,16,36,4.5,2024.01.27.,2.0,유명하다해서 가봤는데 기본 반찬 구성이랑 회 양에 너무 놀라서 서울 사람들에게 안타까움을 느낌.. 이게.. 맛집이라니ㅜ.... 서울인들이여 어떤 회를 드시고 계신겁니까ㅜㅜ..... 심지어 몇몇 반찬은 리필하려면 추가금도 있는데 가격이 그닥 싸지도 않음한 번 와봤으니 됐다~
네이비,4,16,3.1,2024.01.26.,1.0,
장수빈,2,1,5.0,2024.01.23.,5.0,
햄이,15,10,2.9,2024.01.23.,2.0,"방어는 맛 없을 수 없지만, 그간 먹었던 방어에 비해 특출나게 맛있다는 잘 모르겠어요웨이팅도 조금 있었는데 만약 다음에 웨이팅 있다면 다른 곳 갈 듯너무 좁고 시끄러워요 지나다니기 힘듦"
민정,2,2,3.5,2024.01.21.,2.0,
