user_name,user_rank,num_response,user_star,time,rating,content
.,4,5,3.0,2024.04.17.,4.0,1. 맛은 평범2. 단체로 가기 좋음3. 싸다
김시현,10,18,4.7,2024.04.03.,4.0,은근 JMT
오성준,2,1,5.0,2024.03.23.,5.0,
제원,21,44,2.9,2024.01.22.,1.0,20일 저녁에 3층에서 술마시러 왔는데 직원한테 주문할게요 했거든 직원이 “뭐” 대답했음 :)))) 최악이다
올찬스킨케어,9,14,4.9,2024.01.16.,5.0,회식장소 분위기좋은
🐱,31,220,4.9,2024.01.07.,4.0,안주는 싸고 맛있음 테이블수많음 다만 생각보다 핫하지않아요ㅠㅠ 주말인데도.. 그리고 물이별로입니닼ㅋㅋㅋㅋㅋㅋ아싸들의성지랄까요.....😂
신경혁,2,1,5.0,2023.12.29.,5.0,알바생분들 모두 친절하고 노래도 딱 좋게 나옴수입 맥주하고 안주들이 싸서 막 먹어도 4만원 중반 밖에 안나와서 홍대 갈 때 마다 꼭 들리는곳 한번씩 와서 먹어도 나쁘지는 않을듯
유승목,3,1,5.0,2023.12.29.,5.0,친절하고 사람 많고 맛있어요수입맥주 저렴해서 좋아요
ㄴㄱㅂ,32,203,2.6,2023.12.14.,1.0,문앞자리줘서 불편햇어요
...,8,12,4.3,2023.11.26.,5.0,안주 적당하고 좋아요 화장실 깨끗해요
애용,15,25,3.8,2023.11.26.,2.0,
캬,6,12,2.4,2023.09.14.,1.0,음식 언제 나오냐고 물어보니 그제서야 음식 주는데 이미 주방에서 나와 있던 거 보지도 않고 그제서야 보고 준 듯토닉워터 주문하니까 실온에 있던 것 줌테이블 너무 더러워서 닦아 달라니까 이미 닦은 거라고 안 닦아 줌음식 서빙할 때 음식 위에다 빌지를 올려서 서빙 ;;위생 관념이 전혀 …음식 맛도 정말 추천하고 싶지 않음정말 그대로 두고 나옴
이정언,2,1,5.0,2023.07.20.,5.0,고기가 맛있음 분위기도 좋음
손강수,13,16,4.8,2023.06.21.,5.0,배터리88 - 썰스데이파티로 이어지는 불금 핫플
정민,3,2,3.0,2023.06.18.,1.0,주문하고 20분 지나도 음식이 안나오길래 물어보니 그제서야 포스기 새로 찍음. 죄송하다 이런 말도 없이 음식 하는중이라고 구라침. 포스기 새로 찍는거 봐서 그럼 5분내로 나오냐니까 5분안에 나온다고ㅋㅋㅋ밑에 후기보니까 주문 까먹는게 매번 있나보네요 주문도 제대로 못받을거면 장사 왜 하는거세요?
정승환,2,10,4.7,2023.06.08.,3.0,
이이잉,31,189,4.0,2023.05.27.,1.0,
J,31,157,4.1,2023.05.24.,4.0,가성비 좋음
정훈,2,4,5.0,2023.05.16.,5.0,
드디어,34,152,3.6,2023.05.10.,3.0,애매하다
혜인,2,1,5.0,2023.05.04.,5.0,
남궁균,1,2,5.0,2023.05.03.,5.0,
뿅,23,60,2.4,2023.01.02.,2.0,저럼한 가격 저렴한 맛 딱 그정도싼 가격에 맛있는걸 원한건 아니지만.. 일반인보다 못 하다...
혀니,28,95,2.5,2022.12.18.,1.0,위생 토나옴 ㅠㅠㅠㅠㅠ내일 나 병원실ㄹ려가면 여기때문임
존버가답,12,14,1.7,2022.08.01.,1.0,평점엔 이유가 있어요다른 두테이블 음식 그대로 두고 가는거 봤어요왠만하면 그려러니 하는데 사먹은 제 돈이 아까워요
Jay,85,"3,044",1.2,2022.07.31.,1.0,소주 5000원
바깨바,4,6,4.7,2022.07.15.,4.0,싸고 맛있었음.가성비 진짜 좋음
주하0252,17,21,4.0,2022.06.12.,4.0,치즈닭갈비는 맛있는데 나쵸는 눅눅해서 별로비추분위기 좋아요~
이재윤,1,1,5.0,2022.04.21.,5.0,악플다는사람들 가보고다는거임?
여기는요,11,16,4.4,2022.04.10.,1.0,"진짜 인생 최악의 술집이었어요ㅠㅠ 홍대에서 요즘 가장 핫한 술집인 것 같아서 갔고 사람이 많아서 루프탑으로 갔어요 뭐 야경 볼 것도 없어서 루프탑 메리트는 크게 없고 바람만 엄청 불어서 마스크 쓰레기 종이컵 다 날리고 추워요ㅠ 있던 사람들도 그냥 금방금방 다 나가더라구요 저희도 그냥 밥만 먹고 나가자 하고 술 한 병에 닭도리탕이랑 밥 한 공기 시켰는데 닭도리탕 나오는데 한 세월 걸리고(닭고기 별로 안들어있어요 근데 감자는 맛있어요) 밥은 안나오길래 물어보니까 까먹어서 이제 주문 들어가고 알바생도 나쁜 사람은 아닌 것 같지만 너무 어리숙하고 미숙하고 일하기 싫어보였어요ㅠ 테이블에 벨도 없고 주문기도 없는데 노래 소리 엄청 크고 알바는 땅만 쳐다보고 있어서 목소리 크게 내시기 어려운 분께는 추천드리지 않습니다,, 기본 안주는 없어요그리고 가장 최악은 나갈 때 주문서에 영수증 하나를 더 끼얹더니 시키지도 않은 술 한 병을 덤탱이로 더 계산하려 했어요,,,,, 발견해서 망정이지 모르고 넘어가는 사람도 많을 것 같아요ㅠㅠ 조심하세요 그리고 마지막에 친절함을 보여주기 위함인지 서비스 및 만족도를 물어봐주시길래 이런 점은 좋았고 이런 점은 별로였다니까 피드백은 없고 그냥 안녕히가세요 이러더라구요 그냥 형식적 기계적인 질문이었어요마케팅을 잘 한 건지 사람은 엄청 많은데 정말 이유를 모르겠어요…ㅠㅠ"
Gyeo,24,69,2.6,2021.12.10.,1.0,다시 가고 싶은 매력은 없음
념뇸,40,585,4.7,2021.11.18.,5.0,찐으로 맛있어요 닭갈비 왕정츄천 술도 시원해여
맛집좋아,5,16,3.2,2021.11.06.,3.0,
-,24,97,3.2,2021.06.25.,1.0,위생 최악. 원래 술집들 위생 별로인 거 감안해도 진짜 좀 심각했음... 테이블 끈적하고 수저통에 든 젓가락에 김붙어있고 앞접시에도 뭐 묻어있고 ... 음식은 과연 깨끗할지 의문.
SSun.,79,"1,706",3.9,2021.06.15.,3.0,가성비 괜찮은 곳위생에 좀더 신경 써줬으면 좋겠음
J,21,46,3.4,2021.05.07.,1.0,"맛은 보통 친절도 보통 인테리어도 보통 1층보단 2층이 분위기가 그나마 나아용또 가고싶진않아요. 글고 깨끗한지는 모르겠어요.가볍게 안주랑 술 즐기실분들은 괜찮겠지만.. +안주가 저렴한편인것같습니다.홍합탕이랑 어묵탕 고민하다 어묵했는데, 홍합이 몇개 들어있더라구요. 홍합에서 냄새났음ㅠㅠ먹다뱉음 홍합탕시켰으면 먹지도 못할뻔친절부분에서 보통이된건 음식 놓을때 좀 툭툭 놓으시더라구요. 막 국물흘리고; 근데 중간에 식었을까봐 미니 버너주셔서 국물은 따뜻하게 먹었어요."
:3,22,41,4.1,2021.03.14.,5.0,"엥 평점 왜 이래용?존맛탱구리,, 사장님이 맛있고 안주가 친절해요~! 다음에 홍대가면 또 들릴게용~~!"
Jm,36,301,3.0,2020.12.26.,2.0,개업전부터 엄청논란이었던 평양술집도 이젠 주목못받으니 딴거로잽싸게바꾸었군... 자본주의에 리용당하는 불조선..
