user_name,user_rank,num_response,user_star,time,rating,content
🚥이은성🚥,9,23,2.9,2024.04.01.,2.0,
stacey . 해연,1,5,5.0,2024.03.23.,5.0,
또잉,25,113,3.3,2024.03.17.,4.0,
조창현서브폰,2,3,5.0,2024.02.29.,5.0,
Jacky Seo,8,9,3.8,2024.02.10.,1.0,어디가나 먹을 수 있는 맛외국인 관광객 식당돗때기 시장에 체계적인 웨이팅 시스템도 없고손님 세워두고 계속 단체손님 받는 집0점 있음 0점 주고 싶음
김정배,6,80,4.4,2024.02.09.,5.0,
맛보기,43,538,3.6,2023.12.31.,3.0,"그냥 보통, 일반적인 평이한 맛인데 사람은 많음."
강한빛,7,11,3.2,2023.10.30.,5.0,
epaphrakim(종훈),3,10,3.4,2023.09.23.,3.0,
청량,33,128,4.1,2023.08.11.,5.0,점심시간에 손님 엄청 많았네요! 17000원 가격에 배부르게 먹었습니다
Jin,2,2,5.0,2023.07.22.,5.0,
shunxshun,5,3,3.0,2023.07.16.,3.0,炸雞🍗比蔘雞湯出色
Brise,25,76,4.5,2023.07.11.,5.0,맛있어요!
류상욱,47,458,5.0,2023.06.30.,5.0,토종삼계탕 먹었는데요 너무 맛있어요
Forest,43,336,4.8,2023.06.30.,5.0,30년전통 맛집으로 소문난 이유가 있었네요 맛있습니다. 단체손님도 많아서 조금 정신없긴함 ㅎㅎㅎ
맛도리박사,26,73,3.7,2023.06.18.,1.0,진짜 너무 불친절해서 다시는 안간다아줌마들 일하기 싫으면 하지 마세요 ;;
고진학,12,3,3.7,2023.05.10.,1.0,사람들이 너무 많아서 입으로 먹었는지 코로 먹었는지 모르겠고 ㄴㅏ른 삼계탕과 크게 다른거 없었어요
상일,6,2,3.0,2022.11.28.,1.0,중국인 태국인 다 외국인들..중국인들이 소란스럽게 너무 떠들어서 정신없음내 기준 삼계탕 국물이 너무 달고 깊은 맛이 없다고 느낌. 국물에서 소세지 맛이 느껴졌다.
리코,33,157,3.8,2022.11.25.,1.0,위생이 별로 외국인이 많아서 정신 없음앉아서 주문하고 바로 음식 나옴 라면보다 빠름
커널티,4,8,3.4,2022.11.05.,5.0,
즐풍당,33,206,2.2,2022.11.03.,3.0,22. 가을깜짝메뉴 치킨- 엄금. 무가 가장 맛잇음21.07.실제의 맛집. 기본에 충실한 삼계탕(토종마늘의 국물이라 외국인은 자제)깍두기 및 치킨무 한계치까지 달어서 먹기 좋음.별4개급.
강민설,2,4,4.0,2022.09.04.,5.0,
맛집찾는하이에나,38,317,3.1,2022.07.28.,4.0,외국인이 많이 오는거 같다.맛은 진짜 죽여준다하지만 딱히 친절하다는 느낌은 안들어서별 하나 깎음
kei,18,66,4.3,2022.01.19.,5.0,"삼계탕도 닭도리탕도, 그리고 시간이 좀 걸리는 치킨까지도… 정말 맛있게 먹고 왔습니다~! 또한, 반찬 김치도 너무 맛있었으며, 서빙하시는 분들도 상냥하셔서, 친구들과 아주 기분좋게 먹고 왔습니다. 계속 번창 하십시오~"
달봉,11,34,4.2,2021.12.06.,5.0,생각나는 곳
찌니,17,40,4.0,2021.08.13.,4.0,맛있는데 주차가 너무 불편 ㅠ
음식에진심인사람,49,380,4.4,2021.05.28.,4.0,인삼주는 달라고 하면 주십니다. 꽤 많네여! 세잔쯤 나오는 도쿠리로 주십니다.
진슐랭,31,99,4.3,2021.03.22.,4.0,국물이 찐하고 맛있어요. 인삼주도 꿀맛. 단 달라고 말해야 주십니다. 참고하세요.
블라인드,21,56,3.8,2021.01.22.,4.0,고기 뷰들 국물 짠함 일년에 한두번 갈만해욥
한경석,2,3,5.0,2020.12.19.,5.0,
고영훈,6,8,2.4,2020.11.21.,4.0,아주머니께서 친절하시고 맛있었습니다.
현비,13,23,3.4,2020.11.21.,5.0,"인스타에서 봤는데 직접 맛보러 따라 왔더니 맛이 괜찮더라고요. 김치, 깎두시까지 다 맛있고특히 사장님이 되게 천절하심"
꼬냥럽,20,30,3.8,2020.07.18.,1.0,"안익은 김치 깍두기 싫어하면 최악일 듯.이건 개취니까 어쩔 수 없지만 같이 온 분도 김치 진짜 맛없다고 하심.고추가루 떡진 김치랑 꿉꿉한 맛나는 깍뚜기때문에 입맛 다 버렸음.기본 삼계탕 먹었는데, 엄청 힘들고 배고픈 상황이었는데도 입맛이 돌기는 커녕 약재향 하나도 안나는 밍밍한 국물은 소금,후추를 들이부어도 아무 감흥 없고,주인공인 닭고기자체는 부들부들 촉촉했지만 그닥 맛있지는 않았음.맛없는 김치,깍두기와 어우러져 마지막까지 기분 나쁘게 배만 차는 불쾌감만 생겼음.그리고 실내가 기대만큼 시원하지는 않아서 덥고 습할 때 갔는데 뜨거운것까지 먹으면서 더 힘들었음.유명하고 맛있다고해서 기대했는데 완전 실망함."
