user_name,user_rank,num_response,user_star,time,rating,content
박상정,63,659,3.6,2024.04.19.,5.0,오랫만에 5점 가게 발견. 가격부터 음식의 정갈함과 정성이 배부르고 기분좋게하네요. 음식 먹으면서 너무 맛잇어서 계속 미간이 찌푸려졌어요. 꿀딸리오는 필수네여. 딸기와 치즈 요거트? 꿀 조합이 미쳐서 계속 먹게되요. 토스트 보다는 팬케익이 정말 맛있어요 다른곳보다 부드럽고 폭신하면서 달기가 적당해요. 팬케익 정말 고수급이시네요. 다음에 오면 꿀딸리오랑 팬케익을 또 먹을거 같아요. 신기한게 음식이 느끼하지 않아서 탄산을 시켯는데 먹을일이 없엇어요....정말 건강한 음식 만들어 주셔서 감사합니다.
뇽뇽이,13,21,3.9,2024.04.05.,4.0,너무 맛있지만 사장님 손이 엄청 느리심.. ㅠㅠ 가성비 좋아요!!
N,11,14,4.1,2024.04.01.,1.0,"불친절. 전에는 매장에서 사장님한테 말 걸 일 없었고, 그냥 덤덤한 스타일이시구나 생각했어요. 재방문 때, 숟가락 받을 수 있냐고 여쭤보니까(공손하게 말함) 가져다준다고 면박 주듯 대꾸하시네요. 정말 무안했습니다. 솔직히 불친절하다는 후기 있어도, 좋은 후기가 더 많았고 제가 안 당했으니까 별생각 못했는데 직접 겪게 되니까 정말 기분 나쁘네요. 계산할 땐 또 루틴처럼 맛있게 드셨냐고 친절하게 말씀하시는데 다른 사람인 줄 알았습니다.. 마지막만 그렇게 친절하게 말한다고 전에 내비친 불친절함이 씻기지 않습니다.가서 서빙해주는대로만 먹고, 빠진 것 있어도 사장님한테 말 안 걸고, 사장님 예상 밖의 일이 생기지 않는다면 잘 먹고 올 수 있는 곳입니다.다신 안 갑니다."
DM⭐️,12,13,4.5,2024.03.26.,4.0,조선 최고의 팬케이크 맛집웨이팅만 아니면 만점이번엔 두시간반ㅠ 넘 힘들었다 ㅠ
짭쉐린,13,32,4.2,2024.02.12.,5.0,수플레 팬케이크? 필요없어 여기가 팬케이크 갑
EJ,7,2,1.0,2024.02.03.,1.0,친구가 먼저 먹고있었는데 제가 같이 가서 먹을려고하니 일행 아니어서 따로 앉으라하셔서 규칙이 그런가보다하고 옆테이블에 앉았는데 그것도 싫었는지 멀리 앉으라고 신경질내시네요. 사장님이 너무 싸가지 없으셔서 오랜만에 만난 친구한테 미안했네요.
ㅅㄴ,1,1,5.0,2024.02.03.,5.0,
리사심슨,11,8,2.1,2024.02.01.,1.0,가성비는 좋은데 사장님이 너무 융통성도 없고 손님 기분 상하게 하는 상황을 자주 만드십니다. 계산 하면서 잘 먹었습니다 했는데 말도 없이 카드만 내동댕이 치고 휙 주방으로 들어가시네요. 누가보면 하기 싫은데 억지로 장사하시는 것 같네요. 저런 인성이신 사장님 밑에서 일하시는 직원분들이 불쌍하다고 느껴질 정도였어요.
Emerald,11,15,4.1,2024.01.29.,3.0,10시반 이내로 먹으려면 8시부터 줄서야 합니다... 사장님 손이 엄청 느리심. 맛은 좋은데 이렇게까지 기다려야 하나 싶은 느낌.
명무명,16,19,3.7,2024.01.26.,1.0,가성비 좋은 것 빼고 다 별로임. 미술학원 건물에서 줄서서 기다려야되고 가게 안으로 들어가도 30분은 기다려야 나옴. 게다가 사장님은 티비 보시면서 천천~히 만드시더라구요 1시간30분을 기다려서 먹었는데 그냥 팬케이크 맛입니다. 왠만하면 안가는게 나을 듯합니다.
_,23,83,4.1,2024.01.23.,5.0,살면서 먹은 팬케이크 중에 제일 맛있음....
ㄱㅇㄹ,20,27,4.2,2024.01.19.,5.0,팬케이크가 얼마나 맛있겠냐고 생각했는데 학교 근처기도 하고 하도 유명해서 가봤는데.. 존맛탱 ㅠㅠㅠ 팬케이크가 낼 수 있는 가장 맛있는 맛이지 않을까 싶어요 완전 폭신폭신 입에서 녹는 맛 ㅜ그리고 솔직히 리뷰에서 사장님 불친절하다는 말이 많아서 좀 무서웠는데 전!!!혀!!! 아닙니당… 친절하시고 계산하고 나갈때 사탕도 주셔요!! 웨이팅만 아니면 자주 올 것 같은 집이자 웨이팅 감안해도 3~6개월에 꼭 한번은 오는 집…❤️
빠박,3,29,2.9,2024.01.19.,5.0,
눈까리👀,22,68,3.8,2024.01.11.,3.0,인내심 깊은 사람만 가야함. 성격급한 사람 가면 속 뒤집어짐
ㅅ,10,3,3.3,2024.01.03.,1.0,"사람이 없는 시간에 가서 웨이팅이 없었습니다어머니와 같이갔는데, 너무 불친절 하더라고요 팬케이크 하나, 샌드위치 하나 시켜 음식을 먹다 퍽퍽해서 목이 막혀, 중간에 콜라라도 주문하려 하니 가게에 손님이 저희밖에 없었는데도 중간주문은 안된다고 하더라고요. 객관적으로 이해되지 않았습니다 뒤에 손님이 있던것도 아니고.. 고객과 기싸움을 하는 기분이 들었습니다다시는 안갑니다맛은 그냥 무난 하고 가격은 싼 것 같습니다"
솔찍한심정,20,65,4.5,2023.12.31.,5.0,"아직까지 여기보다 맛있는 집 못봤어요..저는 팬케이크보다는 세트에 구성되어있는감자,계란,소시지,베이컨 그리고꿀딸리요를 먹으러 갑니다 ㅋㅋㅋ"
쩜,12,32,2.8,2023.12.15.,5.0,두 달에 한 번은 꼭 멀리서도 와야하는 가게
얌,9,15,3.9,2023.12.14.,5.0,맛있어요 근데 웨이팅은 진짜 개길음 집앞에 잇고 웨이팅 없으묜 맨날 가고픈 맛
윤석규,2,2,4.5,2023.12.02.,4.0,
뽀밍뿌,16,72,3.9,2023.11.16.,3.0,가성비찾는 분들만 가세욥 주문시 맘대로 사장님 부르면 안됨 주의!ㅋㅋ어떤건 타고 어떤건 덜익고 맛도 그닥입니다 궁할때 학생들 가기 좋고싸서 인기많은듯
와압,25,48,3.5,2023.11.14.,4.0,꿀딸리요 제발 먹어주세요... 다른 메뉴는 그저 그럼 꿀딸리요 팔때 가세요
지갑이 병원갓어요,7,9,5.0,2023.11.11.,5.0,굳이 말이 필요한가? 이미 맛집인데
태리,31,97,4.3,2023.11.01.,5.0,진짜맛있는곳... 그냥 무조건 일찍가는게 오히려 덜기다림 첫입장 마지막주문=밖에서 기다린 그 다음사람으로 음식이 나옴 약50분정도 소요됨
예은,10,8,5.0,2023.10.28.,5.0,대기는 길었지만 대기한만큼 맛잇던 팬케이크!
배니티,18,33,3.8,2023.10.19.,5.0,질서를 위해 말씀하시는걸 불친절하다고 보는 고객들은 다른 데 가세요.. 마음이 얼마나 이기적이면 그런 말에 상처받고 그러는지 ;; 작은 식당이지만 오랫동안 변함없이 포근한 식사를 즐길 수 있어서 좋습니다
뚱굴,15,22,4.8,2023.10.18.,5.0,리코타치즈팬케이크 맨날 먹고 싶어요
포담,11,29,3.5,2023.10.10.,4.0,가성비킹 존맛
STAFF ONLY,32,326,3.4,2023.10.09.,3.0,꿀딸리요 드세요.팬케익은 보통.
리뷰러,22,49,4.1,2023.10.08.,4.0,웨이팅때문에 1점 뺐어요2015?2016?년쯤에 처음 가보고 신세계 경험한 뒤 종종 오픈런하는데운 나쁘면 두시간도 기다리는게 너무 힘드네요예전에는 센세이션했는데 이젠 비슷한 집들도 많구요이젠 사람 줄었겠지 했는데 아직도 사람이 너무 많아서 깜짝놀랐습니다 ㅠㅠ
카우,46,326,3.8,2023.10.01.,4.0,팬케이크 맛은 인정이고 가격도 괜찮은 편이나 가게가 너무 좁고 이렇게 기다릴 정도의 맛은 절대 아닌 것 같아요. 토마토 슾도 노맛
김슬비,4,4,4.8,2023.09.08.,4.0,너무 좁은것도 줄서는데 한몫한듯.. 확장해주세요 사장님
ㄱㅇㅇ,2,34,4.6,2023.08.31.,5.0,
담비,2,2,4.0,2023.08.29.,5.0,
다람쥐,11,16,4.5,2023.08.29.,5.0,너무 맛있어요 인생 팬케이크👍
설입,31,196,3.6,2023.08.17.,4.0,어지간히 큰맘먹고 가야하지요 ㅎㅎ휴무 확인하고 가서요
Jin,9,7,3.3,2023.08.13.,5.0,몇번을 가도 늘 좋은 곳❤️
