user_name,user_rank,num_response,user_star,time,rating,content
02 평가단,74,"1,003",4.5,2024.03.10.,3.0,그냥 무난합니다.저는 친절한 직원분이 안내해주셨어요
desgtrdfj,4,2,1.0,2024.03.03.,1.0,직원이 불쾌할 정도로 불친절해요 다시는 가고싶지 않네요 .
김현준,11,13,3.5,2024.01.28.,1.0,직원 불친절해요
윤준영,2,2,5.0,2024.01.24.,5.0,맛있어요
산나비,25,76,3.7,2024.01.23.,4.0,송년회때 방문했는데 1층은 엄청 시끄럽고 2층은 룸식이라서 조용하고 좋습니다. 안주도 제입맛에는 맛있었고 또오고싶어요. 2층 추천드림
익명이,4,3,2.3,2024.01.05.,1.0,2층 직원 콘치즈 서빙하는데 그냥 텅하고 놔버리네. 사장아 교육 어케 시켰나 군대 행보관이 더 교육 잘시키겠다
ㄴㄱㅂ,32,203,2.6,2023.12.17.,5.0,남사장님이 잘생김 남직원 말고 남사장
취존,37,201,4.0,2023.12.15.,1.0,남직원 불친절하고안에 자리도 좀 있었는데밖에 포차로 가게 해서 좀 그렇네요
영이😘,17,20,4.5,2023.09.11.,5.0,생일파티하기 이보다 좋은 곳은 없다안주도 맛있고 분위기도 좋아요합리적인 가격에 생일을 즐기기 좋은 곳맛있는데 양도 많아요!우삼겹으로만 배채움ㅋㅋㅋ 고기 짱많아요그냥 맛있어서 또 가고 싶은 술집👍술종류도 많아서 아주 좋았습니다!생일이시라면 >> 벽돌포차 강추해요🎉(생일자가 더 좋아함)
김혜윤,3,2,5.0,2023.08.07.,5.0,"반 오십에 처음 가본 홍대 헌팅포차! 세상에 이렇게 핫한 곳이 있다니 저는 왜 이제 알았을까요....🥺🥺1층은 넓은 홀이고 2층은 룸으로 구성되어 있어서 조용하고 프라이빗하게 놀 수 있습니다.저희는 2층 생일 파티룸을 예약해 방문했는데요. 테이블마다 있는 포스기에서 안주 선물, 채팅, 게임 등의 기능을 즐길 수 있더라고요! ㅎㅎ 이런 신식 문물이 있는 줄 알았다면 1층 가서 젊은이들이랑 놀았을 텐데...하는 아쉬움... (하지만 아무도 안 놀아줬겠죠?)가끔 룸술집에 가면 공기 순환이 잘 안되어서 텁텁한 경우도 있는데, 에어컨도 잘 나오고 아주 쾌적했습니다. :)2층을 담당하시는 직원분이 따로 있으셔서 호출하면 금방 오시는 점도 좋았어요!안주랑 술은.. 종류가 정말 많습니다. 특히 음료수가 이렇게 많은 술집 처음 봤어요. 소주에 타 먹기 좋게 스포츠음료, 이온 음료, 주스 등 다양하게 구비되어 있었고 소주 맥주, 하이볼, 위스키 등 주종도 다양했어요. 저희는 저녁을 안 먹고 가서 안주를 6개나 시켜먹었는데요 ㅎㅎ;;그중에 가장 추천하는 메뉴는 파인애플 샤베트와 유린기입니다. 잡내 없이 바삭한 유린기를 먹으면서 친구들이랑 '여기는 튀김 맛집이 아닐까?' 하는 합리적 의심을 했었는데, 역시나 나중에 시킨 치킨이랑 감자튀김도 정말 맛있었어요. 파인애플 샤베트는 젤라또에 가까운 쫀득한 식감으로 마지막에 먹어주니 깔끔+상큼하고 좋았습니다. 다음에는 꼭 핫하게 입고 1층에 방문할게요~'이 리뷰는 소정의 서비스를 제공받아 솔직하게 작성된 글입니다.'"
최보람,13,14,4.7,2023.07.22.,5.0,"홍대룸파티/프라이빗룸술집 찾으시는분들 꼭 방문해보세요!2층 생일파티룸으로 미리 예약했고, 4~5인은 들어갈 수 있는 룸에서 여유롭게 좋은 시간 보내다 왔습니다 :) 이용제한 시간도 3시간으로 꽤 넉넉한편이고, 무엇보다 룸대여비가 따로 없어서 좋았어요! 방도 진짜 예쁘게 꾸며주셔서 인스타에 올릴 사진 엄청 찍고 왔어요!안주 가격대비 엄청 실하게 나오네요. 양도 많고 맛도 있어서 술이 술술들어갔어요 ㅋㅋ 오랜만에 과음하고 나옴! 방에 있는 티오스크? 주문하는 탭에 채팅기능이 있어서 다른 방 생일자분들도 축하해주고 재밌었네요 ㅋㅋ 2층이 조용해서 몰랐는데 1층 내려오니까 완전 힙하던데요? 젊고예쁘고잘생깅분들 짱많았어요 ㅋㅋ 좀만 더 젊었어도 1층내려가서 놀았을건데 아쉽아쉽~"
진주,5,1,5.0,2023.07.13.,5.0,"사장님도 친절하시고 안주도 맛있고 테이블도 많아서 포차감성, 생일파티룸감성 두루두루 느낄수 있어서 좋았어요!다음에 또 방문 할게요~~!"
봉명,10,11,5.0,2023.06.24.,5.0,"너무 친절하시고, 분위기도 좋아서 종종 오네요 ㅎㅎ 메뉴도 바뀌었는데.. 신경 많이 쓰신거 같아요 굳..👍 나베와 오돌뼈볶음 굳.."
🐒,34,163,1.9,2023.06.15.,1.0,인플루언서가 하는 곳이 아니었으면 장사가 잘 될까하는 의문이 드는 곳
황인준,2,16,5.0,2023.05.11.,5.0,
jay,6,2,1.0,2023.05.04.,1.0,소주잔에서 하수구냄새 나는거 보고 토나올뻔했어요. 대체 어떻게하면 그런 냄새가 날까요? 그냥 알아서들 오니까 위생관리는 전혀 안하나보죠? 화장실도 청소 하나도 안하는거같은데..여기는 음식을 파는 곳인데 너무 비위생적이라 두번다시는 안 갈거같아요
loxrd21,48,"1,510",3.2,2022.12.16.,3.0,
념뇸,40,585,4.7,2022.09.03.,5.0,
