user_name,user_rank,num_response,user_star,time,rating,content
k,2,33,2.5,2024.04.15.,5.0,
곽득칠,45,222,4.5,2024.03.20.,5.0,훠궈 무한리필 했습니다.홍탕 버섯탕 반반했는데 너무 맛있었어요.꿔바로우도 맛있었습니다.마라탕 맛집일거같아요. 추천합니다.
W,17,36,3.0,2024.02.12.,5.0,마라샹궈가 특이하게 맛있음
HYEN,1,1,5.0,2024.02.05.,5.0,진짜 임종직전에 여기 마라샹궈먹고 죽을거임
j,4,7,4.1,2023.10.25.,5.0,
jane,2,2,5.0,2023.10.06.,5.0,한국에서 먹어본 마라탕중 2손가락안! 번창하세요~
우짤,25,84,3.7,2023.08.25.,5.0,"꿔바로우도 맛있고, 마라탕도 진하고 얼얼하고 맛있어요제일 자주 가던 집이에요"
후기미제공가게는거르자,41,271,3.3,2023.08.20.,5.0,남자들은 소식남 아니고서야 무조건 훠궈무한리필 추천... 하이디라오만큼은 절대 아니지만 너무 맛있다 ㅠ 재료들 갯수도 많고 홍대 마라탕 마라샹궈 훠궈는 여기만 먹어요 여자 알바생 혼자 맨날 갈때마다 똑같은데 진짜 감탄 나올 정도로 일 잘함
뇽,11,26,4.6,2023.08.01.,5.0,마라탕 너무 맛있어요... 100그람당 2500원이라 다른곳보단 조금 가격대가 있지만 재료가 다양하고 신선합니다 고기도 따로 돈 안받고 원하는 만큼 추가 가능해서 너무 좋았습니다 홍대가면 또 갈거에요!!!
맛믈리에,3,3,5.0,2023.07.22.,5.0,맛있어요
킴스,13,12,4.3,2023.07.17.,5.0,홍대 마라탕 원픽입니다✌🏼
-!-!!-!,9,18,3.8,2023.06.26.,5.0,맵고 혀 아린 마라탕 좋아하면 여길 와야함그리고 고기 따로 추가 아니고 채소랑 같이 무게달아서 계산해서 좋음근데 물은 정수기에서 리필해먹어야해서 불편함
우주하늘바다,12,25,3.3,2023.06.17.,1.0,
새대갈,26,81,1.9,2023.05.29.,1.0,어딜가던 위생이 중요합니다저 알바생은 음식이 담긴 그릇2개를 겹치기를 하였고그릇바닥은 저울에 두던거라서 더 더럽습니다 위생개념 없네요
dk,6,15,3.3,2023.05.14.,5.0,
강서구둘기,6,9,4.3,2023.04.18.,5.0,홍대 마라탕 중 최고훠궈도 많이 드시던뎅 난 아직 못 먹어봄쿠폰 다 모으면 꿔바로우 먹을 수 있음 난 3번 먹음 홍대 마라탕집 고민중이라면...여기...🫶🏻월요일 휴무/ 16-17시 브레이크 타임 참고^~^🤍
.,12,19,5.0,2023.03.15.,5.0,찐맛집 밥 무료 꽃빵 무료 양고기 질과 국물맛 최고친절친절
윤서현,3,2,3.0,2023.02.19.,1.0,"단점이 많았음 ㅜ(첫 방문)1. 치즈가 다 안 녹고 먹으니까 냉장고 맛이 남2. 평소에 먹던 타 사 마라탕보다 국물 퀄이 떨어지는 감이 있음3. 만두 맛이 이상함(비비고 만두같은 거 x, 딤섬에가까움)4. 물에서 쇠 맛이 남5. 분모자가 탱글탱글하지 않고 딱딱하면서 뚝뚝 끊기는 느낌임6. 메추리알 끝맛이 쇠맛임7. 작은 중당이 딱딱함(기본 중당은 ㄱㅊ)8. 분위기가 전체적으로 어수선함9. 위생적으로 뭔가 찝찝함장점은 직원분들이 친절하시다는 것!개인적으로는 비추천 합니다 🥲"
davy,7,12,3.5,2023.02.09.,5.0,고기값따로 안받는 집!!
.,42,294,4.0,2023.01.31.,4.0,무난하게 맛있었어요 고기추가 따로 돈받지 않고 다른재료랑 똑같이 무게 달아서 좋았어요
찐리뷰,33,356,3.1,2023.01.11.,5.0,훠궈는 여기로 정착하려고요장점1. 신선한 야채2. 해산물 등 종류가 많음3. 양고기 무한리필 ㅎㅎ4. 친절한 직원 + 상당히 깔끔함단점1. 홍탕 짜서 호불호 갈려요2. 위치가 지하에요개인적으로 백탕이 단백하니 맛있네요다음에는 백탕이랑 버섯탕 먹어봐야겠어요
Ryan,14,31,3.7,2023.01.07.,3.0,훠궈 리필 가격이 올라서 아숩네요. 꿔바로우는 왜이리 과자처럼 해놓았는지... 예전엔 다시 가고 싶었는데 오늘이후론 아닌듯합니다.
건강한 감자,21,38,3.3,2022.10.29.,4.0,100g당 2500원으로 살짝 비싼편무게 재기 전 물 안빼주심장점: 밥 무료 제공확실히 얼얼해서 마라탕 느낌 남맛있음
ㅇㅇ,45,308,4.4,2022.10.01.,5.0,
와이,33,327,4.5,2022.09.16.,4.0,고기를 따로 추가할 필요없이 셀프바에 있어서 좋아요
현,26,56,4.0,2022.08.26.,4.0,자리 안내도 없었고 어떤 식으로 주문하고 먹어야 하는지 설명을 안 해주셔서 당황스럽긴 했지만 맛있게 먹었어요 토마토탕은 좀 많이 달았어요 맵기 조절 따로 안내 못 받은 거로 봐선 안 되는 것 같아요 그래도 자리 많고 재료 종류 다양해서 괜찮았어요
choigii,21,261,3.6,2022.08.14.,4.0,맛있는데 다른 곳보다 조금 비싼 것 같아요
사과,15,24,4.2,2022.07.26.,4.0,22.7.26 기준으로 에어컨 잘 틀어주네요 100g당 1800원이고 매번 탕화쿵푸만 가다가 여기도 먹어봤는데 후회없는 선택이었어요 하이디라오 가고 싶을 때 저렴이 버전으로 먹음 좋을 것 같아요
궁동토르,2,1,1.0,2022.06.28.,1.0,"비추합니다!!마라탕집인데 더워죽습니다 진정한 이열치열;;(사진 기온 29도..)알바생한테 에어컨 좀 세게 틀어달라고 하니까, 사장님이 안된다고 하네여;;;맛은 평범합니다"
블랙나우,5,4,3.0,2022.06.26.,1.0,맛은 먹을만 한데 너무너무너무너무 더워요에어컨 있는데 평균 온도 29도이고너무 덥다고 하니까 17도로 맞춰져있는 거라고 어쩔 수 없다고 하더라구요..여름엔 안가는 걸 추천합니다… 정말 죽는줄….
Eri 에리,8,13,5.0,2022.06.19.,5.0,
준,11,35,3.7,2022.05.19.,4.0,마라탕 최애집
ㄱ,3,9,3.7,2022.04.12.,1.0,마라샹궈….맞나요그냥 밍밍한데 매워요마라샹궈 절대 시키지 마세요
io,30,269,3.8,2022.04.12.,5.0,맛있음 매워서 땀흘리면서 먹음
ㅁㅁ,23,201,2.4,2022.02.23.,5.0,
감자,5,3,5.0,2021.12.06.,5.0,너무 맛있게 잘 먹었습니다 :)서비스로 맥주도 주셨고 짱 친절하세용 다들 방문하세요!
세상에,25,91,4.0,2021.12.03.,4.0,~맨날 마라맛 까먹어서 내가 보려고 쓰는 후기~마라탕 : 개인적으로 땅콩향 강한거 좋아하는데 땅콩맛 안나서 그렇게 내 스타일은 아니었다! 1단계였나 2단계였나 기억은 안나는데 신라면 맵기 정도로 시켰는데 더 매운맛 먹으면 맛있을거 같다마라샹궈 : 매우 맛있었음 기름기 많고 촉촉했다꿔바로우 : 크기가 두 개였던걸로 기억 꿔바로우 먹고 싶은데 다 못먹을거 같을 때 항상 아쉬웠는데 작은 사이즈 있어서 넘 좋았움 맛도 있었다재료 : 특이하다고 생각했던 건 고기를 냉동고에서 직접 담는 거였다.!!!! 그래서 종류도 마음대로 할 수 있고 양고기 소고기 삼겹살 이렇게 있던걸로 기억 (아닐 수도 있음) 재료 다양하고 많은 편 굿굿 그리고 찍어먹는 소스도 만들 수 있었는데 아무래도 훠궈도 같이 팔아서 이런거 같다 땅콩소스 사랑함..기타 : 가게 매우 청결한듯 직원분들도 계속 닦고 계시고 인상은 좋았음!
끄적끄적,33,101,4.3,2021.11.20.,4.0,마라샹궈에 꿔바로우 먹었어요!장소가 협소하긴 하지만 맛있게 먹었습니다~!
진실의 무명,26,85,4.2,2021.11.12.,5.0,훠거 무한 짱재료 신선주방 깨끗 개좋음
