user_name,user_rank,num_response,user_star,time,rating,content
D,16,34,3.6,2024.04.22.,5.0,본설렁탕에도 스지가 들어가서 매우 고급지다.갈비탕고기 양도많고 약재가 많이들어가서 향이 좋다.도가니탕에 스지도많고 도가니도 큼직한것 하나정도는 꼭 넣어서 나온다.여긴 내 최애 ♡
김윤석,4,3,1.0,2024.03.26.,1.0,맛은 둘째치고 일하는 사람 태도가 최악입니다음식 턱턱 던지듯이 주고 주문하는걸로 꼽주시네요다신 안갈듯
함서연,2,1,1.0,2024.03.18.,1.0,뚝배기가 흔히 아는 도자기류가 아닌 모양만 뚝배기인지 음식에서 플라스틱 탄 냄새가 역겹게 났어요.나중에 자세히 보니 뚝배기 밖으로 그을음과 허물이 벗겨져 있었습니다.다시는 가고 싶지 않을 정도에요.
정일우,4,10,2.7,2024.03.13.,5.0,
리뷰천사,39,224,4.3,2024.02.12.,2.0,지나다니다 봤는데 사람들 많은 것 같아서 가봤으나 두 번은 안갈듯ㅠㅠ 맛이 없다.. 설렁탕은 먹을만 한데 김치가 맛이 없음.. 맛도 서비스도 다시 가고 싶진 않음
ㅇㅇ,5,105,3.4,2024.02.05.,2.0,
윤윤윤윳놀이,3,1,5.0,2024.01.16.,5.0,이날은 꼬리곰탕 먹었는데 다른 메뉴도 정말 다 맛있습니다… 제 단골집!코로나 이후로 24시간은 아니고 브레이크타임 3-5시까지 있으니까 참고하세요~아침식사
lululul,3,7,3.1,2024.01.03.,3.0,
소라,5,2,3.0,2023.12.10.,1.0,"이렇게 불친절한 식당 처음 보네요. 주문부터 서빙까지 짜증내면서 하시더니 계산할 때 반말로 시비 걸어서 너무 기분 상한 채로 나왔습니다. 설렁탕에는 쇠수세미 조각이 나왔는데 아무 말 없이 빼내고 먹긴 했습니다만, 컴플레인 했으면 욕이라도 했을 기세입니다. 이게 왜 별점이 높은 집인지 이해가 안됩니다. 대부분 맛집에서 직원들이 무뚝뚝한 경우는 있지만 노려보고 짜증내고 반말하는 곳에서 굳이 돈 내고 밥을 먹을 필요가 있을까요?"
ㆍ,19,21,2.0,2023.11.05.,5.0,꼬리곰탕 찐 맛집임
Munyeong,15,24,4.7,2023.10.09.,5.0,설렁탕 갈비탕 도가니탕 수육 전문점이라서 모두 맛있어요.가끔 먹으러갑니다.추천합니다.
마포구 쩝쩝박사,33,89,3.3,2023.09.02.,3.0,24시 아니에요그냥 사골탕맛 보통의 맛이네요김치는 마늘향 많이나서 어울리구요좀 비싼듯
김영춘,40,685,2.8,2023.08.28.,3.0,"가성비, 평범"
김병윤,5,8,4.8,2023.06.29.,5.0,"설농탕 핵심은 맑은 육수에 있고, 여기선 상상 이상의 깊은 맛이 느껴집니다. 당연히 우유 분유로 맛을 내는 곳과 확연한 차이가 있어요."
누구,4,2,1.5,2023.06.14.,2.0,포장은 밥안주는대신 국물을 넉넉히준다고 해놓구 포장용기가 홀에서 사용하는 뚝배기와 차이가 없다 분명 양이 차이가 없는데 같은 가격에 밥만 빼고 준다 원래 홀 사용안하면 판매자 입장에선 더 이익 아닌가?
.,11,15,4.8,2023.05.11.,5.0,맛있어요! 다만 김치가 마늘맛이 엄청 강합니다! 저는 마늘을 좋아해서 엄청 잘 먹었지만 하루종일 입에서 마늘향이 엄청 나더라구요 ㅎㅎ 그래도 뜨끈하게 맛있게 먹었습니다
,6,10,5.0,2023.04.30.,5.0,
하루,14,30,4.4,2023.03.01.,5.0,
taikwaiyin,7,6,5.0,2023.02.22.,5.0,
수치,24,153,4.5,2023.01.25.,5.0,
성산동거주민,17,43,4.2,2022.12.30.,5.0,전 그냥 괜찮게 맛있었어요
Z,4,5,3.4,2022.09.15.,1.0,맛~ 쓰레기네요 아무리 점심시간이어도 그렇지 도가니탕에서 수돗물냄새 너무나네요..
it’s true,11,21,4.6,2022.06.13.,5.0,맛있당 친절하당 ㅎ 점심시간 웨이팅있으
비,21,330,4.6,2022.02.28.,5.0,
인증🎖맛집찾아라,31,264,2.4,2022.02.01.,5.0,진짜 진하고 맛잇다
미식가될테야,22,260,3.9,2022.01.01.,4.0,
김현진,2,1,5.0,2021.08.15.,5.0,
붕붕이,31,88,3.1,2021.07.10.,4.0,별천지탕 냉면 둘다 맛있음그리고 김치와 깍두기가 예술 별천지탕에 꼬리가 참 쫀득하고 맛있었습니다.
kang,9,5,2.6,2021.03.13.,1.0,불고기전골 음식별로임 고기퍽퍽하고 비린내납니다 3만4천주고사먹었는데 거의남김
거짓말은 못하는 편,22,55,4.6,2020.12.05.,5.0,24시간 가마솥에서 진짜 뼈국물 고아내는 설렁탕집. 신선설렁탕이 대중적인 맛을 위한 조미료맛이 많이 난다면 여기는 진짜 할머니가 몇 날 며칠 고은 진한 국물맛이 난다. 색깔부터가 다르다. 다 먹고 난 뒤에는 입에 살짝 끈적하게 달라붙는 콜라겐이 느껴지며 보약을 한 첩 먹은 느낌. 국물이 진짜 찐임. 아는 사람은 알 것.
이명옥★영혜&현진맘,1,1,5.0,2020.12.05.,5.0,맛있게 먹고 왔어요 단골 될 것 같아요
먹짱,13,38,3.3,2020.08.14.,1.0,완전 별로주인 아줌마 서비스 최악이에요음식 맛없는건아닌데 맛있는것도 아님자잘한 불친절 다 넘기고 남자 직원분이 사이다 시켜서 맥주잔을 갖다주시는데 갑자기 소리지르면서 컵 주지말라고하시는거에요어리둥절해서 왜냐고 물으니까 사람들이 잘 깨서 음료수시키면 안주고 그냥 물컵에 먹으래요 술시킨것도 아니고 저희 술도 안마셨다니까또 그게 아니라고 횡설수설하며 손님들이 일어날떼 겉옷같은거 입으면서 많이 깬다고 이러는거이요 ㅋㅋ 여름밤이라 다 반팔에 아무도 겉옷같은건 없었는데...
...맛있는게 최고,21,46,2.0,2020.04.30.,1.0,갈비탕에 잔뼈가 나와  이부러질뻔함국물에  기름도 예전보다 많이 둥둥 떠있어서  먹기 별루임...이젠 안올듯 고기가  바꼈는지맛도 별루고싼것도 아닌데  점점 이런식이네ㅡㅡ
곡,11,27,4.7,2020.04.05.,4.0,"깔끔, 김치맛있음"
Choi Wonhyuk,21,44,3.4,2020.03.10.,3.0,뜨거운 국물이 생각는데 아쉬운데로 좋지도 나쁘지도 않은 일반적인 설렁탕국물양이 작은편 더 달라고 하면 줌
킴,20,48,2.1,2020.02.24.,1.0,"나는 오늘 9,000원을 내고 쓰레기를 먹었다. 전통방식으로 끓이면 뭐하나 미국,호주,멕시코산 하급재료를..."
샨,21,33,2.8,2019.12.15.,3.0,설농탕은 그럭저럭 괜찮습니다.별천지탕은 비추. 가격 대비 내용물이 적습니다.
솔직후기,11,16,3.7,2019.11.11.,2.0,"소고기, 뼈 이상의 맛은 뭐지? 너무 하얀국물색과 기름진 맛에 의심. 일단 별천지탕는 비추"
달방,11,15,4.4,2019.06.13.,5.0,비냉 물냉 너무 맛있어요ㅜㅜ왕시원
GJ,23,203,2.7,2019.03.15.,3.0,
Torhski,37,295,3.5,2019.02.12.,4.0,갈비 대따큼
