user_name,user_rank,num_response,user_star,time,rating,content
허지원,1,1,2.0,2024.04.14.,2.0,
조승우,2,1,5.0,2024.03.23.,5.0,
ㄹㅎㅎㅇㅇ,8,4,1.0,2024.03.05.,1.0,금발 여자 직원 인성 레전드 모든걸 던지면서 내려놓는게 디폴트임 국밥 뚝배기로 쳐맞는줄 알았음; 일하러 온 거 아니신지? 맛도 그냥 그럼
맛순경,34,124,4.4,2024.02.06.,2.0,맛없고 건더기 없고 떡밥에 비쌈
도비,11,13,4.2,2024.01.21.,3.0,간은 센편입니다. 수육국밥엔 오돌뼈가 좀 들어가있네요. 맛은 평타는 치고 매장 정신없는거치고 직원분들은 친절하신편입니다.
김현중,3,5,4.6,2024.01.06.,5.0,
ㅇㅈ,17,35,2.2,2024.01.06.,1.0,순대국 너무 맛없어요관광객 손님 많아서 시끄러움
권봉근,8,11,4.5,2024.01.03.,2.0,맛은 보통인데 중국관광객들 상대를 주로 해서인지 양이 엉망임 ㅠ 해장하러 아니었으면 안갔을곳 ㅠ 부추를 거의 이파리 말고 줄기위주로만 줌
먹잘알 감자🍽️,32,87,4.4,2023.11.16.,3.0,맛은 갠찮았는데 그릇 깨진거나설거지가 제대로 안된게 너무 많았어서 잘 점검해주셨으면 합니다🥲
day_off,41,211,4.1,2023.11.11.,5.0,알바분 바쁜데두 응대가 친절해서 좋았어요. 뼈해장국 시켰는데 가격대비 양 괜찮고 맛도 좋았습니다.
강,9,10,2.6,2023.11.09.,1.0,밥인지 떡인지... 국밥집에서 밥을 이런식으로 하는 게 말이 되나 싶다. 최소한 기본은 해야지;;
.,26,112,3.3,2023.08.16.,5.0,밑에 어떤 평점은 여태 쓴 평점이 하난데 그 하나가 이 가게 까는 글이네 이게 우연이냐 알바냐 ㅋㅋ 개인적으로 순대 국밥 등등 싫어하지만 그래도 가기 무난한 가게.세트메뉴가 충실해서 일인분으로 부족하다고 느낄수 있는 사람들한테도 좋은점
규택,13,20,5.0,2023.08.13.,5.0,친절하시고 데이트 하기 좋은 곳이에요 ㅎㅎ
hanu,22,47,2.7,2023.07.07.,3.0,평타이상의 실패없는 무난한 맛. 상권이 상권인지라  구성대비 가격은 높은편.
이거쓰려고 만듬,4,2,1.0,2023.05.27.,1.0,진짜 살면서 리뷰란걸 처음써보게 만드는 음식점이다. 일단 내장국밥에 오돌뼈가 한가득이다. 또한 김치에서는 돌같은게 씹힌다. 가격도 너무 안좋은데 맛이라도 좋고 서비스라도 좋으면 모르겠는데 진짜 역대급으로 안좋은 음식점이였고 지금처럼 리뷰를 쓰게 만든다. 다시는 안갈꺼 같은 곳이다. 마지막으로 새우젓을 달라고 하니까 새우젓국물을 주는건 무슨 예의입니까? 그리고 새우젓국물주길래 새우젓을 달라고 하니까 또 달라고 준다는 말만 반복하시길래 참...새우젓까지 아낀다는 생각들었습니다. 이런 최악인 곳은 처음보고 국밥을 남긴건 처음이네요.
뀹,11,19,4.2,2023.04.20.,5.0,체인점이다보니 무난하게 맛있고 외국관광객분들 많아서 힘드실텐데도 일하시는분들 친절하셔서 종종 갑니다!
loxrd21,48,"1,510",3.2,2023.04.10.,3.0,
기억에 남으면 리뷰남김,11,10,4.1,2023.04.03.,2.0,"진짜 쏘쏘..여기 좀 이상한게, 일반 순대국밥 시켰는데 다대기 한숟갈 덜어냈는데도 다대기 그대로 먹은 친구들 국밥보다 훨씬 빨갰음.. 그냥 얼큰을 잘못주신것 같았음. 대충먹음그리고 ㅋㅋㅋ 남자2 여자 1 갔는데 여자한테 주는 공기밥이 양이 좀 더 적게주심 한 두 숟갈 정도??밥을 앞접시에 줘서 정량이랄게 없고 양도 별로 안많은데 딱 봐도 티가 났음... 다음엔 24시 다른데 찾아봐야지"
..,5,7,2.7,2023.02.12.,1.0,
김소연,12,22,3.7,2022.11.26.,1.0,
强者,5,7,3.3,2022.11.21.,1.0,맛은있는데 냄세가 심함
Montague,18,59,4.5,2022.10.20.,2.0,순대가 좀 쓰다
싫어요는 싫어요,3,3,5.0,2022.10.06.,5.0,스근하게 해장하고 갑니다잇
權君,3,2,4.0,2022.09.29.,3.0,"식권대장으로 순대국정식 맛있게 먹음. 다 먹고 국물 마시는데, 뭐가 입에 걸림. 부추겠거니 하고 씹는데, 안씹혀서 뱉어보니 케이블타이 꽁다리. 식권대장 결제 다하고 조용히 접시에 담은 케이블타이 카운터에 전달하고 나옴."
ㅋㅆㅇ,37,695,3.8,2022.09.02.,3.0,
마슐랭,13,22,3.5,2022.07.23.,4.0,최고의 해장집
Douglas Sonn,21,52,3.8,2022.07.18.,4.0,"아침 9시에 갔었는데 일하시는 분이 영업준비로 바쁘신 가운데도 친절하시더군요. 맛, 품질, 속도, 가격 다 좋습니다. 단골예감^^"
부딱,4,3,2.3,2022.03.04.,1.0,뭐 대단한거 요구 한적도 없는데 자리 선정가지고면전 앞에서 불쾌한티 팍팍내는 것도 참 신기하네요요식업에 종사해봤지만 저렇게 스트레스 받으면서 돈 버실거면 일 안하셨으면 좋겠어요 직원분
최홍준,23,62,4.1,2022.02.20.,4.0,
woomayo,16,42,3.5,2021.11.05.,1.0,서비스는 좋지만 순대국에 다대기는 옵션인건데 그냥 들어가있더라구요. 음식받고 놀랐어요. 잘보이지도 않는 카운터에 빼달라고 하라고 써있더라구요. 근데 먹어보니 왜 다대기가 기본으로 들어가있는지 알것 같아요. 고기 맛이 좀 비리고 이상해서 이걸 가리기 위함인가 했습니다. 비추합니다.
.,26,94,3.6,2021.10.17.,4.0,먹을만 합니다. 그나마 국밥만
맨듀,33,155,3.5,2021.10.14.,3.0,진국보단 노맛임 ㅎㅎ
뚜까,16,20,4.3,2021.05.24.,2.0,직원분은 친절하셨다. 냉면에 나오는 고기는 맛있었지만 정작 냉면은 좀 별로 였다. 물냉은 맛이 안나는 것 같다.
김대충,33,107,3.7,2021.03.21.,4.0,나는 맛있고 좋았는데 별점 왜 이럼프랜차이즈 순대국집인데 이 정도면 양호하다고 봄..깊은 맛은 없어도 깔끔하고 잡내 안 나고 간이 잘 맞아서 자주 가는 집임.
ㅅㅎ,24,90,2.7,2020.09.26.,2.0,순대와 회냉면이 맛있음다른건 ㅂㄹ
코카인Duck,14,28,4.0,2020.08.04.,3.0,밑에 마스크 이야기가 있었는데 일하시는 분들 다 마스크 쓰고 계셨음아쉬운건 순대곱창전골에 곱창이 너무 없었다는 것...순대야채전골이었음 ㅠㅠ맛은 있었지만 야채만 듬뿍 먹고온 느낌...ㅠ직원분들도 친절하셨음!
흥민'오딘'손,12,78,3.5,2020.07.19.,4.0,
