user_name,user_rank,num_response,user_star,time,rating,content
뇽뇽이,13,21,3.9,2024.04.01.,3.0,
Rae,32,117,4.2,2023.11.22.,3.0,나쁘지 않은데 가격대가 조금 있어욤
문홍규,6,8,4.9,2023.11.01.,5.0,개별 테이블에 미니오뎅바 처럼 즐길 수 있어서 좋았어요
sorindragan,2,8,4.6,2023.08.25.,5.0,They were super friendly and inclusive with us as foreigners. Very nice atmosphere and food.
데헿,17,22,3.6,2023.06.29.,4.0,남녀 2명이서 먹었을 때 세트하나면 적당합니다. 다만 맛있냐고 물으면 조금 애매하네요
민이수,9,10,5.0,2023.06.26.,5.0,
sik,37,152,3.9,2023.06.19.,5.0,예약하기 힘든만큼 맛도 분위기도 좋았다
임주현,3,10,5.0,2023.05.17.,5.0,
18382,4,3,4.0,2023.04.30.,3.0,양도 맛도 분위기도 괜찮으나… 오픈 주방이면 위생 더 신경써야 하는 거 아닐지ㅜ 다시 가고 싶진 않음
맛나면 애옹,11,23,4.9,2023.04.04.,5.0,애옹
이이잉,31,189,4.0,2023.03.28.,5.0,
fuj,5,8,3.3,2023.02.20.,2.0,2시간 대기 해서 들어갔눈데.. 시끄럽고. 맛도 그냥그런데 왜 이렇게 대기가 긴건지 이해가 안되네여.. 조용하고 대기 하나도 없이 들어갔으면 평균 점수는 될거 같아요
azossii,65,582,4.9,2023.01.17.,5.0,"경의선숲길,, 최애 장소,, 어묵,,분위기,, 맛,, 모두 있읍니다,,행복은,,, 어디에나 있는 것,,, ^^  @azossii"
삼경,6,36,4.5,2022.12.05.,4.0,
정재훈,13,19,4.4,2022.11.16.,5.0,타다끼 존맛이욜
빈빈,1,4,3.0,2022.11.10.,5.0,
건희,5,3,1.0,2022.11.10.,1.0,"약속을 지키지 않습니다. 맛있다고 소문난 집이라 멀리서 일부러 찾아가 오후 4시반부터 5시까지 기다리고 입장하려 했는데, 5시반 오픈이라고 웨이팅 하라고 이야기합니다. 그 와중 사과도 한 마디 없네요. 멀리서 일부러 위치를 이동했는데 퇴짜를 냈으면 말이라도 미안하다고 해야 하는데, 사장이나 직원이나 그런 자세가 전혀 없네요. 손님과의 약속을 지키지 않고, 그것에 대한 미안함도 없는 가게인데, 아무리 좋은 맛을 내도 그것이 무슨 의미가 있나 생각이 듭니다."
.,14,50,3.6,2022.10.12.,5.0,
이승원,7,1,5.0,2022.10.04.,5.0,
민형,6,11,4.0,2022.09.22.,5.0,내가 갔던 일식집 중 최고
하나,11,14,3.9,2022.09.14.,5.0,하이볼 맛있고 자리가 협소해서 혼자나 둘이 오는게 베스트? 그리고 오픈시간쯤 가도 사람 많아요!
미슐랭,10,28,1.9,2022.09.07.,5.0,맛있고 분위기 좋고 자리는 없고
ㅇㅇ,23,73,3.2,2022.09.05.,5.0,오뎅 진짜 맛있어요! 분위기도 너무너무 좋구요 테이블마다 오뎅국물바가 있어서 위생도 좋아보여요  나만 가고싶은곳ㅠ
손호선,4,5,5.0,2022.08.05.,5.0,오뎅과 오뎅국물 둘다 정말 맛있었구요!! 완전 시원하고 깔끔했어요~소고기타다끼도 진짜 입에서 살살 녹더라구요..강추!!
이걸로 계속 쓰시게요 ?  예 !,25,55,4.2,2022.05.26.,5.0,오뎅 덕후들은 꼭 가시길국물 깔끔오뎅 총 6가지 꼬치튼실통통별미
ㅁㅁ,12,52,3.9,2022.04.27.,3.0,
전충영,10,11,2.0,2022.04.09.,5.0,일단 맛과 가성비 둘다 잡은 맛집입니다 술 종류도 다양하구요바테이블에서 먹으면 직원분들 요리하시는거 보는것도 나름 신기하구 재밌습니다원래 리뷰를 잘 안쓰는데 직원인지 사장님인지 엄청 친절한분이 아직도 기억에 남아서 쓰네요 ㅎㅎ가게 더 번창했으면 좋겠습니다~
민규,21,70,4.1,2022.01.22.,5.0,2년전에  오구 다시 왔는데 역시 이번에도 맛있네요.친절하시구 100프로 만족합니다.그때는 이렇게 유명하지 않았는데ㅜㅜ웨이팅이 기니까 참고하세요ㅎㅎ.밑에분은 아마 테이블링 어플로 원격줄서기 해서 그럴꺼예요
임,11,15,1.6,2022.01.02.,1.0,별1개도 아까운 ㅡㅡ1시간넘게 기달렸고 내 차례였는데직원인지 알바인지 지인들이 새치기해서 들어감그렇게 장사하지마세요
쑤운,11,17,2.6,2021.06.15.,1.0,☆ 하나도  아까움오뎅이 시그니쳐임에도 불구하고리어커 700원짜리 오뎅맛~ㅋ홍대는 가끔 맛집 투어 하는곳인데여기는 최악임~~걍.....분위기만 좋음ᆢ
맛집전문가,27,98,2.6,2021.04.29.,3.0,글쎄요 뭐 그닥
qwer,12,31,3.1,2021.03.21.,3.0,자리가 좁아요
K- Gordon Ramsay,20,70,4.0,2021.02.04.,5.0,여기 개조음
정준성,3,4,5.0,2021.01.26.,5.0,이집은 진짜 썸녀랑오면 무조건 핑크빛 돌듯 분위기 개좋아요!!
어니스트,30,80,4.6,2020.12.08.,5.0,오뎅바 최고! 오뎅 당연히 맛있고 술 마시기 너무 좋네요. 날이 춥지 않으면 밖에서도 마실 수 있는데 그것도 분위기 있고 좋습니다.
K.Rothy,12,12,4.6,2020.10.30.,5.0,얼마전 가까운곳 술집을 찾다 강아지 산책하다가 보기만 했지만 처음 간곳. 추워지는 날씨에 오뎅바가 생겨서 좋았어요:)
sub99,4,32,4.4,2020.10.17.,5.0,
별점조작은말없이1점,57,475,2.9,2020.10.03.,4.0,맛은 솔직히 평범하고 가성비가 떨어지는데 어차피 술집은 어느정도 포기하고 가는편이라...분위기가 다한 술집!
전혁진,3,2,5.0,2020.10.02.,5.0,타다끼와 오뎅이 기가 막힙니다사장님 서비스도 너무 친절합니다
마아아스,13,31,4.0,2020.07.15.,5.0,분위기도 좋고 맛도 좋은 곳
포에버영씨,15,20,2.9,2020.07.09.,4.0,"맛이 엄청 있다는 아님. 하지만 뭔가 딱 적당하고 편함! 가볍게 친구랑 술먹기 좋은 곳. 안주도 너무 강하지도 않고, 가볍지만 적당히."
휴잇,27,83,3.3,2020.05.04.,5.0,다 맛있어
세상에,25,91,4.0,2020.05.01.,5.0,죤맛탱 분위기도 너무 좋다 진짜 최고
민재,6,9,5.0,2019.10.10.,5.0,지금 날씨에 가면 딱 좋은 곳음식 인테리어 사람 모두 완벽한 곳
브래드,5,7,5.0,2019.10.09.,5.0,겨울이 기다려지는 최애 아지트!!
ㅇㅇ,14,25,3.2,2019.07.07.,5.0,맛있었어요!
박재만,4,5,4.2,2019.06.22.,5.0,홍대에서 너무나 좋은 집을 알게되서 행복하네요~ 앞으로 단골이 되었습니다~^^
영진,3,2,5.0,2019.03.17.,5.0,젊은 사장님 두분이 하시는데 가게 느낌도 좋고 맛도 좋고 친절까지 오 .....ㅋㅋㅋㅋ아주 매력있는 가게였습니다 ㅎㅎㅎ다음에는 다른 메뉴 먹어보고싶어요 ㅎㅎㅎ꼭 다시 올께요 ㅎㅎ
강태중,4,4,5.0,2019.03.16.,5.0,"오뎅국물만 있어도 소주1병 가능한곳 ㅋㅋ분위기도 좋고, 오뎅하고 곶감말이 너무 좋아요~사장님들도 젊고 잘생김 ㅋ"
