user_name,user_rank,num_response,user_star,time,rating,content
뵤식,24,26,4.0,2024.04.24.,2.0,"처음에 방문 했을 때 홍대에 있는 라멘 집 중에서 차슈가 제일 맛있는 것 같아 너무 좋았었는데. 점점 갈 수록 실망스러운 집. 테이블이 끈적끈적한 것도 둘째치고, 숙주가 신선하지 않았음... 바닥도 좀 더러웠음. 가라아케는 바로 튀겨서 나오는 시간이 좀 오래 걸렸는데 그래도 맛있음. 첫 기억이 좋았지만 앞으로는 안 갈 듯... 홍대에는 치고 올라 올 라멘집이 너무 많다."
국민MC,3,9,5.0,2024.04.11.,5.0,
김교진,11,11,4.5,2024.04.01.,5.0,좁지만 맛있어요~~ 돈코츠시오에 야채전부 많이로 하그 간은 보통으로 먹으면 맛있어요ㅋㅋ 면 리필되는게 장점~
맛집탐방,23,79,4.9,2024.03.24.,5.0,맛있게 먹고왔어용~
꾸웅,32,210,3.5,2024.03.12.,3.0,신촌점에 비해 웨이팅길다.. 신촌점보다는 깨끗한듯.. 맛차이는 웂음
길거리,23,75,3.7,2024.03.06.,1.0,돈코츠라멘 시켰는데 나온건 사리곰탕 ㅋㅋ
정준영,2,7,4.4,2024.03.05.,3.0,
SBS아카데미 김예빈,3,5,5.0,2024.03.05.,5.0,평소에 라멘 좋아해서 맛집 도장깨기 중입니다. 돼지육수라멘 중에서는 최고입니다... 볶음밥도 맛있고 가라아게도 존맛입니다! 드실 땐 꼭 세트로 드세요
이문정,3,3,4.7,2024.02.17.,4.0,맛있어서 사리 추가를 꼭 하게 되는 곳.
바롤로,28,108,3.7,2024.02.15.,3.0,"국물의 qc편차가 심하고 간이 많이 센 편. 텅 빈채 리필되지 않는 중국산 김치와 보통은 되는데 많이는 안되는, 왜 커스텀 가능하게 해놨는지 모를 마늘. 많이를 선택해도 뿌리다 만것같은 파의 양.  가격을 올리지 않고 음식의 열화를 택한 노선은 존중하나 우리가 부탄츄에 기대하는게 낮은 가격인지 예전의 진하고 푸짐한 돈코츠인지를 생각해보면 아쉬운 부분. 다만 이 모든 아쉬운 점에도 불구하고 여전히 부탄츄만의 메리트는 있다. 후추로도 가리지 못한 돼지냄새가 날만큼 진한 돈코츠를 쉬이 만나기 어려운 탓에 가끔 생각이 나는 집. 그런고로 이제는 방문시간을 신경써야 진한 국물이 나올 확률이 올라간다는 점이 가장 아쉬운 부분으로 차라리 가격을 올리고 qc에 신경만 쓴다면 자잘한 부분은 넘어갈만한 메리트는 있는 집이라 하겠다.토코돈코츠, 드래곤멘, 싱겁게, 마늘많이."
산나비,25,76,3.7,2024.01.26.,3.0,부탄츄 가게들 공통점이 있는데 다 뭔가 청소가 안된느낌임 엄청 찐한 돈코츠를 제대로된 환기구가 없는데서 한다고 해야하나.....음식은 좋아함
마리오빠,54,377,4.4,2024.01.15.,2.0,매장 들어가자마자 나기 시작하는 누린내와 바닥의 기름기후추로 냄새를 잡고나서야 젓가락질을 시작할 수 있다면이 리필이 된다는 점 말고는 홍대 부근에서 굳이 부탄츄를 선택할 이유는 없지 않을까
으하,10,10,3.3,2024.01.15.,1.0,홍대에서 5년 이상 살면서 꾸준히 간 집인데 이제 발길을 끊기로 함.. 차라리 쿄라멘을 가세요.예전에 위생이나 직원 교육 문제가 있었지만 그래도 금쪽이마냥 눈감고 맛있으니까 갔는제 이젠 맛도 많이 변해서 국물에 땅콩맛 밖에 안나요.. 망해가는 수순을 밟고 있는 거 같아서 참 안타까운 집
ㅇㅇ,20,39,3.2,2024.01.14.,2.0,갈 때마다 맛 편차가 넘 심해요. 어떨 땐 밍밍 어떨 땐 너무 기름 둥둥 떠다니고...;;
자두야,2,1,1.0,2024.01.13.,1.0,홍대에서 일식라면 먹으러 하필 여기를 왜 갔을까?왕재수 없는 날이었다.
ㄴㄱㅂ,32,203,2.6,2023.12.22.,1.0,맛 많이 변함 개노맛 위생은 존맛이라참앗는데이제맛도없음 밍밍햐
이준혁,2,3,2.3,2023.12.10.,5.0,
.,11,10,2.9,2023.11.19.,1.0,진짜 별로 위생 맛 접객 하나부터 열까지 다 절망적임 이집이 안망하는 유일한 이유는 오후 9시 반까지 한다는것 해장하러 왔다가 후회하고 나가는집
카미,22,61,3.4,2023.11.13.,1.0,먹어보고 집에서 라면 끓여먹는게 좋겠다 싶었음. 그리고 외국인 손님이 많던데 응대를 하나도 못하고 손님이 떠나니 영어못하면 통역 어플이라도 쓰지 하면서 뒷담화 하는건 진짜 별로였음. 손님이 많길래 들어갔는데 평점은 못속이는것 같음
Kim Chae Un,3,7,4.4,2023.11.09.,5.0,
난두더지,3,1,1.0,2023.11.06.,1.0,"음 늦은 저녁에 방문했습니다. 몇년만에 홍대점방문이었는데, 악평이 많은 이유가 있었네요••• 점원의 응대, 음식퀄리티, 업장 청결도, 정말 다 최악이었습니다."
DM♪,12,9,2.9,2023.11.01.,2.0,설거지좀......간 보통으로 했는데 생각보다 짜네요..고수 많이  주문했는데 많지 않고요파나 기타 제료들을 보통으로 했는데생각보다 양이 적네요
