user_name,user_rank,num_response,user_star,time,rating,content
박시인,6,8,4.5,2023.05.25.,5.0,평소에 방탈출을 좋아해서 자주 하는데 다른 방탈출이랑 다르게 문제도 뻔하지 않고 재밌어요!! 시설도 좋고 직원분들도 친절하십니당! 호커스1 테마 했는데 다음에는 호커스2 해야겠어용
겹살이어터,38,162,3.7,2023.12.25.,1.0,2년전 첫 방탈출 카페 최악 그래서 방탈출이 재미없는줄 알았는데 다른곳은 정말 재미있네요지금 억울해서 기록 찾아서 후기 남겨요이거 때문에 방탈출 계속 안하고 있다가 최근에 다시 접하게 되었는데 이야...그때 여기가 최악이 였구나 그런데 왜 점수가 높은건지 이해가 안되는군요 후기 자세히 보고 가길 알바의심됨
...,2,1,5.0,2023.05.24.,5.0,호커스1을 플레이했는데 너무 재밌었어요~ 탈출하는데 실패해도 끝까지 설명해주셔서 감사했습니다 직원분들도 다들 친절해요ㅎㅎ 다음에 또 방문할게요😊
뀨잉,2,1,5.0,2023.05.24.,5.0,오감 다양하게 사용해야하는 신박한 문제가 많아서 재밌었어요!!
가영,3,1,5.0,2023.05.23.,5.0,캐릭터 롤플레잉으로 협력이 있어야만 해결할 수 있는 퍼즐과 스토리와 연출이 진짜 매력 넘치네요!!! 다소 불협화음이 있었지만 극적으로 탈출해서 너무 재미 있었어요ㅋ
박신원,8,14,4.1,2023.03.16.,3.0,어거지인 문제들이 좀 있습니다. 서비스는 좋아요
원슐랭가이드,37,168,2.5,2023.02.26.,2.0,다 좋은데 50분 너무 짧아요 가격에비해 다른 방탈출카페보다 너무 짧아서 아쉬워요 근데 구성이나 친절 이런거는 좋아요 근데 여기서 문제가 네이버 예약하고 입금하고 갔더니 뭔 알림받기를 한 사람만 해주는거라고 같이 간 일행 전부 핸드폰으로 네이버 알림받기랑 추천(?) 이런거 눌러야 입장시켜주더라고요 이건 뭔…
배고파,18,31,3.9,2023.01.26.,1.0,방탈출인데 방문이 열려있었어요..ㅋㅋ제일 재밌는부분이었는데 머리쓰지도 못하고 허무했네요 돈아까웠어요 진짜최후의 낙원했는데 문제 갯수도 진짜 적고 힌트도 사람이 아니고 기계가 주는거라 원하는 힌트가 아니고 이미 풀은 문제를 알려줘서 힌트 쓰는 의미도 없고.. 평점들 다들 알바인지 뭔지 후기 좋아서 갔는데 최악이네요
별섬,23,189,4.3,2023.01.19.,5.0,
쿠로미 노트,45,398,4.2,2022.09.19.,5.0,
쁘암,1,3,4.0,2022.09.11.,4.0,
어묵,13,23,2.2,2022.08.20.,5.0,오지고지리는마술 탈출!
이은비,2,1,5.0,2022.06.15.,5.0,동기들이랑 11명이서 방문했어요! 방 3개에 나눠서 들어갔는데 방탈출 자체를 처음 하는 사람들이 좀 있었는데도 재밌게 시간 보냈습니다! 방 2개는 클리어하고 하나는 시간 다 됐는데 바로 내보내지 않고 저희가 풀도록 도움만 주면서 지켜봐주셔서 너무 감사했어요!ㅎㅎ 직원분들 정말 친절했습니다!!
김 수 진,2,1,3.0,2022.01.03.,3.0,"아들과조카(11살,13살)와함께 호커스1  방탈출게임을 했습니다. 초보자기준으로는 난이도가 있어 탈출실패했어요~많이아쉬웠고 추리물 좋아하시는분들에게는 추천하고 싶네요^^"
CSI,12,16,4.3,2021.12.20.,5.0,가족들이랑 다녀왔어요방탈출게임이 첨인 부모님도 신기해하며 열심히 실마리 풀어주시구 즐거운 추억 쌓고 왔습니다쉬운 난이도도 탈출 못했지만 더 어려운 난이도도 해보고 싶어요담엔 친구들하고 가봐야겠습니다
엥?,18,28,4.1,2021.11.15.,5.0,"여자 직원분 엄청 엄청 엄청 친절하시고 덕분에 진짜 재밌게 게임했어요 ! 2탄도 하러 다시 갈게요 감사합니다 !The staffs were very nice and friendly,helpful. They provided English enough to enjoy the game for foreigners. Well made game and theme . Will come back for the next game !"
가향,7,8,3.1,2021.10.24.,5.0,존잼이에여
소로로,14,28,4.7,2021.09.21.,5.0,네이버에 후기 남기려 했는데 예약자가 아니면 안되는거같아서 카카오맵으로 달아요!! ㅠ.ㅠ 문제 하나 남기구 실패했지만 난이도가 (초보기준) 꽤 있었고 재밌었어요! 다음에두 다른 테마 하러 가겠습니당~!
송은아,2,1,5.0,2021.01.26.,5.0,호커스 1탄 하러 왔는데 너무 재밌어요! 다음에 2탄하러 꼭 오겠슴당!!
징모닝,3,3,5.0,2020.09.19.,5.0,재밌었어요!!!!!!!!!
ㅁㅇㅇ,8,8,3.5,2020.08.25.,5.0,최고에요! 밤에 하고 너무 재밌어서 다음날 가서 바로 2개 더 했어요ㅜㅜ 댓글이 다 너무 5점이라 댓글 조작을 의심했었는데 진짜로 5점 맞아요... 짱!!!!!!!!!!!!!!!!!!!반드시 5개 다 클리어할테얏
🍋,11,17,3.4,2020.07.25.,5.0,별점 오점이라 와봤는데 여태 한곳중에 제일 재밌음
김병규,1,1,5.0,2019.11.10.,5.0,다른 방탈출과는 완전 달라요 너무 재미있어요 캐릭터 선택해서 문제를 풀어간다는게 너무 신기했어요
예?,14,32,4.4,2018.10.13.,5.0,직원들도 친절하고 매우 재밌음!! 돈이 안 아까웠음
임헌영,2,1,5.0,2017.12.17.,5.0,"음향, 퍼즐, 인테리어 모두 리얼해서 몰입 짱이네요~"
