user_name,user_rank,num_response,user_star,time,rating,content
🐰,33,152,3.8,2024.03.24.,4.0,맛있고 가격대도 괜찮은 식당이었어요 ! 가게가 좁아서 그런 거 빼곤 또 갈 의향 있습니다~
수정,11,9,4.7,2024.01.25.,5.0,"존맛,,,,,"
말랑이,13,10,4.6,2024.01.19.,4.0,"크리스마스 코스로 방문했습니다.전체적으로 맛이 특별하진 않았지만 가성비 따지면 만족합니다.스테이크 사이즈가 큰 게 고기씹는 맛이 나서 그게 젤 좋았습니다.뇨끼 맛집이라해서 기대하고 있었는데 뇨끼는 실망했습니다. 뇨끼자체는 수제라 그럭저럭 맛있었는데 문제는 소스였어요. 한 입 떠먹자마자 폰타x 시판소스.. 더라고요. 평소에 집에서 파스타 자주 해먹는편이라 양식전문점에서 시판소스맛을 느낀게 식당의 전문성 내지 정성이 떨어진다는 생각이 들더라고요.새우비스큐파스타는 새우가 특히 맛있었습니다. 새우의 녹진한 맛이 인상깊어서 이건 만족스러웠습니다. 싼 새우 맛이 아니었어요.그밖에 에피타이저와 디저트는 모두 만족스러웠습니다. 요리 외의 식당 자체에 대한 얘기릂하자면, 크리스마스 코스 즐기는 와중에도 워크인 손님들이 자주 드나들더라고요. 예약안한손님은 종업원이 다시 내보내는 모습을 여러차례 목격할 수 있었습니다. 문앞에 안내사항을 써붙이기만 해도 휠씬 나았을텐데요.또 나무의자들의 상태가 좋지 않았습니다. 제가 앉은 테이블의 의자는 한쪽이 목이 짧은지 덜컹거림이 심했습니다. 결론 내리자면 여러 미흡한 부분은 있었지만 가성비생각하면 만족스러운 식사였고 크리스마스 기념으로 기분내기 좋았네요~"
조민희,7,6,4.0,2024.01.14.,5.0,쫜득묵직한 뇨끼를 원한다면 여길 꼭 와봐야 합니다뇨끼먹으러 몇번갔나 기억이 안날정도에요사진에 보이는 샥슈카와 버터레몬문어파스타(??)는 음.. 다음에 갈땐 다른것도 먹어보려구요!
iliil,11,13,3.8,2024.01.06.,4.0,데이트 장소로 추천!맛도 괜찮고 가격도 무난합니다개인적으로는 뇨끼<리조또
하늘색바다,11,27,4.1,2023.12.10.,5.0,내부에 화장실 한칸있고 어린이 출입 가능해요!라구 리조또랑 뇨끼 맛있어요!!
hyng,23,94,2.6,2023.11.20.,2.0,맛은 있는데남자 서버가 불친절다시 가고 싶지는 않아요
까다로운사람,50,"1,026",3.6,2023.10.22.,4.0,
🤜🏻,11,8,4.5,2023.10.09.,5.0,여기 아아 맛집임ㅇㅇ 꼭 먹으셈ㅇㅇ
diana,30,78,4.7,2023.10.08.,4.0,하우스와인 7천원감자베이컨크림뇨끼 17천원포르치니버섯리조또 17천원엔 트러플 오일 뿌려줌맛있으나 런치메뉴(주말 공휴일 제외)를 추천
🥄,15,42,4.0,2023.10.05.,5.0,뇨끼랑 대구살 파스타 맛있어요
다맛있게먹음,13,16,4.3,2023.09.25.,5.0,살면서 먹은 뇨끼중 가장 맛있었어요진짜 맛있네요.. 이런 맛집이 있었다니홍대 근처오면 여기만 올 것 같아요진짜 너무 맛있어요
여기서그만두자편하게,34,153,4.7,2023.09.07.,5.0,회사 근처에 있었으면 맨날 런치로 먹었음뇨끼 넘 맛있고 리조또 리가토니 모두 맛있었음 귯
김정훈,3,3,5.0,2023.08.03.,5.0,홍대에 뇨끼 맛집이라고 해서 찾아갔는대  너무 맛잇었고 파스타 세트 가성비 너무 좋은거 같아요 뇨끼 식감이 색달라서 놀랫어요 고추 까르보나도 맵지않고 잘먹은거 같습니다!
푸다뱅,75,933,4.2,2023.07.14.,4.0,분위기 있게 먹기 좋은 파스타 맛집👍
리링,55,598,3.7,2023.07.02.,4.0,가격도 저렴하고 가성비 쩌는데홍대 파스타집 중 맛있는 편
.,22,39,3.9,2023.06.30.,4.0,맛이 좋았다.. 또먹고싶다
-!-!!-!,9,18,3.8,2023.06.26.,4.0,
박효원,6,4,5.0,2023.06.13.,5.0,홍대에서 여자친구랑 데이트하다가 밥먹을겸 찾았는데 선택한 메뉴들 모두 실패없이 너무 맛있게 먹었습니다!!찾아봤더니 후기도많고 맛집이였더라구요^^직원분들도 친절하고 여자친구가 특히 뇨끼가 👍였다고ㅋㅋ다음에  데이트할때 또와야겠어요!
현,9,16,3.8,2023.05.28.,3.0,친절하시고 맛은 나쁘지않았는데 에어컨이 더럽더라고요.. 에어컨에 딱붙은 테이블에서 밥먹으면서 찝찝해서 미치는줄알았어요 다신안갈듯...
야옹,32,87,4.7,2023.05.20.,5.0,처음에는 양이 적은가 했는데 막상 먹으니까 딱 적당했어요 :) 카프레제 샐러드 진짜 맛있었구 오늘의 메뉴도 좋았습니당
은지,5,19,3.6,2023.02.06.,4.0,"뇨끼가 보들보들 치즈떡같은 느낌이었고, 감바스도 간도 적당하고 맛있었어요! 하나 아쉬운 점은 빵이 부족하다는 점,,ㅠ"
콘파냐&바칼에 진심임,19,32,3.6,2022.12.07.,1.0,한스델리에서 먹는 맛이라는 리뷰가 딱입니다급식 스파게티 같아요. 뇨끼 크림은 급식 같고 뇨끼 텍스쳐도ㅠㅠ 너무 별로였어요
철민이,20,25,4.0,2022.11.02.,5.0,"아까 먹었는데 또 먹고싶어요........우선 1.베이컨크림뇨끼 쬔득하고 부드럽구 따듯하구요 맛있어요.(더 뜨거웠으면 좋겠음. 호호불어먹으면 개마싯을듯...갠적인 소망) 2.찹스테이크 토마토 리조또 ..밥도먹고 고기도 먹고 일석이조입니다. 중간중간 씹히는 버섯도 식감을 다채롭게 채워주고요?! 고기가 약간 불향?도 나면서 감질맛나게 맛있었어요.3.와인에이드 good ,,, 친구랑 둘이가서 인당19000원? 낸듯가성비도 좋구 맛도 더 좋아요!"
ghhghh,13,11,4.6,2022.10.19.,1.0,스테이크 세트 시켰는데 저희가 선택한 시저샐러드에서 키친타올이 3장정도 나왔어욬ㅋㅋ 샐러드 다시 가져가시더니 다음 메뉴 서빙해주실 때도 죄송하다는 말 한 마디 없으시고 “샐러드도 금방 다시 가져다 드릴게요” 하셨습니닼ㅋㅋ 물론 음식값(콜라 포함 6만원)도 다 받으셨고요! ㅎㅎ 최악의 대응이어서 2022년에 쓴 돈 중 가장 아까웠던 돈입니다. 양도 정말 적고 서비스도 엉망입니다. 원래 후기같은 거 진짜 잘 안 쓰는데 여긴 꼭 알려드리고 싶었습니다~
아요런,51,202,4.6,2022.09.12.,5.0,분위기나쁘지않고 맛도 괜춘함!
ㅇㅇ,9,13,3.5,2022.08.30.,4.0,
두팔이,25,101,2.6,2022.08.17.,2.0,뇨끼 맛있다고 해서 먹어봤는데 딱히..... 그냥 한스델리 같은 느낌이에요 학생들이 좋아할 것 같은데 그렇다고 가격은 학생들이 가기에 적당하지 않은..
맛잘알,18,56,3.5,2022.08.15.,5.0,뇨끼가 캐리함
미누가니,30,112,4.0,2022.08.03.,5.0,뇨끼 맛있고 라구 먹었는데 좀 매웠습니다
망나니,13,26,3.8,2022.06.24.,5.0,다른 메뉴는 모르겠고 여기 뇨끼 맛집임
io,30,269,3.8,2022.06.04.,4.0,
미식곰,30,118,3.6,2022.05.25.,3.0,무난
기록,21,111,3.6,2022.05.12.,3.0,3.5 정도무난한데 우리 테이블 빼고 진짜 다 소개팅이었음
Mandarin,13,8,3.0,2022.03.24.,5.0,좀 짜긴 한데 뇨끼가 맛있어용
aa,43,661,3.6,2022.02.23.,5.0,배달임에도 뇨끼를 맛있게 먹었어요 양은 아쉬워요ㅠ
preciousi,12,24,4.1,2022.02.21.,5.0,맛있었어요 아보카도 명란 뭐 그런거랑... 뭔가 먹었는데 기억이 안나네요 근데 맛있었음 이건 확실  그리고 같이간 친구가 사줘서 더 맛있었던거 같습니다 ㅋ
치즈호떡,21,25,5.0,2022.02.04.,5.0,뇨끼 진짜 존맛탱!!체리에이드도 맛있어요( ⁎ ᵕᴗᵕ ⁎ )
맛집내놔,14,40,3.8,2021.12.11.,3.0,무~난~함
동슐랭,51,345,3.6,2021.12.06.,3.0,예상 가능한 맛. 스테이크 맛있음. 새우파스타에 칵테일 새우는 좀 선넘음. 간은 적딩함. 전체적으로 음식 퀄리티와 양에 비해 비싼 편.
푸린,41,234,4.3,2021.10.07.,5.0,존맛탱구리
이재열,4,4,5.0,2021.07.11.,5.0,"진심 뇨끼를 드셔야합니다샐러드는 카프레제, 술 좋아하시면 레페 흑맥주!꿀조합입니다"
은,2,1,5.0,2021.07.03.,5.0,개맛있음
pata,24,56,4.6,2021.05.28.,4.0,둘이서 파스타세트 시켜먹엇는데 양은 적당했던거같구 버섯리조또 버섯향 엄청나용
.,32,92,2.5,2021.04.10.,3.0,플레이팅 예뻐요~스테이크는 맛있었어요~~!!!파스타랑 리조또는 그냥 그랬어요 양이 진짜 너무 적어요 간은 좀 센편인듯?가격 세게 받고 양이 너무 소박;;0.7인분정도 될것같음
후아아라라,24,59,3.2,2021.02.16.,4.0,양이 적긴 합니다. 뇨끼 맛있네요
colde,20,51,3.7,2021.02.08.,5.0,뇨끼 최고
◡̈,11,8,3.9,2021.01.27.,4.0,"파스타가 양이 넘 작아요 조금 아쉽 ㅠ 스테이크는 배부르게 먹었습니다 미듐시켰는데 미듐레어 같았어요 샐러드는 계란이 넘 반숙이라 안익은 흰자가 조금 먹기 그랬어요,, 그치만 직원분들 친절하시고 손님도 많았어요!"
hsh,19,20,4.1,2021.01.25.,5.0,뇨끼랑 스테이크 너무 맛있었음ㅜㅜ 샐러드도 좋았고.. 사람 없을 때 잘 찾아가서 잘 먹고갑니다ㅎㅎ
뚝배기계란찜,11,12,4.5,2020.10.12.,4.0,파스타는 그럭저럭이지만 뇨끼가 지인짜 맛있었어요 크림을 싫어하지만 뇨끼는 진짜 맛있고 직원분 친절하셨어요
레모네이드,11,13,4.1,2020.09.19.,5.0,파스타는 무난무난했는데 뇨끼가 진짜 맛있었어요!!!
기록,10,6,4.8,2020.06.29.,4.0,양 적당. 정통 까르보나라 처음 먹어봣는데 깔끔하고 좋앗음시금치파스타도 크림이 부드럽고 좋다배고픈 상태에서 갔으면 양 부족했을 듯
유출구,18,29,2.8,2020.02.23.,3.0,까르보나라 아보카도 명란 리조또 맛있으나 전체적으로 짜며 양이 내 기준 0.6인분이다
타노스,20,72,4.5,2020.02.12.,5.0,맛있기만 하구만 밑에 둘 뭔 개소린지와이프 생일상 성공적임
호불호,15,43,3.8,2020.01.31.,1.0,친절하시긴 하나 맛이...... 홍대에 맛있는 파스타집 많습니다ㅠㅠㅠ
먹고또먹고,20,37,3.8,2020.01.06.,3.0,버섯크림파스타는 조금 간이아쉬웠어요 .. 밍밍하고 느끼하달까... 샐러드는 가격대비 양이너무 적고 아쉬웠네요 ....
맛 콜렉터,14,22,4.1,2019.09.04.,2.0,삼색파스타는... 왜 스페셜 파스타인지 모르겠을만큼별 맛이 없었어요... 뇨끼는 그냥 괜찮은 정도였습니다많이 배가 고픈 상태에 갔음에도 맛은 좀 실망했습니다
매생이,38,253,3.9,2019.08.25.,5.0,친절하시고 맛있음 ;)
유진형🥔,8,18,4.5,2019.08.17.,4.0,무난합니다. 흔한 파스타 집에서는 안파는 메뉴가 많아요
김유진,4,3,4.0,2019.08.11.,5.0,스테이크도 부드럽고 오늘의 파스타였던 갑오징어 냉파스타도 너무 맛있었어요! 한국 놀러올 때마다 꼭 들리는 곳. 돈 주고 파스타 안 사 먹는 편인데 여기는 꼭 꼭 꼭 먹는 곳이에요
-,13,25,3.0,2018.10.06.,2.0,ㅎ...상수에서 이맛으로 어떻게 살아남았는지 모르겠음.위치는 좋지만 맛이 없음. 들깨파스타 간이 너무 없고 차라리 들깨칼국수 먹고 말겠음. 라자냐....라구 맛도안나고 흑석동 바야흐로에서 먹은 라자냐랑 너무 비교됨
