user_name,user_rank,num_response,user_star,time,rating,content
ㅋㅆㅇ,37,695,3.8,2024.04.21.,5.0,
서현,9,5,3.6,2024.04.07.,4.0,"스테이크청양크림파스타: 맵지 않아서 조금 아쉬웠음 스테이크가 정말. 맛있고 굽기도 딱 적당함. 보통 스테이크 파스타에 나오는 스테이크는 뻑뻑한데 여긴 저어언혀 그렇지 않음. 면도 익은 정도가 아주 좋음. 이미 배부른 상태에서 먹은 건데도 싹 비움,, 감자튀김은 서비스로 주심 사장님, 직원분 모두 친절하시고 밝으심 (식전에 먹을 딸기요거트+부신 비스킷도 주심 시판용 요거트 아니고 수제)"
이근우,5,234,5.0,2024.04.06.,5.0,
JJ,7,5,4.2,2024.03.26.,5.0,분위기 좋고 파스타 진짜 맛있고 그냥 다 맛있고 짱 친절 하셨어요 ❤❤
구름,37,202,3.4,2024.03.13.,4.0,시설은 협소하고 깨끗하지 않지만 음식은 맛있고 사장님께서 매우 친절하십니다.
지후,5,4,5.0,2024.03.09.,5.0,거의 6년된 단골입니다20대 초반에 첫 방문하고 너무 친절하시던 셰프님과 맛있는 음식들에 반해서 그 후로 3년동안 꾸준히 갔었고요 그 이후에는 바빠져서 자주 못가던 집이지만 요새는 시간날때 한 번씩 가곤합니다예전에 계시던 셰프님들에게 서비스도 많이 받았었구요 지금은 일하시던 분들이 다 바뀌어서 아쉽지만맛은 달라진게 없습니다 여전히 좋아요오래오래 장사해주세요❤️
ㅂㅎㅈ,7,7,2.7,2024.03.05.,1.0,다 너무매웠어요... 메뉴판에 🌶 표시 하나 잇길래 약간맵콘 인가햇는데 왕매콤 안매운 메뉴좀 넣어줘요 스테이크말곤 다매움 속쓰려요
김동연,2,2,3.0,2024.02.25.,5.0,
황준서,3,4,4.0,2024.02.22.,5.0,맛있게 먹었습니다ㅎㅎ
llillliil,16,36,3.5,2024.02.22.,4.0,맛 괜찮아요 근데 웨이팅해서 먹을 정도는 아님 주변에 갈 식당 없으면 갈 정도예요. 식당 매우 좁고 테이블 하나밖에 없으니 참고 바랍니다
최저,16,264,4.5,2024.02.20.,1.0,
췡이버섯,10,12,4.3,2024.02.18.,3.0,장소 협소함. 6인 테이블 말고는 ㄴ자 오픈 키친과 마주보는 형식의 1인 자리라 3~4명이 가면 함께 먹기가 애매합니다. 스테이크와 파스타는 맛있었습니다. 그러나 다른 건 몰라도 우삼겹덮밥?은 약재맛같은게 나고 별로... 테이블인지 의자인지.. 좀 찐득?함
또잉,25,113,3.3,2024.02.18.,4.0,양도 많고 맛도 있고 좋았어요ㅎㅎ다만 내부시설이 좀...불편해요~ㅋㅋ
커피바라,21,44,4.3,2024.02.12.,2.0,환기가 전혀안됩니다.갔다왔더니 온몸에 기름냄새 범벅이라 옷을 다 빨았네요;;;맛도 느끼한걸 제대로 잡아주지 못해서 먹기 어려웠음;;;
냠냠굳,8,17,5.0,2024.02.09.,5.0,"살치살스테이크, 스테이크 오일 파스타, 버터갈릭 프라이 맛있어요."
냉철한입맛,43,503,3.7,2024.02.04.,4.0,스테이크 크림 파스타는 괜찮았고 오일 파스타는 평범했어요. 오일 파스타는 기름이 너무 많아서 좀 느끼했어요. 우삼겸덮밥은 파김치 같은 소스랑 같이 나오는데 컨셉이 애매했습니다.맛은 그럭저럭 괜찮은데 자리가 협소하고 환기가 잘 안 되어서 별로였습니다.
rebound,16,44,3.4,2024.02.03.,5.0,맛있어요! 추천합니다~자리가 협소한거 빼고는 모든게 만족스러워요
파란엘모,16,17,4.1,2024.02.02.,3.0,맛이 괜찮습니다 다만 고기는 좀 수분없는 느낌이에요바 테이블은 비추합니다 자리 없어서 앉았는데 겉옷에 소스 날라와서 세탁 맡겼어요
.,19,60,4.1,2024.01.29.,5.0,음 맛있다~
신지연,4,2,3.5,2024.01.28.,2.0,"2년전에 방문했을때와 맛이 매우 달랐습니다. 그때는 바 형식에 손님이 조리하는 모습을 볼 수 있는 구조였는데 그것도 바뀌었고, 맛도 레시피만 비슷하지 그때의 감동은 아니네요 쉐프님이 바뀌셨는지..2년전에 가지요리 서비스로 주셨었는데, 야채 안먹는 제가 그걸 먹고 충격받었던 기억으로 오랜만에 재방문했는데 전반적으로 매우 달라졌습니다(굽기정도, 고기사용부위 등)그래도 하나 안 바뀐점은 식전에 주는 고기장국은 그대로더군요 그게 제일 맛있었습니다ㅎ"
DeltaLaboratory,5,2,3.5,2024.01.25.,5.0,
오소리,10,16,3.9,2024.01.24.,5.0,
temp,5,2,5.0,2024.01.20.,5.0,*중요* 입구가 비닐로 둘러져있는데 그거 걷고 문 열면 식당 있어요!!!살치살 스테이크 250g에 26000원이라니 갓성비 너무 좋고 무엇보다도 맛이 좋아요!서비스도 주시고 엄청 친절하셨고 버터갈릭 프라이 청년다방꺼보다 훨씬 맛있으니 꼭 드셔보세용종종 올거에요!
남현우,4,3,4.0,2024.01.20.,5.0,짱 맛도리.
미키,29,136,3.1,2024.01.20.,4.0,맛은 맛있어요 근데 가게가 너무 협소하고 수제피클이 없음
겹살이어터,38,162,3.7,2024.01.06.,5.0,포만감 짱 우겹살덮밥 개 맛있다1점 = 배가 고파도 안먹는다 진짜 별루다2점 = 배가 안고플정도만 먹고 더는 먹기 싫다 3점 = 배가 찰 정도만 먹고 더는 먹을 가치는 없다4점 = 배 부르게 먹었지만 과식할 정도는 아니다5점 = 너무 맛있어서 과식해 버렸다!!!!
김영범,3,1,5.0,2023.12.27.,5.0,홍대에 이렇게 맛있는 파스타집이 있다니 너무 감동이에요••• 집 앞리면 정말 맨날 오고 싶어요스테이크랑 파스타랑 다 넘 맛있는데 우삼겹덮밥이 진짜 안먹어본 특별한 맛이에요 고기랑 바삭한 튀김가루같은거랑 갓김치?같은거랑 같이 나오는데 정말 완벽한 조화...꽃 들고 왔는데 기념일이냐고 물어보시고 축하해주시고 버터갈릭감튀도 서비스로 주셨어요🥹또 오고 싶어요!!!!!
주바링,44,211,3.9,2023.12.26.,4.0,사장님 너무 친절하시고 맛있우요 !!
마뇽,18,22,4.4,2023.12.18.,5.0,진짜 이 가격에 이런 맛이 난다니.. 너무 싼 거 아니냐는 말만 5번 했어요 서비스로 감튀도 주시고 또 가고싶어요 ㅜㅜ 스테이크 너무 부드럽고 파스타도 진짜 맛나요.. 메뉴가 스테이크랑 파스타라 레스토랑인줄 알았는데 매장 분위기가 다소 어둡고 일식집같아요! 색다르고 좋았어요 ~~
강릉,8,22,4.6,2023.12.12.,5.0,
신비,2,2,5.0,2023.12.05.,5.0,
맛집을찾아나선냥이,30,82,4.6,2023.12.03.,5.0,"2023.12.02 낮타임 방문안에 사람이 꽉꽉 차있어서 놀란 곳이다. 생각보다 유명한 곳인듯스테이크랑 로제 파스타 시켰는데, 로제 파스타는 살짝 아쉬웠고 스테이크는 맛있었음. 이 가격 대비 이정도 퀄이면 꽤 좋은 식당이라고 생각이 듬"
나띠,4,8,4.4,2023.11.27.,5.0,
.,3,31,4.6,2023.11.25.,5.0,
워니,4,2,5.0,2023.11.23.,5.0,"으악 ㅠㅠㅠㅠ진짜 너무너무 맛있었어요!!!! 홍대 갈때마다 가고싶은집 🥹사진은 없지만 에피타이저로 나온 홍시빙수(?)랑서비스로 주신 나쵸까지,, ㅠㅠ 인스타광고 맛집으로 넘쳐나는 홍대에서 한줄기 빛 같은 찐맛집을 찾았습니다 행벅"
ㅇㄴ,17,71,3.7,2023.11.22.,5.0,크림파스타 무난했어요
와압,25,48,3.5,2023.11.14.,2.0,대를 너무 많이 했나봐요..그저 그랬는데 평이 너무 좋아서 다시 방문해서 다른 메뉴도 먹어보고 싶네요
김보란,6,9,4.7,2023.11.11.,5.0,맛있는곳이네요 친절하시고 ㅋㅋ 웨이팅있지만 빠른 회전율에 오래 기다리진 않습니다 번창하세요!
김,8,11,4.0,2023.10.02.,5.0,크림파스타 넘 맛있었어요.. 7개월 지났는데 갑자기 생각나서 다시 가려구요
캬캬,27,55,4.6,2023.09.14.,4.0,크림은 진짜 맛있었는데 로제는 평범해요크림먹으러 다시가고싶음갈때마다 서비스주셔서 넘좋습니다자리가 좁긴하지만 친절하셔요
월이,12,17,4.4,2023.09.09.,5.0,"예전에 홍대 재학중이던 친구가 추천해준 맛집이었어요. 그때 두어번 갔다가몇 년 만에 갔는데 여전히 너무 친절하셔서 덕분에 행복한 식사였어요!엄청나게 맛있거나 독특한 음식은 아니지만, 오일파스타도 스테이크도 기분좋을정도로 맛있고 배부르게 식사할 수 있어요. 가성비도 좋아요"
