user_name,user_rank,num_response,user_star,time,rating,content
치리오스,20,34,3.7,2024.02.26.,1.0,으아 직원 이슈가 있으면 가지말껄 주말 윗층 직원 여자분 진짜 .. 불친절해요 방탈출하고 마지막에 그냥 똑똑하고 무작정 들어오고.. 놀라니까.. 무슨 절레 쳐다보듯이 보고.. 아니여기 방탈출이라고요 ㅠㅠ .. 뭐가 그렇게 급해서 방 움직일때마다 바로 들어와서 치우세요..? 10분도 넘게 빨리 탈출했는데 ㅠㅠ 지하2층 직원분이 그나마 친절 ㅠㅠ .. 방탈출 가본 곳 중에 젤 불친절했어요
Ian,2,1,1.0,2024.02.25.,1.0,누런염색 장발머리에 좀 많이 건강? 뚱뚱?하신 여알바 오후 3시쯤이었는데 혹시 알바전 식사를 못하셨던건지 정말 괄목할 정도로 불친절+예민하세요… 다른 알바님들은 친절하게 응대해주셔서 너무 감사했어요 ㅎㅎ… 인생 첫 방탈출이 그분 덕분에 잊지못할? 경험이 되었네요! 여러모로 많이 노력?하셔야 할 것 같던데 부디 애라도 좀 쓰시길 바랄게요 :) 응원합니다 아자아자 파이팅! ☺️
주민,11,12,4.1,2024.02.19.,3.0,"방탈출 자체는 나쁘지않았는데 처음에 남직원분이 배경 설명을 너무 랩처럼 빠르게 해주셔서 뭐지 싶었어요 매번 같은 말 반복하는게 귀찮은 건 알겠는데 그러면 차라리 영상물을 녹화해 틀어주시든가,,, 저희가 시간 늦은것도 아니고 돈 내고 하는거 잖아요,, 좀 신경써주셨으면 좋겠습니다"
눕시,5,3,3.7,2024.02.12.,1.0,손전등 함부로 사용하지 마세요^^직원이 극대노 함 ㅋ일요일 22:30 방문.손전등 사용하라는 안내 받았고방이 어두워 손전등을 꺼내자소리가 나서 콜 했더니 화내면서 들어오더라구요?이거 쓰시면 안된다고 하면서 어떻게 뽑혔지?라고 하는데매우 손쉽게 뽑힘.. 사용하지 말라는 문구도 없음.그리고 무엇보다 제가 물건 파손한 것도 아니고그렇게까지 화내실 일은 아니잖아요?원래 방탈출 할 때 손전등 사용하려고도 안 해봤고굳이 언급하셔서 쓰려고 했던건데씩씩대면서 화내고 들어오길래5분정도 남은 시간은 문제 풀지도 못함바로 밑 후기에도 나와있네요..ㅋㅋ같은 직원인지 몰라도금발에 앞머리 있고 머리 긴 통통하신 직원분..막차 시간 빠듯하고 화장실 급해서 나왔는데같은 분이라면 엄청 싸웠겠네요 ㅋ
놀먹,31,99,3.0,2023.11.25.,1.0,"긴머리에 앞머리 있으신 분 일하기 싫으면 하지 마시길이거 어떻게 하는 거냐 물어봤는데 쒹쒹거리면서 가더니 이거 보고 푸는 거라고 함 열리는 소리도 안 났고 우리가 그쪽은 아예 보지도 않아서 언제 열렸냐고 어리둥절해하니까 ""아까 손님이 만지고 이 지문지 뒤집어놨잖아요"" 함 저희는 그 쪽으로 간 적이 없는데요 하니까 아까 손님이 만졌잖아요 하고 어이없어함 그 쪽으로 간 적이 없는데 귀신을 본 게 아닌가 싶을 정도. 왜 짜증을 내고 그러세요? 하니까 갑자기 손님이 먼저 짜증냈다고 소리침. 네? 제가 언제요? 하니까 확인전화할 때부터 지금 가고 있어요 하면서 기분 나쁘게 말하고 자기 말에 대답도 안하고 끊어버렸고 모르는거 물어볼 때도 기분 나쁘게 말했다 함 저희가 언제 그랬냐하니 바로 손님이 지금 그렇게 말씀하셨다면서 혼자 소리지름 전화 받을 때도 시작 시간보다 늦어서 뛰어 가느라 지금 가고 있다고 한 거고 분명 직원 대답 받고 끊었음 평생 이렇게 말하면서 살아왔는데 기분 나쁘게 말한다는 소리를 그 때 처음 들었음 그렇게 전방위로 짜증내더니 다시 직업 정신이 돌아오셨는지 이 지문지로 입력하면 된다하고 우리가 좀 생각하면서 풀려고 지문지를 보고 있었는데 갑자기 한숨을 쉬더니 ""제가 알려드릴게요"" 하면서 알려달라한 적도 없는데 혼자 과정이랑 정답 알려줌 그게 마지막 문제라면서 스토리 설명도 안해줬는데 나가라 함짐 챙겨서 카운터로 가니 갑자기 직원이 사과함 모르셔서 그럴 수 있지만 자꾸 호출하시고 손님이 먼저 기분 나쁘게 해서 자기가 그렇게 한 건데 어쨌든 기분 나빴으면 자기가 잘못한거라며 사과함 웃긴건 직원 호출 3번밖에 안했음 그것도 푸는 순서가 어떻게 되는지 몰라서 물어본 것. 후기 얘기하지도 않았는데 뜬금없이 후기는 남기셔도 된다며 똑같은 영혼 없는 기싸움 사과만 계속 반복함안 그래도 풀길 테마라 좀 그랬는데 기분 더 망침 비트포비아 홍대던전 지점 자체가 싫어질 정도여기서 플레이 할거면 확인전화 받을 때 착하고 예의바르게 말해야함 확인전화 끊을 때 그냥 끊으면 절대 안됨 직원이 기분 나빠함  대답 확실하게 네하고 대답하고 끊어야함 네하고 대답하고 끊어도 직원이 못 들어서 기분 나쁠 수 있으니 직원이 먼저 끊을 때가지 기다려야함직원한테 모르는 문제 물어보는것도 되도록이면 하지 말아야함 직원이 불쾌해함 만약 어쩔 수 없이 물어볼때는 호출에서 죄송하다고 한 담에 사근사근 공손하게 물어봐야함"
큭큭큭,5,12,3.1,2023.09.02.,1.0,여알바생들은 친절하고 엄청 바쁘게 뛰어다니는데 남알바 눈빛부터 이상하고 기분나쁨 전체적으로 별로
진짜맛집만리뷰,10,11,4.6,2023.08.05.,5.0,꿈의 공장/저택의 비밀 두개 해본 사람으로 미리 예약하고 들가면 좋음 다른 방탈출들에 비해 활동성이 매우 높은편!!
ㅋ   ㅋ ㅋ,14,31,3.5,2023.08.01.,4.0,초본데 당일예약 급하게 잡아서 난이도 높은걸 선택해서 아쉬웠음ㅜ 생각보다 방 공간이 넓고 재밌었음
이정은,5,5,4.8,2023.07.12.,5.0,
따봉도치야고마워,25,88,3.7,2023.03.09.,4.0,방탈출테마는 재밌는데 바깥 시설이 조금 불편해요
