user_name,user_rank,num_response,user_star,time,rating,content
류하은,17,27,4.1,2024.03.04.,5.0,"프토찾아 삼만리,, 내 정착지는 이곳,,분위기는 덤,"
🎈,41,182,4.1,2024.03.03.,4.0,사람이 늘 붐비는데 책읽고 작업하기 좋게 조성된 카페
vyjey,5,13,4.4,2024.02.26.,5.0,아주 감성맛집
D,22,68,4.3,2024.02.07.,4.0,사람이 항상 많음
df,9,6,2.0,2024.02.02.,5.0,
까탈이,8,18,4.2,2024.01.30.,5.0,토스트 존마탱스욤
FU,10,16,3.2,2024.01.21.,5.0,
mon9,13,12,3.8,2024.01.16.,3.0,프렌치토스트 맛집이에요! 극강의 달달함이지만 커피와 먹으면 조화로워요분위기가 아늑하고 너무 밝지 않고 좋아요아쉬운 점은 메뉴가 너무 늦게 나오고 커피맛은 그냥그런데 비싸다는 점이에요
휸,11,33,3.2,2023.12.18.,5.0,프렌치토스트 맛집이에요••😍😍😍
,2,65,4.4,2023.12.09.,4.0,
구반포,27,62,3.4,2023.11.17.,4.0,속까지 촉촉한 프렌치 토스트. 커피는 기억에 남는맛은 아니다. 친절. 조용한 공간인데 다소 과하게 큰 음량과 선곡이 조금 아쉬움.
코알라,29,98,4.1,2023.10.15.,3.0,10년전 비하인드가 그리워요.. 예전 프렌치토스트에는 딸기 바나나등 메뉴가 많았는데 지금은 메뉴가 너무 단조로워졌달까 디카페인커피도 너무 산미가 강해요
그린그린,70,772,4.2,2023.09.18.,4.0,내 기억에 합정에 이렇게 오랫동안 있어준 카페가 있던가. 분위기 여전 :)
홓수켠/감자,2,2,4.5,2023.08.21.,5.0,
이수빈,14,12,4.2,2023.08.17.,5.0,프렌치 토스트 맛집 커피는 산미 없는 편이고 로스팅 나쁘지 않음가게가 넓진 않고 노래소리가 큰편이라 수다떨거나 책읽긴 애매하고 노트북들고와서 작업하긴 좋은 큰 테이블 있어요토스트만 먹을 순 없어서 음료 같이 시켜야 하는게 살짝 아쉽지만 보통은 커피마시러 오실테니까 문제는 안될듯근처에 오면 다시 올 의사 있습니다
김존버,10,11,3.4,2023.08.15.,5.0,
김지연,16,775,4.3,2023.07.25.,5.0,
