user_name,user_rank,num_response,user_star,time,rating,content
한,46,300,3.5,2024.04.10.,5.0,까르보나라 맛있어요 면익힘도 좋고버섯피자가 의외로 핵맛탱 따야린도 맛있었어요
뿅,26,115,3.7,2024.01.28.,5.0,버섯향과 생면식감이 입맛에만 맞다면 최고의 장소일듯?? 향신료 싫어하고 무난한 입맛이라면 이건 대체 뭘까… 할수도 있음 개인적으로는 극호
탐험가,10,19,4.1,2024.01.13.,4.0,"그래도 울나라에서 이런 트러플 피자, 이탈리아 피자/와인 전문점은 계속 있었으면. 흥망성쇄 거듭하는 홍대에서 오래 자리 지켜주고 있는 곳"
-,6,13,4.5,2023.11.24.,5.0,
내돈내산솔직후기,8,4,3.0,2023.11.12.,4.0,"알바산 화이트 트러플을 사용한 피자와 파스타를 맛볼 수 있는 곳입니다.예약 손님을 우선으로 받는 곳이라 전화 예약 후 방문을 추천드려요.방문 전 워낙 불친절하다는 후기가 많아 조금 불안했습니다만, 제가 방문했을 때는 걱정이 무색하게도 친절하셨습니다.화이트 트러플 향이 굉장히 진한데 과하게 오일리하지 않아서 끝까지 맛있게 먹을 수 있었어요.충분히 만족스러운 경험으로 남아서 빠넬로의 다른 메뉴들도 궁금해졌기에 꼭 재방문하고 싶습니다.가격에 변동사항이 존재하나 아직 반영되지 않은 것 같아 메뉴판도 함께 첨부합니다."
😊,21,74,4.6,2023.09.18.,5.0,피자맛집
j2,12,11,3.5,2023.09.02.,5.0,"너무너무 맛있게 먹구 왔어요! 웨이팅 30분 정도 하고 입장했는데 이 맛이라면 한시간도 기다릴수있어요 (재료들이 너무 좋음!!)부라타 피자: 프로슈토와 루꼴라 그리고 부라타와 방울 토마토 조합이 정말 좋았어요!! 도우도 완벽한 쫀득함과 짭잘함이라서 끝부분까지 오랜만에 다 먹었어요!생면 라구 파스타: 완벽. 보통 넓고 두꺼운면을 선호해서 얇은걸 봤을때 살짝 실망 할뻔했지만 소스가 너무 잘 배여있고, 토마토의 시큼함도 없고, 묵직한 그 정석 라구 맛을 찾고있었는데 여기 있었네요! 재방문의사 200%입니당! 서버분들도 친절하셨어요 :))"
콩정,32,72,4.3,2023.07.29.,5.0,빠 갈난 가성비넬 거야 돈로 온나 맛있으니까
enduring,27,77,3.8,2023.07.26.,5.0,피자/트러플 따야린은 진짜 레잔도입니다…다만 까르보나라는 관찰레? 때문인지는 몰라도 너무 짰어요… ^.ㅜ
입맛까다로운쩝쩝박사의정직한리뷰,22,57,3.3,2023.07.17.,1.0,"1. 전체적으로 너무 짜요(피자 한 입 먹고 소스가 넘 짜서 충격)2. 트러플오일이 너무 많이 들어가는 것 같아요 정말 느끼해요3. 재료 본연의 맛이 안 느껴짐4. 이 정도 가격에 이 퀄리티?,,5. 서비스도 별로6. 대체 왜 평이 좋은 지 모르겠음"
김명중,5,1,4.0,2023.06.15.,4.0,"피자, 스테이크는 정말 추천드림파스타는 건면에 정통느낌이라 호불호 심하게 갈릴수 있음개인적으론 파스타는 불호"
WZ,31,121,3.8,2023.06.12.,5.0,2호선 타고 갈 수 있는 이탈리아다만 빠넬로 몇 번 아끼면 티켓값나옴...ㅜ
tall165cm,68,688,4.4,2023.06.09.,5.0,비주얼이 좋은대신 약간의 번거로움은 있지만 피자가 이렇게 맛있을일? 국내에서 보기 어려운 많은 이태리와인리스트도 가지고 있다.
Base,4,2,4.0,2023.05.21.,3.0,좀 짜고 엄청맛있는 맛은 아니네요
맛선생,25,47,4.0,2023.05.02.,4.0,"정말 맛있게 먹었습니다! 파스타, 피자 모두 훌륭했어요. 와인도 퍼팩트! 다만 가격이 조금 높았는데, 제 생각엔 파스타하고 피자 가격 4~5천원만 내리시면 완전 퍼팩트일 것 같아요. 여기 강추!"
피자,17,48,4.6,2023.04.07.,5.0,어나더레벨 ㅠㅠㅠ 너무 맛있어요
별점조작은말없이1점,57,475,2.9,2023.03.05.,3.0,솔직히 가격표 잘못본줄알았음. 파스타도 3.2 피자는 3.5 근데 피자자체는 도우가 쫀득하고 잘구워져서 그나마 좀 나음. 양은 근데 혼자도 다 먹을수준인듯... 파스타는 이탈리아 방식고수한거 알고 갔는데도 생각보다 거의 안익은 생면에 가까웠음 소스자체는 나쁘지않았는데 이 가격에 이 퀼은 딱히 다시 오진 않을 거 같음.....
후루,11,20,4.0,2023.03.04.,5.0,명불허전
임이지,6,7,4.1,2023.02.09.,5.0,도우 짱! 와인이랑 스테이크 먹기도 좋았어용
꿀,43,202,4.0,2023.01.20.,4.0,늘 기본이상은 함!! 피자는 물론 파스타도 잘한다! 가끔 도우 컨디션이 별로일때 빼고는..
cercle,35,645,3.6,2023.01.19.,4.0,가족들과 함께 갔는데 모두가 만족스러운 식사였습니다.
sy,11,26,3.5,2022.12.18.,2.0,가격대비 특별한 점을 못찾겠음 음식도 쏘쏘..
🥸김주사🥸,35,135,3.4,2022.12.10.,3.0,피자는 정통피자인거 같고 트러플파스타는 맛있다밀가루와 소금의 조화
.,11,9,3.7,2022.09.14.,5.0,와!!!!! 여기 진짜 찐짜 찐맛있어요 피자 제가 먹어본 피자중에 베스트ㅠㅠㅠ 생일때 또 갈거에요 ㅠㅡㅠ 죤맛
리링,55,598,3.7,2022.09.14.,4.0,
jsy,7,9,2.3,2022.09.05.,1.0,피자는 괜찮으나 다른게 맛이 없음...공간 협소해서 시끄러움. 너무 바쁘고 정신없는 곳이다 보니 종업원들이 친절하지 않음. 두번 갈 곳은 아닌듯
화요,24,90,3.3,2022.09.01.,4.0,토마토의 감칠맛과 치즈의 신선한 맛이 잘느껴졌다 도우도 쫄깃하고 기본기가 탄탄한 피자집
wand6,31,139,3.5,2022.06.25.,4.0,합정에 오면 생각나는 피자집파스타도 괜찮지만 피자가 참 맛있어요 예약 필수 혹은 워크인은 웨이팅 필수
좋았던곳만,9,16,5.0,2022.05.28.,5.0,부라타피자 재료 신선하고 너무 맛있음 약간 간간하지만 또 먹고싶고보따르가? 숭어알 간 파스타 건면이라 약간 취향은 아니지만 맛있음
승쨔,21,23,3.2,2022.05.07.,3.0,피자랑 뭐 버섯파스타?랑 까르보나라 먹었는데용 어어.. 뭐 까르보나라는 크림안들어간 이탈리안 정통식인건 인지하고 시키긴했는데 뭐 무튼 시켰던 모든 파스타가 별루.. 보니깐 뭐 이탈리아에서 인증받았다 어쩌구 써있길래 그럼 내입맛이 지극히 한국인인건가 이태리는 원래 이렇게 먹는건가 알 수 없었던 가게? 그냥 피자도 보통? 엄청 배고픈상태로갔는데 배고픈상태로 돌아갔습니당.. 예..
개미님,38,200,4.4,2022.03.18.,5.0,피자는 정말 어나더 레벨.. 신선한 부라타 치즈와 입맛 돋구는 프로슈토와 루꼴라 조화가 진짜 기절 ㅠㅠㅠㅠㅠ 파스타는 피자보단 감동까지는 아니었지만!! 피자 먹으러 또 갈래용 ㅠㅠㅠ
lee,12,15,4.9,2022.02.20.,5.0,부라따피자 아마트리치아나 맛있어요
SH,22,46,3.8,2022.02.12.,3.0,"맛은 있고, 개성있는 요리는 좋으나 가성비측면에서는 별로네요, 샐러드라고는 카프레제뿐이고.. 와인 하지 않을 것이라면 다른데로 추천드립니다-"
소마의식극,37,176,4.2,2022.01.26.,4.0,아쉬운건 직원분들이 대체적으로 조금 불친절
JY,16,23,4.1,2022.01.20.,4.0,
먹어보고판단해,21,35,3.6,2021.11.26.,4.0,3.5점! 맛있어요
ㅡ,9,7,4.7,2021.11.08.,4.0,오리지널 까르보나라 좋아해서 많이 먹으러 다녔는데 가격 대비해서는 평범하지 않나 싶네요 감베리는 넘 맛있어요
츄파,11,123,4.5,2021.10.20.,5.0,
배승연,7,70,4.9,2021.10.15.,5.0,
