user_name,user_rank,num_response,user_star,time,rating,content
A,2,1,5.0,2024.04.24.,5.0,Make a reservation to have drinks and take photos upstairs with the plushie wall and themed rooms! My lychee strawberry soda was so good!
kh0426,4,2,4.0,2024.04.17.,3.0,아이들이 너무 좋아해서 서울갈때마다 예약하는곳이예요 직원분들만 좀 친절했으면
cmd,16,27,2.1,2024.03.17.,1.0,진짜 굿즈 계산대쪽에 있는 직원들 너무 불친절함뭐 물어봐도 손님한테 혼내듯이 말하고 말투 엄청 띠껍게 하고 빤히 쳐다봄 기분좋게 사러 들어가서 항상 기분 안좋게 나옴
임선재,3,4,4.0,2024.03.01.,5.0,
야옹,32,87,4.7,2024.02.28.,5.0,공간은 너무 좋았으나 카페 이용시간이 너무 타이트한데 카페 주문 수령은 느려서 실제 음료 마시고 하는 건 겨우 2-30분... 허허 애들 사진찍으러 가세요...
클라렌스,23,100,4.1,2024.02.13.,3.0,딸이 너무 좋아해요날이 따뜻하면 1층 테라스 이용도 가능할것 같아요
뿌엥뿌엥,44,246,3.9,2024.01.27.,4.0,"아이가 너무 좋아해서 예약해서 갈만 하네요. 음료랑 빵 가격이 사악하지만 맛은 있었어요^^기념품가게는 예쁜게 가득했지만 너무 비싸서 허거걱... 포토카드 3000원 인생네컷 5천원 등 요건 시중이랑 비슷했구요, 캐릭터 좋아해서 가는 카페라 추억 쌓기 좋았어요빵 7500원버블라떼 7000원"
..,20,43,3.0,2024.01.22.,3.0,아이들에 이끌려서 가는 곳.. 2층 예약이라지만 딱히.. 산리오 왕팬이라면 한번쯤 가 볼만한 곳!
리커버리,69,"2,910",4.2,2024.01.17.,5.0,러블리한 공간이네요~~ 기념품 가격은 좀 사악함.
도당,18,25,4.0,2023.12.30.,5.0,❤️❤️
M,4,5,4.2,2023.12.27.,1.0,not worth it. workers were not even organized and not friendly.  you need a reservation from their insta page. drinks are overly priced and taste like syrup.
ㅎㅎ,14,24,4.6,2023.12.12.,5.0,나의 월급 털이범하지만 구매에 후회는 없따!
선정,4,3,5.0,2023.12.05.,5.0,흑흑 존귀 존재미... 카페 예약 못해서 못간 것이 천추의 한.........
소소,3,5,2.6,2023.12.04.,1.0,
John,11,35,2.2,2023.12.04.,1.0,Overrated.
희진♥,2,1,5.0,2023.11.24.,5.0,
Answer of GOD,5,16,4.6,2023.11.16.,4.0,
오의수,3,2,5.0,2023.09.17.,5.0,애들이 너무 좋아하고 예약은 못했지만 그래도 밖에서 앉아서 쉴 수 있어 좋았어요
