user_name,user_rank,num_response,user_star,time,rating,content
WG,10,25,4.0,2024.04.15.,4.0,"국내 전통주류 맛보기 좋음, 안주류도 맛있음"
꽃곰,28,65,4.6,2024.03.30.,5.0,여기 진짜 맛있어요!진짜 안주 퀄리티도 좋고 술도 다양하게 즐길 수 있어요!웨이팅이 진짜 길긴한데... 너무 맛있어서 괜찮아유...
요리술,15,18,4.4,2024.02.12.,5.0,안주류의 퀄리티 굉장히 훌륭하고그에 페어링할 술을 추천받기도 좋음가격이 다소 아쉽지만 음식이나 술 받고나면 납득이감
.,14,22,3.9,2024.02.04.,4.0,술 종류가 많아요. 막걸리 맛있었습니다. 안주는 비싸요. 하지만 맛은 있었습니다.
My,21,29,3.3,2024.01.11.,5.0,여길 왜 이제야 알게 되었을까~ 요즘 홍대 근처 가게되면 무조건 여기로~ 친절하고 안주가 다 맛있다~ 술 고르는 재미도 있다~ 분위기도 타임머신 탄 기분이다~
나주원,2,26,5.0,2023.12.17.,5.0,
김대충,33,107,3.7,2023.12.13.,4.0,술 종류가 준내 많은 민속주점. 안주 가격이 상당히 세서 여기서 안주로 배를 채우려 하다가는 지갑이 다 거덜나게 될 것임. 맛있는 술을 다양하게 홀짝홀짝 먹는다는 느낌으로 가셔야 함.
Nastia,4,16,4.7,2023.11.07.,3.0,
ho.,19,96,3.5,2023.11.04.,2.0,영업 정책을 바꿔야 할 듯. 두명이 안주 세 개 이상 시켜야 한다니.. 임대료가 비싸겠지만 다시 오긴 어려울 듯!
모냐농가,12,29,4.0,2023.10.20.,1.0,후기들 다 조작인듯. 일단(비싸고 지저분하고 맛없고).. 맛없는데 양도 엄청 적어요 ㅎ 추천할 이유가 없습니다. 소주 7천원부터~ 주말은 2시간만 이용가능
커피콩빵,5,53,4.1,2023.10.11.,4.0,
Lee  GeonMing,13,27,3.4,2023.10.06.,4.0,맛있으나 옛날에 비해 가격이 많이 쎄졌네요 아쉽
Bona Kim,37,195,4.3,2023.09.29.,4.0,민속주점 컨셉인데 음악은 20년 전쯤의 감성 ㅎ예약은 어플로가능하고 예약비있지만 노쇼아님돌려주고 ㅡ주차장없어서 공영주차장에 유료로 ㅎ
치즈토끼,33,259,4.4,2023.08.24.,4.0,안주 맛있고 술 종류 많아서 좋습니다!자리는 별로 없는 것 같아요
나야나,38,167,3.8,2023.08.11.,5.0,일요일 낮술타임 가성비 진짜 좋아요 술종류많아서 안주주문 까다로워도 재방문의사있어요
고양이,44,304,4.2,2023.08.09.,4.0,"가격은 좀 센 편이다옹. 사진은 육사시미, 두부김치, 된장맥적이다옹. 다양한 막걸리를 즐길 수 있다옹."
진심,28,77,3.7,2023.07.23.,3.0,술 종류가 다양하고 전통주 마시기엔 아주 좋은 곳이지만 안주에 있어서는 가성비가 딸립니다분위기는 좋아요
5자리뷰어,22,97,4.6,2023.06.05.,4.0,안주맛있음
애플민트,34,303,4.7,2023.05.22.,5.0,전통주와 더불어 한잔 하기 좋은 곳
이열칠석,11,104,3.7,2023.05.05.,4.0,
깨비짱,58,568,4.4,2023.04.22.,4.0,안주도 다 맛있었고 술 종류가 엄청 많아서 골라먹는 재미가 좋았어요~
내인생딩동댕,28,54,3.6,2023.03.26.,5.0,"🍽 손 두부김치(대)🍻 석장리꿀술 + 도원결의 + 토닉워터👥️ 3인✔️ 기본 안주가 특이하게 해조류 무침인데 시큼하고 쫄깃해서 당기는 맛이다. 리필 가능함✔️ 손 두부김치의 두부는 속이 꽉 차 탄탄해서 그냥 먹어도 맛있었고 고기와 대파, 양파 등을 함께 볶은 김치는 정말 최고였음✔️ 석장리꿀술은 과하게 달지 않은데 꿀맛이 나서 맛있음✔️ 도원결의는 짙은 복숭아향과는 다르게 맛은 밍밍해서 토닉워터 섞어서 마셨음✔️ 웨이팅이 엄청나기 때문에 어플로 미리 자리를 잡거나 하는 걸 추천"
뇽,8,15,4.1,2023.03.21.,4.0,싼 편은 아닌데 먹을만해요 술 종류도 많고 제가 갔을 땐 알바생분도 친절했어요 술집 화장실 치고 깔끔해요
음음,50,948,3.1,2023.03.08.,2.0,"모든 게 비싼 곳. 그렇다고 가격을 넘어서는 맛을 지니지도 않아서. 굳이 먹어야 한다면 치즈감자전을 추천하나, 이 또한 비싸게 느껴진다."
^_______^,13,20,4.1,2023.02.08.,4.0,이정도의 다양한 술을 접할수 있는 술집은 흔치않다. 비용만 보자면 자주오긴 그렇지만 전통주가 땡길땐 맘잡고 올만하다.
방문객,15,221,3.3,2023.02.07.,2.0,
WW,24,92,3.6,2023.01.16.,3.0,
맛있는거만좋아함,61,319,3.8,2022.12.22.,4.0,곱창전골이랑 돼지수비드 미쳤습ㄴ다 너무맛닜어요다만 너무 비싸고 정신이 좀 없습니다ㅜㅜ시끄러워요
