user_name,user_rank,num_response,user_star,time,rating,content
KRIEGER,1,8,4.1,2024.01.23.,5.0,
ㅎㅅㅎ,10,16,3.9,2023.09.18.,3.0,"알바생.. 들어갔는데 자리가 너무 더워서 에어컨 근처로 가서 주문했음 (각 테이블에 붙어있는 큐알 찍어서 주문하는 방식) 옮긴 테이블에서 큐알 찍고 주문 분명 함. 근데 알바생이 음식 갖다주면서 지금부터는 테이블 번호 맞게 주문하라고 인상쓰며 말하고 감. 다른 알바생한테 지금 테이블 번호 다르게 주문들어가고 있냐고 물어보니, 알맞게 들어갔다고 함. 뭐지? ㅋㅋㅋㅋ 그리고 오뎅국 먹는데 조리할때 들어간건지 매장안에 잇던게 들어간건지 엄지손톱만한 날벌레 들어가 있었음 구에에엑"
창오오오,3,2,1.0,2023.09.15.,1.0,직원 교육 좀 잘 시켜야할 것 같아요 팔에 문신 많은 직원분은 일을 하기 싫은건지 술 툭툭 주고 가네요 손님 성별 차별하는 것도 아니고.. 분위기는 좋아요
맛집싹슬이,14,18,4.2,2023.08.28.,5.0,헌팅술집인데 맛이 있다니 헌팅술집인가 밥집인가?
비비안,11,7,1.1,2023.07.28.,1.0,금요일 오후 9시에 일하시는 남성 알바분은 손님을 쫓아내시네욬ㅋㅋㅋㅋ 왜 들어왔냐니요.. 술 마시러 왔죠.. 덕분에 걍 나갔습니다~
ㄱ.종호,2,10,5.0,2023.07.22.,5.0,
뮤,12,21,3.0,2023.06.28.,2.0,노래를 너무 크게틀어서 대화가 안됨
이름무무,8,9,3.2,2023.06.23.,1.0,속쌍에 눈 약간 큰 30-40대 입구 지키는 아저씨 때문에 안 가요 ㅜ ㅜ 절대 …. 가지마세요… 돈 시간 다 아까워요ㅠㅠ 기분만 나빠
HighRookie,6,11,2.1,2023.06.05.,5.0,내 에어팟이 태아난 곳
J,31,157,4.1,2023.05.24.,3.0,괜춘함. 근데 단점이 좀 많이 시끄러움
김지광,2,2,3.0,2023.05.06.,5.0,
박병근,4,5,4.2,2023.05.05.,5.0,멋있게 잘 먹고 갑니다
술,11,17,1.0,2023.04.16.,1.0,♪♪♪♪고 ♬♩♪ 맛없음
loxrd21,49,"1,510",3.2,2022.11.02.,2.0,
독장파,3,4,5.0,2022.10.26.,5.0,완전 맛있고 좋아요!
쨍하고해뜰날,42,622,4.5,2022.09.04.,4.0,아름다운 음악에 몸을 맡기면 됩니다.
이준하,18,30,3.3,2022.08.31.,1.0,양아치 쓰레기 종업원이 실재하다 못해 넘쳐나는 곳아 신분증좀ㅇ~ 마스크좀ㅇ~말 애매하게 자르는건 기본이고 질문응대도 아싸리 나몰라라 잘하는 반응 맛집내가 너무 기분이 좋아서 이 기분을 신나게 박살내버리고 싶은 분들에게만 방문하시길 추천드립니다 :)
임호정,4,7,4.4,2022.02.10.,5.0,
강바래,74,849,4.1,2022.02.09.,1.0,소주 개비쌈 요즘 얼마일라나
인증🎖맛집찾아라,31,264,2.4,2022.01.05.,1.0,
미식가될테야,22,260,3.9,2021.12.28.,1.0,
솜사탕,3,3,1.0,2021.10.04.,1.0,"후기 진짜 안 다는 편인데, 직원들이 너무 불친절해요... 그리고 노래 소리가 너무 시끄러워요 앞사람 말이 안 들려요.. 만약 가게 되면 스피커 근처에 절대 앉지 마세요!!"
셩잇님,34,331,4.2,2021.05.07.,3.0,정신없음.
유진,4,3,4.0,2020.10.25.,5.0,이 집 곱도리탕 맛집이에요 한판 더 먹을려다 말았어요 직원들도 착한데 평점 왜이런담 ..
;;,4,2,1.0,2020.07.28.,1.0,1점 주기도 아까움기분좋게 놀러갔는데 직원이 싸가지 존ㄴㅏ없음손님을 대하는건지 친구를 대하는건지 처음봤는데 반말 찍찍하고안주도 그닥. 맛별로였음(홀보던여직원분 서비스업종사할꺼면 태도부터 고치시길.. 밖에서 만났으며 존ㄴㅏ맞았음 조심하셈)
NAMU,32,222,3.8,2020.02.12.,1.0,진짜 안주 메뉴 다 개극혐이에요 ○○○ㅈㄴ 맛없음
강현욱,13,41,4.9,2020.01.14.,5.0,헌팅술집으로 가장한 삼치구이 맛집
#,15,39,3.1,2019.06.13.,1.0,가격에 비해 양이나 맛이 그닥... 직원들도 친절하다는 생각이 안들고 그냥 사람만 많아요 ㅜㅜ
