user_name,user_rank,num_response,user_star,time,rating,content
김현철,2,3,4.3,2024.03.24.,4.0,
공,14,21,3.5,2024.03.16.,5.0,프라이빗하고 분위기 좋음
커피나무,8,10,4.1,2023.12.06.,5.0,
먹자마자,35,182,4.8,2023.08.05.,4.0,#먹자마자 #서울 일기한줄: 한강뷰 좋아하는 나를 위해 생일에 내돈내산(2022년 방문)
단우삼촌🙈,46,258,3.1,2023.07.31.,2.0,"재방문 의사 ☆☆☆☆☆한줄평: 뷰가 다했다!음식맛 ★★★☆☆접근성(주차포함) ★★☆☆☆분위기 ★★★★★가격(가성비) ☆☆☆☆☆친절 ★★★★★청결 ★★★★★생일 기념으로 방문한 서강팔경! 소문 그대로 뷰가 아주 일품이에요. 룸으로 예약했고 메뉴는 리옹, 와인은 말벡 보틀로 주문했어요. 우선 음식맛은 그냥 무난해요. 특별히 맛있지도 없지도 않는 흔한편이에요. 물론 양은 아주 적습니다. 직원분은 살짝 과하다고 느낄정도로 친절하십니다. 분위기는 오래되었지만 깔끔했도 밤섬이 보이는 뷰가 최고의 인테리어 역할을 합니다. 식사 후 한층위에서 음료 한잔씩 무료제공이 되구요. (1시간 제한) 결론은 가성비는 안좋지만 기념일에 한번 정도는 갈만한 곳! 이렇게 정리가 될 것 같아요. 물론 전 이제 안갑니다^^"
진진,5,43,5.0,2023.07.21.,5.0,
T2PG,7,9,3.6,2023.05.01.,4.0,레스토랑의 품격을 유지하는 곳이 아직도 있었네
호날두,28,168,4.5,2022.12.24.,3.0,여의도 방면 야경은 호우!음식은 가격대비 서빙도 오래걸리고 맛도 그냥 저냥
냠,22,112,3.1,2022.12.11.,1.0,음식 나오는데 너무 오래 기다려야함근데 식어서 나옴맛없음플레이팅 허접함인테리어 낡았음서버분은 친절하심
고영민,5,6,3.7,2022.12.06.,1.0,너무 친절하시고 요리 설명도 잘 해주셨습니다. 하지만..제가 경험한 수많은 파인다이닝들 중에 개인적으로 가격 대비 맛과 인테리어는 솔직히 별로였습니다. 개인적인 생각이니 참고만 해 주세요.
돼지보스,16,30,4.2,2022.11.18.,5.0,"단순히 분위기만 좋은 식당인줄 알았는데, 음식도 맛있어요. 코스요리를 먹었는데 특히 스테이크가 괜찮습니다. 평일 저녁에 방문했었고 사람이 많이 없어서 오히려 좋았어요."
BT62,19,512,4.2,2022.11.15.,4.0,
Tommy,4,7,3.9,2022.10.21.,5.0,맛도 있고 무엇보다 뷰가 너무 좋아요! 부모님 모시고 가기 좋았습니다. 와인 추천도 잘 해주셔서 페어링 잘 해서 먹었습니다 :)
ra_Ryouk,25,104,4.6,2022.08.29.,5.0,코스요리 맛과 뷰는 단점을 찾을 수가 없습니다.예약을 미리 해야 강변북로 쥬겨쥬는 창가자리 앉을 수 있습니다.방 안으로 예약할 수도 있습니다.주차는 약간 그렇습니다.부늬기 진쨔 쥬겨쥼니다.. 트키 겨우레 핵뎊앜...
1,12,10,3.9,2022.07.07.,5.0,뷰 맛집
우람이,10,114,2.9,2022.02.12.,2.0,
자유여행자,32,122,3.2,2022.01.19.,4.0,맛있고 분위기도 좋아요.
맛집 판정인,21,27,4.0,2021.12.07.,3.0,1. 직원분들 친절함2. 뷰 맛집3. 가격이 디귿디귿 덜덜
오창동,2,1,5.0,2021.06.02.,5.0,
냠냠,21,54,4.0,2021.03.18.,2.0,뷰 말고는 갈 이유가 없는 곳이었습니다.. 다신 안 갈 것 같아요ㅜ
림그린,7,12,3.6,2021.03.07.,5.0,"신선한 회와 멋진 풍경, 친절함 모두 매우 우수가족이나 연인에게 소중한 시간과 공간이 되기에 충분 !"
.,14,29,4.2,2021.02.19.,3.0,야경좋음맛 좋음 양 적음셰프및 직원들 팁 줘야하는지부담스러움ᆢ눈치보임ᆢ팁 없다고 하면 더 잘 될듯~
고영희,41,269,3.4,2021.01.25.,4.0,평때문에 걱정했지만 프라이빗하고 생각보다 퀄리티 괜찮았음 . 5시에가서 인생사진 많이 건짐
흩어진너구리,2,1,3.0,2020.11.20.,3.0,"확실한 장점은 여의도 뷰와 조용하고 꽤 넓직한 룸으로, 업무 관계로 와도 좋을 것 같습니다.서비스와 맛은 코스 요리가 이 구성에 이 정도 나오는구나 하고 첫 입문하시는 분들 튜토리얼 깨기에 적당할 듯합니다."
찌니,17,40,4.0,2020.11.09.,2.0,"뷰만 좋음맛, 서비스, 가격 (맛에비해 가격 터무니없음)주차 발렛해주셔서 편함"
JHJ,3,6,1.7,2020.02.01.,1.0,
네,27,100,2.3,2019.07.19.,1.0,여기 주차관리하는 삐적마른 분 어리다고 반말하고 정말 불친절 합니다.다시는 서강8경 안가요. 퉛~
블랙말랑카우,22,52,4.1,2019.03.31.,1.0,특별한 날 예약해서 탑쓰레기 음식 먹고옴. 뷰만 보고 음식은 신경 안 쓴다면 가도 됨. 생애 처음으로 음식 컴플레인 걸고 새로 해달라고 했는데 새로 나온것도 씹다 버리고 옴.
scholar,12,56,2.5,2017.01.12.,4.0,
만호,23,143,4.2,2016.11.06.,4.0,
이용호,30,238,3.4,2016.06.24.,2.0,"여의도 방향 야경, 위치 좋은 레스토랑, 와인과 스테이크"
동바,14,570,4.9,2016.03.15.,5.0,
jamon lover,61,"1,670",3.3,2016.03.11.,3.0,야경에 비해 음식은 좀...
