user_name,user_rank,num_response,user_star,time,rating,content
빵글이 김진수,33,146,2.9,2024.01.06.,4.0,"전형적이고 평범한 참치집입니다 매우 친절하시고. , 리필도 잘해주세요,     4점인 이유는 테이블이 좁아요"
이석규,2,1,5.0,2023.10.05.,5.0,친절하고 참치 가성비 너무 좋네요
jack,8,17,4.1,2023.06.06.,5.0,덕분에 회사사람들하고 기분좋게 마셨습니다 ㅎ
Jay,85,"3,044",1.2,2023.06.04.,1.0,소주 및 맥주 6000원
김채영,6,8,4.4,2023.05.30.,4.0,참치 나올때마다 설명해주시고 친절하심
송태수,2,1,1.0,2023.02.25.,1.0,"혼자가서 특스페셜 45,000원짜리 먹었는데 이 모양으로 나옵니다.정말 비추합니다. 가성비 꽝참치는 꽝꽝 얼어있고 그 얼어있는 참치를 억지로 잘랐는지 참치가 갈라져 나오더군요.또 혼자가서 그런지 죄다 참치 끝부분만 나오더라구요. 뷔페 참치보다 못합니다.절대 비추함니다!"
에오닝,3,3,2.3,2022.12.25.,5.0,맛....맛있어요!! 게다가 너무 친절하신 사장님ㅜㅜ 부위 설명도 해주시고 다른 술안주(??)ㅎㅎ 들도 너무 맛있어요!! 또 와야겠어요. 참치 많이 먹어보진않았는데 여긴 진짜 맛있다는걸 알겠네욯ㅎ
권정은,22,64,2.6,2022.12.25.,5.0,엄청친절하시고 너무좋았어요! 사장님센스가...최곱니다
상규,2,1,5.0,2022.11.27.,5.0,매장 깨끗하고  직원분들도  친절 합니다 . . 가성비대박홍대 찐 맛집
차차>_<//,4,7,4.9,2022.01.26.,5.0,친절한 사장님에 가성비도 좋아서 자주 가는곳참치뿐 아니라 스끼가 맛깔나게 잘나와요
이젠 하늘그네로 놀자^^,4,3,3.7,2021.08.26.,2.0,"참치가 너무 ㅜㅜ서비스는 나쁘지 않지만,중요한 음식에 더 신경써야 할듯 ㅜㅜ"
라잇나우,27,130,3.9,2021.07.24.,4.0,무한리필 참치 정말 최고! 사장님 친절!
ㅎ,15,29,4.4,2020.11.04.,1.0,특 먹었는데 ㅋ 너무 꽝꽝 얼어있고 부위도 별로고...누굴 바보로 아나...
전생,42,456,3.6,2020.10.06.,4.0,참지도 괜찮고 일하시는분들도 친절하신데 아쉬운건 가게조명이 전체적으로 침침한 느낌이 나서 홀하고 주방하고 따로 논다는 느낌이 조금 아쉽습니다 음식적으로는 전체적으로 괜찮습니다
와우산토박이,11,16,3.5,2020.03.23.,5.0,친절하시고 가격대비 괜찬아요. 항상 맛있게 먹고 왔습니다
1028475,13,21,4.0,2020.02.16.,5.0,사장님 실장님 다 정말 너무너무 친절하세요. 잘먹었습니다:)
.,4,4,1.5,2019.08.01.,1.0,○○○○집 돈 아깝다
유doll,23,79,2.7,2018.12.31.,1.0,5만원짜리먹었는데 부위도 다양하지않고 좀 많이 별로. 다신안올듯
jiki(Fran),15,43,3.7,2018.08.27.,5.0,진짜 좋음.끝.
서동현,2,1,5.0,2018.05.14.,5.0,
