user_name,user_rank,num_response,user_star,time,rating,content
홍정희,2,2,5.0,2024.02.14.,5.0,역시 믿고하는 서울 이스케이프ㅋㅋㅋ
Daniel Day,4,6,5.0,2023.12.30.,5.0,A very fun experience that requires a lot of critical thinking a teamwork. Fully recommend!
김민철,27,107,3.4,2023.08.30.,2.0,재밌었지만 방탈출 처음 해보는 사람에게는비추입니다..
궁궁,4,7,3.0,2023.08.24.,1.0,설명도 직접 안하시고 핸드폰 켜서 해주시더라구요 ..그것까진 그렇다 치고 너무 불친절해요 …
싱콘,3,8,4.1,2023.06.15.,4.0,
Philip (필립),3,1,5.0,2023.03.12.,5.0,I have done the CIA and Venice escape room with friends and both times was very satisfied. The puzzles were nice and the rooms are amazing.
채은,12,27,4.1,2023.01.30.,3.0,건물 전체에서 냄새가 너무 나요.. 엘리베이터 탔다가 토할뻔방탈출은 재밌어요
랄라,3,8,3.9,2021.10.12.,1.0,
이준호,1,1,5.0,2021.09.11.,5.0,
.,3,2,3.0,2021.05.06.,1.0,"일찍 생겨서 유명한 건 알지만 일찍 생긴 만큼 테마 노후화가 많이 되었고 청결도가 좋지 않았습니다. 문제도 좀 조잡해서 문제를 풀면서도, 풀고 나서도 성취감이 크진 않은... 다만 힌트를 자유롭게 쓸 수 있기 때문에 클리어하기는 어렵지 않아서 초보자들이 해도 괜찮을 것 같습니다."
3,3,4,3.0,2021.03.27.,5.0,재밌었어요~많이 못깬게 아쉽네요
