user_name,user_rank,num_response,user_star,time,rating,content
MZ식객,5,47,3.2,2024.04.23.,3.0,
노병수,9,14,2.9,2024.04.11.,1.0,음식이 맛있어서 재방문 했는데너무 불친절한 응대를 받아서 그냥 나왔습니다당신의 불친절이 누군가의 하루를 망칠 수 있다는 걸 명심하세요 반드시 돌려받을 겁니다.
헤일로2600,16,20,4.1,2024.04.08.,5.0,카레들도 다 개성있고 아보카도 냉우동도 소스랑 야채랑 잘어울려서 맛있었어요 냉우동은 비빔우동이고 카레는 에비가 제일부드럽고 맛있네요생각보다 양이많았어요
.,13,17,3.6,2024.04.03.,1.0,사장님이 너무 불친절:;;;;;;;;; 다른지점이 더맛있음
방참우,31,73,4.0,2024.04.03.,5.0,카레가 이렇게 맛있는 음식이었다니...
업살녹,2,3,5.0,2024.04.03.,5.0,"반반카레:13000밥 양이 좀 적다 생각했는데 밥은 물론 카레도 무료로 추가 가능했습니다! (몇 번까지 해주시는지는 모름) 에비카레는 조금 달달하고 가벼운 맛?이 없지 않아 있었지만 맵지 않은 카레는 보통 다 그러니까요 ㅎㅎ. 그래도 토리카레는 묵직하고 깊은 맛이 좋았습니다.카레뿐만 아니라 카레에 들어가는 후레이크, 새우, 고기 건더기까지 신경 써서 만드신 게 느껴지는 맛이었습니다. 맛은 8.5/10 지만 종업원분들이 친절하셔서 더 맛있게 먹었던 것 같습니다."
영,5,112,3.2,2024.03.24.,4.0,
치,3,14,4.5,2024.02.24.,4.0,
객관적인리뷰어,22,40,3.5,2024.02.24.,3.0,카레랑 돈가스 먹었는데 음식이 약간 식어서 나왔고 그렇게까지 맛있는 것도 아니었네요.. 별점이 높아서 기대하고 왔는데 아쉽네요ㅠ
won,21,29,4.9,2024.02.16.,5.0,"맛있어요. 사실 비쥬얼에 끌려서 온거라 맛은 별로 기대 안하고 평타만 치면 좋겠다 생각했는데. 연어도 맛있고 특히 소스들이👍소코아 카레는 다양하게 먹을수 있어서 좋았고, 세가지 다 맛있었어요. 아보카도 연어냉우동도 연어 비리지 않고 맛있었고,소코동 위의 크림소스가 고기랑 정말 잘 어울리더라구요. 아 그리고 매실토마토에이드랑 복숭아 소다도 시켰는데 둘 다 괜찮았어요. 둘 중엔 매실 토마토 에이드가 더 맛있더라구요. 토마토가 들어가서 이상할줄 알았는데 의외로 잘 어울려서 만족 ㅋㅋ"
밥먹자곽춘배,7,6,3.7,2024.01.31.,5.0,새우 아보카도 냉우동 먹엇는데 새콤달콤 맛있었고 아보카도가 고소하고 후숙잘돼서 넘 잘어울렷어요 일행 카레도 뺏어먹었는데 카레가진 짜…. 달짝지근하고 너무…너무너무너무맛있어서 카레 시킬걸 햇네요 다음에 갈때는 카레먹으로가고싶어요 ㅎㅎ
izro,22,34,4.6,2024.01.27.,5.0,아주아주 존맛인데 다음에 비프 냉우동 꼭 먹는다!!! 재료소진 너무 아쉬와요 ㅠㅅㅠ
다람쥐맨,12,21,4.0,2024.01.06.,4.0,전반적으로 맛있는데어느날 저녁에 갔더니 밥이 푸석푸석..운 좋은 날 가세요
.,18,21,3.7,2024.01.05.,5.0,"말해뭐해.. 리필도 해주고 맛도 짱, 친절에, 가성비까지 구우우우웃"
bang*2,5,8,4.1,2023.12.27.,4.0,맛있는 일본시카레. 웨이팅 조금 있음
