user_name,user_rank,num_response,user_star,time,rating,content
니닝,23,48,3.8,2024.03.05.,2.0,"한마디로 마라탕이 되려다 만 곰탕임 2단계 먹었는데 생각보다 마라맛이 별로 안 나는 밍밍한 맛이고 꿔바로우는 양이 많아서 3명이서 먹으면 좋을 거 같아요 가게는 깔끔해서 좋음 굳이 재방문은 안 할 거 같아요,,,맛있다고 들어서 기대하고 갔는데 아쉬움"
eun,7,11,3.2,2024.02.13.,5.0,자주 가는데 항상 맛있어요!
서영,2,1,5.0,2024.02.11.,5.0,
.,23,77,2.9,2024.01.14.,5.0,가지꿔바로우를 돌려내라돌려내라
이수연,18,56,3.9,2024.01.12.,1.0,사람은 많은데 테이블은 적었음테이블이 다닥다닥 붙어있어서 모르는 옆에 사람하고 거의 붙어서 먹는 게 너무 싫었음이동하는데도 불편하고 맛도 별로였음재방문 의사 전혀 없음^^
정아,32,118,4.7,2023.12.09.,5.0,비건 가능한 곳이라 몇 년 째 방문 중입니다. 맛도 좋아요!!
Cindy,11,15,4.1,2023.11.30.,5.0,채식하는 분들이 자주 가는 마라탕 집이라고 들러봤는데 채식인덷ㅎ 이정도 맛이 나다니 만족합니다!
전지윤,8,15,4.1,2023.08.25.,4.0,깨끗해서 좋아요. 진짜 지저분한 마라탕집도 경험한 저로써 아주 만족.
우짤,25,84,3.7,2023.08.25.,3.0,불친절하긴한데버섯꿔바로우가 독특해요
지민,2,1,5.0,2023.08.24.,5.0,재료도 많고 맛있었어요😍
早苗 菜留,12,13,4.3,2023.08.10.,5.0,한국 현지화 조금 덜 된 마라탕 맛이에요! 너무 한국스러운 마라탕 안 좋아하시면 추천드려요. 저는 완전 만족!
ㅁㅁ,11,17,3.1,2023.08.02.,1.0,"맛없어요....... 다른 손오공 가세요 여기말고 왼쪽?으로,,, 맛없는데다 아저씨가 불친절함 ㅎㅎ 기분 나빠요~"
김지환,9,11,3.4,2023.07.30.,4.0,가용 범위 내의최고의 선택
헉헉,38,198,4.3,2023.07.06.,4.0,제 인생 첫 마라탕을 먹었던 곳에요 변함없이 맛있음
김수정,7,6,5.0,2023.07.04.,5.0,홍대가면 마라탕집 여기밖에 안가요 ㅠㅠ 진짜 너무 맛있고.. 비건식도 선택 할수 있어서 너무 조아요 !!그리고 사장님이랑 직원분들도 너무 친절하셔서 너무 좋아요 ❤️❤️대박나세요 ㅠㅠ
대호,1,5,5.0,2023.06.01.,5.0,
숭,8,9,3.2,2023.05.26.,5.0,엄청 맛있는 마라탕 너무너무 잘먹었습니다 ㅎㅎ홍대에 마라탕 하면 여기가 아닌가 싶네요😊
.,2,6,5.0,2023.05.04.,5.0,
김김김,8,11,1.8,2023.05.04.,1.0,"수저가 노출되어있어서 찝찝하고 물컵이 더러움, 야채 냉장고에 취두부도 없는데 이상하게 쉰내가 남. 버섯이나 동두부쪽이 아닐까 의심, 소스류들 통에 찐득찐득 위생으로 까지 말라고 붙어있지만 깔수밖에 없음 합정쪽 손오공은 진짜 깨끗하고 더 맛있고 좋았음"
ㅎㅎ,11,11,4.0,2023.05.03.,5.0,"마라탕 진짜 맛있어요 마라반은,,,, 셔요"
누베뤼,21,37,3.4,2023.05.02.,5.0,맛이야 원래도 마라탕은 여기만큼 맛있는데가 없었긴 했는데 예전에 뭐 단속걸리고 대대적으로 함 뜯어고치고 나서 완전 깨끗하고 친절해짐. 어디 얼마나 가나 했는데 꽤 오래가는거 보니 그렇게 바꾸고 장사가 잘되는걸 사장님도 느끼셨지 않나 싶다 좀 오래갔으면 싶은곳.
JjeonG,17,23,3.7,2023.05.01.,4.0,"맛있어욤!! 평점 낮길래 별 기대안하고, 빨리 먹고 가려고 대충왔는데 맛있었습니다~! 직원분들도 친절하시구요! 꿔바로우는 개인적으로 저에게 좀 자극적이었구요(신맛에서) 전이 진짜 맛있었어요!!!! 신기해서 시켜먹어봤는데 존맛탱~ 약간 대구 납작만두 느낌?? 암튼 바삭하고 쫄깃하고 고소하고 마라탕이랑 왕 잘어울려요👍후기에서처럼, 위치가 좋다보니 북적이는건 어쩔 수 없을 듯하네요 근데 그렇다고 진짜 너무 정신없고 그런건 아녔어요!"
펭귄풍선,21,51,3.8,2023.04.02.,5.0,존맛.... 폐점한 내 (구)최애 마라탕집과 매우 흡사했음.. 집 가까웠으면 돈 다 털렸다
LLAP🖖,21,53,4.6,2023.02.25.,5.0,깔끔하대서 갔는데 괜찮았어요 맛도 있고~ 오랜만에 샹궈랑 꿔바로우 먹었는데 굳굳
뉴,9,15,3.7,2023.02.03.,2.0,가게가 좁은데 위치상 손님이 항상 많고 너무 시끄럽다.. 먹다 체할 뻔. 서교점 보다 위생 별로인 것 같음
먕먕,21,53,4.5,2023.01.29.,5.0,또 먹고싶다
태현,3,2,1.5,2023.01.25.,1.0,고소당할까봐 욕은 안 적고 갑니다
박,14,36,4.4,2023.01.11.,5.0,맛있었어요 채소들도 싱싱하구여
스님,58,723,3.9,2022.11.19.,4.0,3단계도 생각보다 안 매워요. 다음에는 4단계 !
ho,22,133,2.4,2022.10.23.,5.0,채수라 깔끔
김인아,13,18,3.7,2022.10.12.,1.0,"1. 국물사골국물맛 난다는 평가를 듣고 기대하며 갔지만 이츠 낫 사골국물.. 걍 채소 우린 물임.. 진짜 하나도 안찐하고 묽고 텅텅하며 마라향이 강하게 남. 중국 본토 마라탕은 국물 절대 먹으면 안된다는 정보를 들은바 있는데, 아마 이 국물과 비슷하지 않을까 싶음.글고 짜요.2. 재료괜찮은 재료는 배추, 얼갈이 등 잎채소류. 자잘자잘하게 잘라서 입에 넣으면 쏙 들어감. 신선도도 좋았음진짜 별로였던 재료는 (1) 치즈떡, (2) 갈색버섯 (갑자기 이름이 기억안남), (3) 떡국떡치즈떡은 말 그대로 ""쉰 맛""이 남. 치즈가 셔요. 먹자마자 와 이거 그대로 넘겼다간 배탈 나겠는데 싶음. 갈색 버섯도 마찬가지. 입에 넣고 씹지마자 신 국물맛이 확 들어옴. 떡국떡은 하나도 안 익혀서 그대로 딱딱하게 나왔어요3. 결론마지막 손오공 마라탕. 다시 안 올 예정임"
내맘대로,19,70,3.8,2022.10.05.,3.0,
ㄱ.,7,137,4.4,2022.09.13.,5.0,
체곤조,32,126,2.3,2022.09.07.,1.0,식약처 단속에 걸린 토나오는 곳
NEVER,23,110,3.5,2022.08.11.,5.0,깔끔하고 맛있어요
햅삐,23,210,4.3,2022.06.29.,3.0,
m,11,60,4.7,2022.05.27.,5.0,
냐미,3,4,3.0,2022.04.16.,5.0,ㄹㅇ 꿔봐로우 먹고 가라 진짜 옆에 마라 공방 절때 가지마라
맛도리도리,39,191,4.2,2022.04.14.,5.0,사장님 친절하시고 재료도 신선하고 맛있어요~~! 마라샹궈 3단계 매워요ㅠㅠ 2단계 드세요
.,3,10,4.2,2022.03.15.,1.0,
.,42,294,4.0,2022.03.03.,5.0,맛있어요 혼밥하러가서 삭삭 긁어머것서요
jun,17,41,4.0,2022.01.31.,5.0,마라탕 국물이 존맛여기는 마라탕이 원탑..
완벽한인생,15,43,4.5,2022.01.12.,5.0,마라탕 맛있었습니다. 마라반 개맛있었습니다. 먹다가 너무 맛있어서 흘렸어요. ㅠㅠ
방국봉,17,41,4.3,2021.12.09.,4.0,존맛 식탁이 개좁은데 마라탕 그릇이 식탁만함
🩵,32,107,3.8,2021.11.13.,2.0,작년까진 맛있었는데 최근에 가니까 맛없어져서 다 남기고 옴.. 같이 먹은 사람도 너무 짜다 그러고 실망 다시 안 갈 듯
ㅇ,28,83,4.5,2021.08.22.,1.0,엄청난 단골입니다 여기 마라탕을 가장 좋아해요. 맛은 있어요 (존맛 인정) 근데 ♩~♩ 더러운것도 인정  가본사람이면 알것임 ㅋㅋㅋㅋ 맛은 5점인데 코로나시국인 만큼 더러워서 1점 드려요
kallex,9,9,3.7,2021.08.11.,5.0,최고에요! 정감이 많이가는 식당이에요
noname,23,71,3.0,2021.08.03.,1.0,위생문제있어요…
써니(한국),2,1,1.0,2021.07.06.,1.0,마라탕 맛은 있는데 서빙하는 아주머니가 집게채로 단무지 집어 먹는 걸 목격 하고 입맛이 뚝...;;;;;;;;; 더군다나 코로나 시대에 어떻게 그럴 수 있는거죠...
취비,25,108,4.6,2021.06.19.,5.0,국물맛있
최장호,29,77,3.5,2021.06.18.,5.0,"사골육수의 진한 마라탕을 좋아하는데,예상치 못하게 사골 육수가 진해서 놀랐네요.홍대 오면 가끔 마라탕 생각나면 올꺼 같네요.추천 합니다."
루피,4,8,4.5,2021.03.30.,5.0,안좋은 평들이 몇개 보여서 걱정했는데 맛만 좋았습니다~ 채수로 시켜서 먹었어용 굿굿
정승환,25,161,4.6,2021.03.12.,3.0,굿굿 좋아요
