user_name,user_rank,num_response,user_star,time,rating,content
하히,21,33,3.8,2024.04.21.,4.0,늦게 갔더니 뭐가 많이 없었어요 바질토마토베이글이랑 바질토마토스프레드 사서 발라 먹었는데 아주 맛있었어요 근데 빵이 다 나와있는데 베이글들 쪽에 모기인지 뭔 벌레가 날라다니고 있어서 위생은 잘 모르겠더라구요 인테리어는 너무 이쁘고 다른 맛도 먹어보고 싶어요
은행나무,10,8,3.0,2024.04.20.,3.0,매장이 예쁘고 내부가 넓은 편이라 좋아요 메뉴도 다양하게 팔고… 근데 베이글은 겉으로 보기에 화려한거에 비해 맛은 그냥 그래요 쫄깃한 식감이 없음.. 그래도 페퍼로니베이글?은 좀 짜지만 맛있었어요
5점 잘 안 준다,64,206,3.9,2024.03.30.,3.0,인테리어 좋고 내부 넓어서 좋은데케이크를 덮개도 없이 손으로 가져가라고 하는 게..맞나.. 브라우니는 낫배드직원분 너무 친절하셔서 기분 좋았음.
kwang il moon #33,3,19,4.5,2024.02.29.,4.0,
🍓,3,7,4.3,2024.02.24.,5.0,
은구,35,215,4.4,2024.02.23.,4.0,따뜻한 분위기의 공간이다 베이글 말고도 스콘 브라우니 레몬파운드 다른 디저트가 많고 맛도 있다 카페에 있는 동안 계속 빵굽는 냄새가 나서 좋았다
psy,22,59,4.3,2024.02.01.,5.0,"친절하게 응대해주시고, 맛있어요"
삐,17,20,3.2,2024.01.27.,3.0,샌드위치는 맛있는데 베이글은 질기고 맛도 그닥.. 굳이? 싶네요스타벅스 블루베리 베이글이 더 맛있어요
뽁뽁,9,11,4.1,2024.01.22.,4.0,두 번째 방문 . 더 갈 듯
🌳,22,43,3.6,2024.01.10.,4.0,매장 분위기 너무 예쁘고 평일 낮에 가니까 사람도 적당하니 여유로워서 좋습니다!커피가 너무 맛있어서 한 잔 더 시켰는데다음잔은 너무 맛이없어서 다 버럈ㅇ어ㅓ요ㅠ
솔직하게 말하자면,37,202,3.5,2023.12.25.,4.0,카페 예쁘고 직원도 친절하고 빵들도 좋아요. 그치만 핫밀크티는.... 비추입니다.... 너무 미적지근하고 무슨맛인지 모르겠어요 다른거드세요ㅠㅠ
ㄱ,4,6,3.0,2023.12.14.,1.0,직원 불친절 하다는 거 그냥 그런 갑다 하고 왔는데지하 자리 계속 왔다 갔다 하는데 문 쾅쾅 닫고 직원실 들어가면서 문 발로 차고 욕하는 거 듣고 와 진짜 처음임 카페에서 썅욕 들은 거 처음임
sunny,8,8,3.6,2023.12.07.,3.0,베이글 물론 맛있어서 가끔씩 생각나 먹지만 오픈한지 얼마 안됐는데 가격을 그리 올렸을까요..물론 여기뿐만은 아니지만 우리나라 빵 가격 너무 터무니없다고 생각들어요.이층 좌석 사람 꽉 들어차서 앉아서 얘기하면 시끄러워 정신없어요.ㅠ
별헤는밤,30,195,4.7,2023.12.04.,5.0,사진 찍기도 좋아요
언제나청춘,41,564,4.7,2023.12.03.,5.0,인싸 감정이 확실히 살아나는 곳으로 맛도 좋고 분위기도 좋습니다.
