user_name,user_rank,num_response,user_star,time,rating,content
솔직리뷰거짓X,8,12,4.3,2024.04.11.,4.0,뇨끼가 맛있는 곳.
권도현,4,2,4.0,2024.04.08.,5.0,진짜 개맛있음.. 뇨끼 미쳤고 살짝 느끼할때 샐러드파스타 먹으먄 쥰맛탱 여긴 또또또갈집임!!!!
sunol,8,13,4.0,2024.03.24.,5.0,
미야옹,13,35,3.3,2024.02.02.,4.0,3.5시저샐러드 맛있음
아잉,2,1,5.0,2023.12.17.,5.0,"너무너무 맛있게 잘먹었어요메뉴 하나하나가 다 맛있고 만족스러웠어요👍만조샐러드, 뇨끼, 비스큐로제, 아라비아따 모두 맛있게잘먹었어요~ 친구들도 모두 만족한 식사였습니다. 감사합니다💕연말 모임 장소로 추천합니다!😊"
나야나,23,88,3.5,2023.12.13.,2.0,맛은 보통은 합니다 다만 피클을 따로 말씀드려야 주는거라는...??놀랬네요 피클은 당연히 주는줄.. 재방문 의사 없음
와압,25,48,3.5,2023.10.31.,3.0,가성비 괜찮은 파스타집
감자,15,23,4.2,2023.10.17.,4.0,대단한 맛은 아니지만 부담없이 먹기 조아용!
굴자,27,85,3.6,2023.09.27.,2.0,"면을 너무 삶아서 식감이 별로였고, 소스는 일반소스와 다를 바가 없어서 많이 아쉬웠던 곳입니다."
성민,11,15,3.7,2023.09.26.,5.0,정말 뇨끼도 역대급으로 맛있었고 소스도 훌륭했어요비스큐로제도 적당히 매콤해서 너무 맛있었네요 파스타면도 맘에 들었어요
STAFF ONLY,32,326,3.4,2023.09.17.,3.0,재방문하게 된다면 뇨끼는 먹지말것.내 입엔 밀가루떡같은 느낌
배민경,4,5,5.0,2023.09.17.,5.0,크림 파스타 먹었는데 되게 맛있더라구요 자주 가야겠음
안원경,3,5,5.0,2023.08.13.,5.0,
김영범,6,13,4.8,2023.08.03.,5.0,소개팅했는데 조용하고 맛있고 좋았어요.
맛집탐방,16,24,4.5,2023.07.13.,5.0,사진은 그렇게 예쁘지가 않은데 리뷰가 너무 좋아서 이거 맛집이다 싶어서 방문했는데 진짜 맛있습니다 ㅎㅎ 지금까지 먹어본 뇨끼중에 가장 맛있었어요! 맛만 따지고 본다면 최고입니다 ㅎㅎ 안 갈 이유가 없네요
오궁,32,113,4.6,2023.06.19.,5.0,친구랑 둘이서 갔는데 넘 맛있게 배터지게먹었어요스테이크파스타 죤맛ㅋ다음에 또갈래요
파랑,12,14,5.0,2023.05.04.,5.0,다른분들 말대로 뇨끼가 특히 환상적입니다. 소스 훔쳐가서 집밥에 비벼먹고 싶어요ㅋㅋㅋ 다른 파스타들도 맛있었어요! 타 지역에서 놀러온 친구랑 기분좋게 배부르게 먹고 갔네요. 감사합니다. 다음에 또 가서 다른 메뉴들도 먹어보고 싶어요.
쩜쩜....,8,9,3.7,2023.04.15.,5.0,뇨끼가 정말 괜찮음
ㅇㅇ,45,308,4.4,2023.02.14.,5.0,
유종애미,23,59,3.6,2022.12.27.,5.0,비스큐로제+뇨끼=천국소스에 밥 비벼서 싹 비우고 싶어지는 맛
ㄱㅁ,18,37,3.0,2022.11.24.,5.0,맛있고 친절해요 편안해서 생각하기 귀찮을 땐 자연스레 가게 되는 곳입니다 뇨끼는 포슬과 쫄깃 중간이예요
🐶,6,19,4.3,2022.08.30.,4.0,
ㅅㅇㅈ,15,40,4.5,2022.08.08.,5.0,
미누,8,24,5.0,2022.08.06.,5.0,뇨끼뇨끼 파스타 존맛탱
오애뽀,14,25,3.4,2022.04.26.,5.0,뇨끼랑 살치살들어간 샐러드먹었는데 다 둘다 맛있었어요 바로앞에 사는데 애용할듯 !
Imm,4,10,5.0,2022.04.10.,5.0,뇨끼뇨끼
냄,17,35,4.3,2022.03.19.,5.0,"파스타랑 리조또 먹었는데 너무 맛있었어요 ,, !! 랑데자뷰랑 포토이즘 들렀다가 가는데 가까워서 더 좋았던 것 같아요 ㅎㅎㅎ"
킷,6,6,1.0,2021.10.04.,1.0,"맛은 그저그랬는데 서비스가 영.. 저희 테이블이 아니고 뒷테이블이 너무 시끄럽게 떠들어서 목소리가 안들릴정도였는데도 불구, 어딘지 정확히 보지도않고 조용히 해달라고 한 점, 계산할때 직원이 제대로 할 줄 몰라 사장님을 불러 계산하게 했는데 엄청 불친절한 태도로 카드를 빼앗듯이 가져가서 대충 긁고 던지듯이 준 점.. 밥먹고 이렇게 기분나쁘게 계산하고 나오기는 또 처음이네요;; 바쁘셔도 그렇지 직원이 제대로 못해서 부른걸 귀찮다는양 그런 티를 막 손님한테 내면 안되죠"
안다은,2,2,4.0,2021.09.17.,4.0,
복숭아,10,14,3.9,2021.09.09.,5.0,너무 맛있었어요 ㅎㅎ
왕만두,15,32,4.3,2021.06.17.,4.0,가격대비 무난하게 맛있음 난 차돌박이가 제일 좋아 .. 다 먹고 아이스크림 주시는게 좋았음
.,22,52,3.4,2021.06.14.,5.0,O.S.S.P 존맛탱다른 메뉴는 잘 모르겠는데OSSP가 진짜 넘 맛있엉 라자냐도 맛있음
구스,9,11,4.2,2021.04.13.,5.0,단골 맛집ㅠㅠ♡사장님 넘 친절하시고 파스타 먹어본데 중에 젤 맛있어요그래서 항상 다시 찾게 되는 집!    크랩리조또만 다시 부활시켜주세요...ㅋㅋ
강아지풀,26,64,4.3,2021.02.27.,2.0,딱조아!!딱조금 아쉬워요
ㄴㄴㄴ,3,7,2.7,2021.02.04.,3.0,통이에요
열히,35,131,3.8,2020.12.13.,5.0,홍대생 5년 최애맛집
염리박사,16,30,4.6,2020.12.01.,5.0,최애 파스타집이에요.
이보라,2,1,5.0,2020.10.18.,5.0,뇨끼도 맛있고 세명이서 파스타 두개랑 리조또 뇨끼 시켰는데 양이 많았어요양도 가격도 맛도 만족합니다
aa,43,661,3.6,2020.10.06.,1.0,뇨끼 괜찮아요 근데 양이 적고 리조또 류는 별로예요+가끔 배달 시켜 먹다가 처음 매장에서 먹는데 가격이 다른 느낌이라 보니까 메뉴마다 매장가+2천원 더 붙여서 파셨네요..한번 시킬 때 두세개씩 시켰는데 그럼 대체 차액이... 차라리 배달비를 따로 더 받으시면 되잖아요. 그리고 불친절해요 여러모로 실망했음
ㅇ,33,281,3.9,2020.09.30.,4.0,
맛있어야맛있다고하는사람,9,10,4.6,2020.08.05.,2.0,맛있는지 잘모르겠어요...가격은 괜찮긴하다만
EJ,23,49,4.1,2020.07.20.,5.0,뇨끼가 진짜 맛있는 집이에요! 가격도 저렴한 편이라서 부담 없어서 좋아요!
나진짜먹는거좋아해,25,85,3.9,2020.07.15.,5.0,가성비가 좋은데 가성비라는 단어를 붙이기엔 아까울 정도로 맛있는 곳... 한 삼사천원 더 받으셨으면 무난한 맛집으로 평가했을텐데 가격이 홍대 인근치고 굉장히 저렴하다
slislo,4,3,2.0,2020.03.29.,2.0,그닥.. 전반적으로 간이 센거같아요 느끼하고 짰어요
🍋,11,17,3.4,2020.01.08.,4.0,무난하게 먹을수 있는 파스타. 다만 내 기준 양이 적다
Haena,33,106,3.5,2019.09.23.,3.0,뇨끼가 맛있습니다!
공과장,48,484,3.5,2018.08.24.,3.0,"연예인이 하는 수제버거집이 있어서 갔는데알바인지 안에서 잠만 자고 영업을 안하고;;;둘러보니 옆에 민트(?)색의 파스타집으로런치메뉴는 그럭저럭 괜찮음샐러드에 앙증맞은 반쪽짜리 빵, 스프도 같이 나옴"
냠,12,18,3.7,2018.08.07.,1.0,맛집이래서 엄청 기대하고 갔는데 좀 짜고 많이 느끼했다. 처음 먹었을땐 그럭저럭 맛있네~먹을만하다~ 생각했는데 결국 남겼다.. 까르보나라치킨도 1인1닭 하는 사람인데 여긴 정말 너무 느끼했음
유도훈,10,10,4.2,2018.07.30.,5.0,최고...홍대에서  파스타는 여기로
ㄱㅎ,7,269,4.2,2018.03.17.,5.0,
장미는로제,23,46,5.0,2018.03.16.,5.0,그냥 최고입니다 뭘먹어도 맛있어요!!!!!
