user_name,user_rank,num_response,user_star,time,rating,content
전영민,21,150,4.7,2024.04.17.,5.0,케익맛집
🐹,10,20,4.7,2024.02.27.,3.0,자리 관리가 넘 안됨..ㅠ 삐걱삐걱 난리케이크도 비싼편
hello,19,27,5.0,2023.06.30.,5.0,오래된 디저트가게. 홍대에서 케이크하면 이집! 늘 번창하세요~
real맛집killer,43,400,3.6,2023.04.29.,4.0,딸기케이크 기대했는데 그냥 무난..안에 커스타드 크림이 있어 독특하긴하다
cheez,15,23,3.5,2023.03.21.,2.0,딸기케이크가 취향이 아니었네요..
냠냠,3,2,1.0,2023.03.14.,1.0,"옛날에는 참 맛있었어요.특히 딸기 케이크가 좋아서 생일에 굳이 멀리서 홀케이크 찾으러 올 정도였는데...사장님이 바뀌신건지, 케이크 만드시는 파티셰 분이 바뀌신건지 부드럽던 바닥 시트는 굉장히 퍽퍽하고 거칠었어요.당도높던 딸기는 무맛에 셔서 도저히 먹을 수가 없었고요그나마 크림 정도만 전과 비슷했네요.개당 가격도 비싼데 이 정도면 케이크 전문점의 의미가 있을까 싶습니다. 결국 한 조각을 다 못먹고 버렸어요.코로나 탓에 한동안 못와서 대체 언제부터 변했지는 모르겠는데 너무 아쉽네요.. 케이크 종류도 적어졌던데...한 번은 혹시 싶어서 다시 확인하러 갈 생각인데 그때는 부디 전과 같은 맛이 나면 좋겠습니다."
송파 고현정,45,422,2.7,2023.02.27.,3.0,"8,100원이라는 기대 이상의 가격과 기대 이하의 맛 후레즈 케이크. 동물성 크림 맛은 진하고 좋았으나 시트에서 공장 케이크 특유의 퍽퍽함이 느껴져 아쉬웠어요. 고퀄리티의 맛있는 딸기 케이크가 이제는 많아져서 그런지, 아님 왕년의 퀄리티를 지켜내지 못한 건지. 남은 건 한적함을 즐기기 좋은 매장 분위기였는데, 이걸 차마 장점으로 여기기엔 좀 서글프네요."
skfka,7,3,4.7,2023.02.21.,5.0,처음 가봤는데 케이크가 너무 맛있어서 집으로 포장까지 해갔네요 매장에선 딸기케이크를 먹었는데 느끼하지도 않고 입맛에 딱 맞고 너무 좋았어요!!
drgz,46,346,4.1,2023.01.26.,3.0,
띵,11,23,4.1,2022.12.05.,5.0,무난하게 자리 많고 친구들이랑 들르기 좋음
jablac,10,14,4.3,2022.10.22.,3.0,딸기케이크랑 쇼콜라어쩌구 케이크 먹었는데 다른 케익 전문집에 비해선 별로였어요.
ㅎㅇ,33,189,4.2,2022.09.30.,5.0,타르트 제외하고 다 맛있음가격이 훅훅 오르는거 감안하고도종종들름
opossum,8,19,4.4,2022.07.17.,5.0,념념념
띠용,29,92,4.3,2022.06.09.,4.0,내 칭구가 좋아하는 카페
LL,22,79,4.0,2022.01.28.,2.0,
난나랄라라,25,185,4.0,2021.12.23.,4.0,
사슴,23,63,3.7,2021.12.19.,4.0,학창시절부터 함께했던 바나나 타르트와 사쿠란보는 지금도 위로를 주네요
.,5,3,4.7,2021.11.11.,4.0,세월이 지나서 힙플도 아니고 아늑하고 편안하면서 내부도 예쁘고 케익맛도 안정적이라서 좋아요. 마롱케이크가 몽블랑으로 바뀐것은 몹시 아쉽습니다
츄파,11,123,4.5,2021.10.20.,4.0,
🌻,9,25,4.3,2021.06.24.,4.0,딸기케이크 굿몽블랑은 좀 딱딱하고 달고 밤맛나구 그냥그럼
아론,9,11,4.8,2021.04.10.,5.0,
Mj,35,963,4.0,2021.02.13.,4.0,쏘쏘하게 갠춘 좋음
최,21,82,4.4,2021.02.11.,4.0,맛은 그냥그냥 괜찮은데 포크가 휘지 않을까 걱정될 정도로 힘을 주어야 타르트가 잘리더이다..
호호 할범,33,388,4.1,2020.07.25.,3.0,:)
핏짜,12,26,3.7,2020.03.15.,1.0,
이잉,17,38,3.6,2020.03.12.,2.0,케이크 특별하지도않고 음료도... 올 이유 없음
옴뇸뇸,30,177,3.9,2020.01.12.,3.0,평범
ㅋ,2,1,1.0,2019.12.20.,1.0,알바생인지 사장인지 진짜 개 4가지없음기분잡치고왔네요^^
