user_name,user_rank,num_response,user_star,time,rating,content
ㅇㅇ,5,1,1.0,2024.04.17.,1.0,맛이면 맛 위생이면 위생 다 최악임
준표,2,1,1.0,2024.03.30.,1.0,이딴거도 초밥이라고.. 가지마세요
펩시제로,7,15,3.0,2024.03.30.,1.0,다신 안갈것 같아요… ㅋㅋㅋㅋ
장민준,1,1,1.0,2024.03.24.,1.0,
맛 없는데만 리뷰 쓰는 사람,2,1,1.0,2024.03.16.,1.0,그냥 쓰레기. 어지간하면 리뷰 안 쓰는데 이건 좀 심하지 않나... 내일 배탈 안 나기만 기도하는 중. 결제하는데 돈 아까워서 눈물 나옴.
이정준,2,2,2.0,2024.03.11.,1.0,
눈사람,5,7,2.7,2024.03.07.,1.0,회전초밥먹고싶어갔다가 맛없어서 기분만 잡치고옴
02 평가단,74,"1,003",4.5,2024.02.28.,2.0,음.. 초밥이 초밥이 아니에요..튀김같은 사이드는 먹을만했어요..
송현석,14,36,3.3,2024.02.27.,1.0,제발 오지마....안돼...
🐣🐤🐥,11,12,3.1,2024.02.13.,1.0,"초밥에서 성의란 찾아 볼 수 없는 곳웨이팅 하는 사람들한테 모두 돌아가라고 말리고 싶은 곳사진에 초밥은 회를 한 점을 먹은게 아닌, 레일 위에 돌아가고 있는 회가 2점 올라간 초밥입니다.얼마나 성의가 없으면 밥 위에 회가 없을까요?또한, 그 흔한 광어초밥마저 없고, 들오가서 10분동안 회 초밥이 안나와서 직원붙잡고 물어봤습니다.여기는 생선초밥이 없냐고요. 정해진 시간이 있어 정해진 시간에만 나온다는데, 그렇게 기다린 생선초밥 퀄리티가 이 모양입니다.정말 먹으면서 시간이 갈 수록 너무 후회되고, 앞에서 웨이팅 하는 사람들한테 돌아가라고 말 하고싶었습니다."
리뷰광고업소는음메에에에🐑,15,18,2.8,2024.01.28.,1.0,다신안온다 음메메메에엥에ㅔㅇ에ㅣ
이석민,2,1,1.0,2024.01.17.,1.0,여기 안망하는거도 신기함
용,7,12,3.3,2023.12.19.,1.0,무한리필인데 맛은 둘째치고 양도 못잡은집밥은 주먹만하고 회는 손가락만함밥맛만 나서 조금이라도 덜어내면 그걸 왜 더냐고 나가라고 욕함
권진욱,3,2,1.0,2023.12.05.,1.0,최악의 초밥집 다시는 안올것같아요
HyeJung,2,2,1.0,2023.11.06.,1.0,맛없음 차라리 다른 스시오 가는게 좋을듯
다먹어줄테야👻,12,12,2.8,2023.10.30.,1.0,대하고 갔는데 일단 협소하고 전체적인 기본 위생이 너무 별로라 놀랐어요 홀에 20대 초반? 직원분들 같은데 이용법 설명하는 남자분이 친절하긴 했으나 손님들 다식사하는데 스피커 폰을 크게해두고 통화를 계속 하더라구요 머라고 지적 하는사람 없는거 보면 사장님이 가게에 없는거 같아요그러지 않고서는 이렇게 관리 안할거 같네요..! 여자분은 긴머리 다풀고 다니면서 위생장갑 끼고는 있는데 그 상태로계속 머리 쓸어 넘기고ㅋㅋㅋㅋㅋㅋ둘이서 계속 스피커폰으로 시끄럽게 하고 이런 곳 처음 봅니다 맛이라도 있으면 참겠는데 연어는 냉동연어 같은 느낌으로 비려요 전체적으로 밥은 너무 많고 회가 다 얇디 얇고 심지어 비싼건 자주 나오지도 않아서 한참 기다렸네요! 그리고 음료수도 좀 채워야 할거같아요 시럽 다빠져서 탄산수인줄..튀김도 다 식고ㅠ 이렇게 돈 아까운 식사 처음이었습니다
