user_name,user_rank,num_response,user_star,time,rating,content
3번이상먹은곳만,5,5,4.8,2024.04.19.,5.0,사람 많아서 웨이팅 힘들지만 평일에 운 좋으면 웨이팅 없이 입장도 가능 친절함 라씨 필수 또또또간집임
대환,6,29,1.3,2024.04.18.,1.0,무례하고 교육받지 않은 직원들. 서비스가 엉망이야. 14명의 고객이 20분 이상 음식을 기다리고 있었습니다. 회사는 테이크아웃 배송에만 신경을 씁니다. 음식은 싱겁고 과대평가되었다
전봇대,19,39,4.6,2024.04.10.,5.0,날추울때 정말좋아요~ 좀 짜게 느껴질수도 있지만 오픈런해서라도 먹고싶은맛
바모스,51,344,4.1,2024.04.09.,5.0,"카쿠니커리에 튀긴닭다리, 닭꼬치 추가했습니다양 진짜 많아요 배 터질 뻔.. 토핑은 1개만 추가해도 충분할듯해요 매운거 잘 못먹는데 4단계 괜찮았어요신라면보단 약간 덜 맵게 느껴졌어요카레 국물은 리필 1번 가능하고이때 매운맛 강도도 변경 가능합니다스프카레 생각보다 묽고 자극적이지 않았는데깔끔하고 계속 손이 가는 맛이었습니다🤤"
toe,22,60,3.8,2024.04.08.,2.0,갈수록 스프의 농도와 질이 떨어지며 기름기만 짙어진다. 언제나 식어서 나오는 카레는 덤. 본점 이름 따왔으면 노력해야 할텐데 그런 모습이 전혀 보이지 않아 안타까울 따름... 좋은 스프카레집들이 생기면 가장 먼저 문닫을 곳.
냠,30,56,3.9,2024.04.06.,2.0,그냥 그랬음.... 맛있는지 모르겠다 오픈하고 바로 들어갔는데 준비된 게 우리 앞에서 끊겼는지 앉아서 30분 기다림 국물음식이라 온도가 중요한데 밥도 그냥.. 막 나온 카레도 그냥.. 약간만 따듯해서 금방 식어버렸다.....달지 않은 건 좋았지만 닭은 조금 비렸다
냠냠투어,15,20,3.9,2024.03.31.,4.0,국물 맛이 좋았다. 꼬지에 야채를 끼워넣어서 먹기 편한 것도 굿.토핑이 충분해서 평소에 반공기 정도 드시는 분들은 밥 적게로 시켜도 모자라지 않을 것 같다부산 스스키노의 얼큰한 맛 스프카레를 먹다가 스아게 스프카레를 먹으니 그런 감칠맛은 덜하나 카레라는 느낌은 스아게가 더 강한 느낌.다음에 간다면 콤보 말고 닭꼬지만 있는걸 시킬듯라씨는 그냥 유자 요거트 먹는 느낌이었다. 4000원이라서 굳이 안 시켜먹어도...
정다슬,2,1,5.0,2024.03.30.,5.0,
처묵,11,15,4.2,2024.03.25.,3.0,맛은 괜찮음. 직원 일처리 능력은 너무 별로
수수,25,81,2.6,2024.03.21.,4.0,맛은 나쁘지 않은데 화장실이 좀 청결했으면 한다.
