user_name,user_rank,num_response,user_star,time,rating,content
윤지현,23,41,3.9,2024.04.01.,1.0,맛 평범 분위기 평범 친절도 평범 가격만 하이레벨 예약해도 웨이팅 필수
거짓말 못 하는 편,5,6,3.2,2024.03.29.,1.0,왜이리 청담이랑 비교되는지 모르겠네요확실한건 돈주고 오라해도 다시 안갈 맛뇨끼가 아니라 뭔 감자튀김 같은 게 나오네
현진,14,25,3.0,2024.01.05.,1.0,4명이상 예약안되길래 3명씩 따로 두테이블 예약해놓고 가서 일행이니 두테이블 가까운곳 자리 줄수있냐고 물어보니 직원 그런거 왜 미리 얘기안하냐고 겁나 짜증냄. 짜증겁나 내다가 선심쓰는척 이번에는 배치 조정해줄건데 다음엔 안된다고 당부함. 어차피 다음엔 안감
민병관,3,1,3.0,2023.12.30.,3.0,한번쯤 가볼만한 곳맛은 그냥 쏘쏘 먹을만했음분위기는 정말 좋았는데 직원들이(알바는 아닌 것 같았음) 신입들인건지 먼지 뭔가 서툴러보였음..다먹은 수저 치워줘놓고 다음 음식 나오니까 수저 다시 안줘서 따로 요청했음... 휴대폰 충전 문의하니까 또 웅얼웅얼 하시고... 음식 가격대에 비해 서비스가 빈약한 느낌? 그렇지만 분위기 때문에 넘 만족했던 곳
정주빈,14,24,4.7,2023.12.14.,3.0,한번쯤은 가볼만 할 수도?
한지훈,17,32,3.8,2023.12.10.,2.0,"엄마가 가고 싶다고 해서 예약해서 갔는데 자리를 따로 빼놓지도 않고 남는 자리에서 세팅해 줘서 아쉬웠어요...애매한 시간대라 나중에 보니 안쪽에 빈자리 많은데 보조 카운터 옆자리에 줘서 많이 아쉽네요ㅜㅜ스케줄을 가면 특유의 분위기를 느끼고 싶은데 그냥 평범한 레토랑과 별반 다름을 못느끼는 자리였어요.서비스도 좋지 않고, 홀매니저 중 한분 (여성분)은 손톱 매니큐어가 굉장히 화려하더라고요... 저도 요식업을 하는 사람이라 그런지 위생 개념이 없어 보이셨어요.이런건 본인 책임도 있지만 관리를 안한다는 느낌을 받게 돼요.콜라도 하나 시켰는데 빨대 하나...보통의 식당을 가도 인원수대로 주는 곳이 많은데 센스가 부족해 보였습니다. 추가로 요청하니 테이블 위에 툭 놓는 모습에도 기분이 좋지는 않았어요ㅜ음식은 맛있었지만 놀랍도록 맛있지는 않았구요, 가격 대비 서비스적인 면에서 점수를 굉장히 많이 깎아먹고 있는 식당 같아요."
이흉,21,39,3.6,2023.12.09.,3.0,요리나 디저트 가격은 좀 많이 비싼 편..오히려 술값이 평범함ㅋㅋㅋ 전체적인 맛도 그냥저냥 막 훌륭하기 보단 먹을만하게 평범한데 매장이 크고 분위기가 좋아서 모임하기 좋음
홍성호,15,16,3.8,2023.11.18.,5.0,왜.. 스케줄 하는지 알거 같은 맛과 분위기 추억남기기 좋은 장소입니다.
정대만,28,148,1.0,2023.11.09.,1.0,벚나무 해가 갈수록 짧아짐
원더풀,4,3,2.3,2023.10.09.,5.0,십만원 이상 주문시 폴라로이드도 찍어주네요 여자직원분께서 예쁘게 잘 찍어주셔서 감사했습니다 :)
park,14,34,3.5,2023.10.09.,4.0,파스타류를 추천
J,5,128,3.8,2023.10.08.,3.0,
주작 ㄴㄴ,14,23,2.7,2023.10.02.,4.0,오지게 맛있음 근데 음식이 좀 식어서 나옴(?) 뭐임
JinnyK,6,29,4.8,2023.10.01.,5.0,
류호영,2,1,4.0,2023.09.06.,4.0,
*,16,21,3.9,2023.09.03.,3.0,유명세에 비해 맛은... 가게는 예뻐요.
♡,21,31,5.0,2023.08.22.,5.0,맛과 분위기 모두 체고체고👍👍 매장 안쪽 테라스홀까지 규모있는 합정 카페 & 다이닝! 브런치카페 메뉴와 와인페어링 음식이 다채로워요~~~✨️✨️✨️
최현수,3,18,4.8,2023.07.25.,5.0,
히우쿠,22,59,3.8,2023.07.10.,4.0,나선욱 생각나요 ㅠㅠ 흑흑
이전홍,26,60,4.2,2023.06.28.,5.0,믿고 먹는 스케쥴이죠~ 주차는 불편해요 주차지원 및 자체주차장 없음
병철,18,31,4.6,2023.06.27.,2.0,예전에는 맛있었는데 왜..뇨끼 노맛..
배뚱,11,11,3.8,2023.05.22.,2.0,모임있어서 급하게 알아보고 갔는데 실망. 물컵인지 물인지 비린내 나서 다시 요청했는데도 똑같이 나고 파스타 맛은 기대이하고 피자는 냉동피자 가져다 준듯 해요분위기나 접근성 하나만 좋아요
kitch,23,38,3.0,2023.05.18.,2.0,"여기 진짜.... 파스타 제가 만들어먹는게 나아요....살면서 정말 밖에서 돈주고 먹는 파스타 중 제일 어이없던 맛이였습니다. 인테리어도 예쁘고 위치도 좋은데,왜 맛이상 요리가 이것밖에 안되나 아쉬울 정도였습니다... 스케줄 가맹점 자체를 안가게되었어요.가격 비싼거야... 맛있으면 납득이라도 하는데,야외 그 특유의 식물 비린내와 분수 비린내?도 났고,아쉬움이 많았어요 딱 Sns용임"
세탁기,18,18,2.9,2023.05.14.,3.0,맛은 있고 후식으로 솔빙먹었네요
한기식,2,2,5.0,2023.05.06.,5.0,
이수진,14,36,4.8,2023.03.24.,5.0,대 별로 안했는데 맛나게 먹었어요! 가격도 술집 안주 정도라고 생각하면 가성비 괜츈한듯???
서민경,18,47,5.0,2023.03.16.,4.0,"갠적으로 만족한 식사, 기념일에 오기 좋을듯, 가격이 아쉽"
Edmund,17,81,3.9,2023.03.15.,4.0,평타는 치는 식당
칼로리,28,121,3.6,2023.01.20.,1.0,가게는 예뻐요 특별한날 방문하면....맛 때문에 분위기 망칠듯
양,32,88,4.4,2022.11.26.,1.0,생일파티 목적이 아니시라면 비추..넘 비싸요; 요즘 파스타피자 맛집이 넘 많아서 음식 퀄리티는 솔직히 너무 실망이에요ㅠ 가격때문에 더 그런 것 같아요 가격하고 너무 매치가 안되는 맛이랄까…
음음,50,948,3.1,2022.11.24.,1.0,흠...
슈박바,7,34,3.5,2022.11.05.,2.0,모기가 너무 많아요..
곽두팔,23,64,3.8,2022.11.02.,3.0,분위기는 만점인데 음식은...가격에 비해 너무 평범한대요?
cnhjb,27,377,4.2,2022.10.18.,4.0,
es,22,39,4.8,2022.10.02.,3.0,분위기는 좋은데 예약했는데 45분 기다렸어요.........
눈사람,12,31,3.3,2022.09.27.,5.0,
yeony,11,9,4.4,2022.09.24.,5.0,음식 맛있고 분위가 너무 좋아요!!! 종종 올 장소!
yang,11,8,2.9,2022.09.16.,4.0,"분위기도 좋고 김볶, 리조또, 피자 다 맛있었어요^^!!다만 비가 오는중이었는데아직 오픈시간 10분 남았다고안들여보내준건 쪼금 아쉬웠습니다ㅜ"
ㅋㅆㅇ,37,695,3.8,2022.09.02.,3.0,
뤂,21,40,4.4,2022.08.31.,3.0,"전반적으로 맛, 분위기 좋지만 가격이 너무.."
후롤롤롤로,13,21,4.7,2022.08.24.,5.0,딴 건 모르겠고 리코타샐러드가 진짜 맛있었다 진짜.. 다이어트 중이라 맨날 샐러드만 먹었는데도 여기껀 눈 돌아가서 먹음
참트루,25,102,3.7,2022.08.12.,5.0,분위기가 좋아서 데이트나 모임하기 좋은 것 같아요. 메뉴 다 맛있고 와인도 맛있었습니다.
핑핑이,7,5,2.6,2022.08.09.,3.0,음식은 괜찮아요 가격생각안하고먹으면 근데 알바생이 넘 불친절해요 ㅎㅎ
박박,22,98,4.1,2022.08.05.,5.0,와이프랑 다음에 가야겠어요.
이지현,7,6,4.7,2022.08.05.,4.0,"분위기 최고! 김치볶음밥을 좋아하는 나로써 김치볶음밥 진짜 맛있었어요ㅠ 뇨끼 먹어보고싶어서 첫 도전으로 스케줄에서 먹었는데 크림 소스도, 뇨끼도 쫀뜩하니 정말 맛있었습니다기념일에 남자친구와 함께 와보고싶은 분위기와 맛 •_• 다음엔 피자도 먹어볼래요 🫶🏻"
숭신기,7,16,5.0,2022.07.26.,5.0,념일에 가면 좋은듯 음식도 괜찮긴 한데 내부가 이뻐서 눈으로 즐기러가기 좋은듯_!
신미예,8,17,4.9,2022.07.26.,5.0,남편이랑 결혼기념일 기념으로 왔는데 둘 다 만족하고 가요~ 가게가 너무 이뻐요
하윤,9,19,5.0,2022.07.26.,5.0,김치볶음밥 간도 잘맞고 너무 맛있어용 제가 김치볶음밥 완전 좋아해서 더 마음에 들어요
서유지,10,22,5.0,2022.07.26.,5.0,데이트 할때 좋아용~ 분위기 제가 가봤던 곳 중에 최고!!
수진,7,14,5.0,2022.07.25.,5.0,부모님과 외식 다녀왔는데 완전 고급스러웠어요 부모님도 너무 좋아하시고 다음에 또 모셔가려구요
미진,12,28,5.0,2022.07.25.,5.0,가게 분위기도 너무 좋고 사진도 너무 이쁘게 나와요~ 애들다 너무 이쁘다고 어디냐고 물어보더라그요 ㅋㅋ 음식 맛도 좋고 양도 많아서 대만족~
.,2,2,1.0,2022.06.20.,1.0,전화를 아예 안받음
솜솜라띠🐾,21,38,4.7,2022.05.16.,5.0,감사합니다 ♥︎
맛있5 아쉽3 별로1,15,17,4.4,2022.05.06.,5.0,"비슷한 가격대, 비슷한 분위기의 식당들이 근 5년간 우후죽순 늘어났는데 그중 제일 완성도가 높은 집 중 하나인거같다. 의도한 맛을 전부 느낄수 있었다. 기분 좀 내고싶은 날에 또 와볼만한 집인것 같다."
호호,7,9,1.4,2022.05.03.,1.0,우니스테이크는 절대 먹지마세요..우니랑 스테이크는 절대 어울리지 않습니다.
냠냠,1,1,5.0,2022.05.02.,5.0,3번째 방문~ 음식 맛은 그전에 가봐서 알기에 맛있고 분위기도 좋아요~ 생일이라 언니들과 함께한 시간 ~
미디,1,1,5.0,2022.04.26.,5.0,좋아요
sera,31,139,2.6,2022.04.17.,4.0,사장님이 사업마인드 투철하신듯 직원들 서비스태도만을 우선순위로 보신듯너무 친절해요 ㅜ 어느지점이든 청담점이랑 다르게 런치타임 있는게 좋아요~~
맛도리,36,161,3.3,2022.04.11.,3.0,분위기도 좋고 맛도 있는데 재방문은 안할듯..ㅠㅠ
밍넛,40,287,3.1,2022.04.06.,1.0,분위기만 봐줄만하고음식은 절레절레
🙈,39,384,2.9,2022.03.13.,4.0,분위기도 좋고 디저트도 맛있어요
아는돼지,14,16,4.3,2022.03.04.,3.0,분위기 좋아요. 김치볶음밥 맛있음
루루,18,31,4.5,2022.02.27.,5.0,단호박 리조또 진짜 맛있었움 ㅠㅠㅠ
전대찬,1,1,5.0,2022.02.24.,5.0,
청담만세,2,4,4.5,2022.02.16.,4.0,음식이 좀 많이 나오면 좋겠다 싶기는 합니다 그치만 기분내면서 놀기에는 딱@@
김현지,26,95,2.8,2022.01.28.,2.0,"저번에 갔을 딴 양많고 비싼집 지금은 양적고 비싼집. 아무리 합정이지만 가성비가.,"
