user_name,user_rank,num_response,user_star,time,rating,content
쩝쩝박사,4,25,4.0,2024.03.13.,5.0,
ALLFORYOOOU,3,2,4.0,2024.02.24.,5.0,신메뉴 리프레싱 자몽 캐모마일 맛있어요
흐어어엉,24,54,4.2,2024.02.04.,5.0,"친절한 직원들, 차분한 분위기왁자지껄한 홍대입구에서 조금 떨어져 시끄럽지 않아서 좋았습니다"
이형원,1,1,5.0,2024.01.23.,5.0,
홍홍홍,3,2,2.5,2024.01.21.,4.0,
.,4,4,4.3,2023.12.08.,5.0,
yang stephano,7,4,4.5,2023.12.04.,5.0,
그린그린,70,772,4.2,2023.10.30.,3.0,미키가 올라간 라떼를 먹어보아따. 자세히 보면 보인다
⠀⠀,33,258,3.5,2023.10.06.,3.0,분위기도 좋고 매장도 깔끔해요❕
유빈 HYB,5,23,3.7,2023.09.27.,3.0,
스님,58,723,3.9,2023.09.01.,4.0,날씨조은날 2층 단체테이블에 앉아있으니조아요
smt,7,10,4.4,2023.08.10.,5.0,음료가 맛있고 직원분들 친절해요
온화한바나나,10,29,3.4,2023.08.10.,5.0,깔끔 좋아요 무난해서 굿
나다,24,63,3.6,2023.07.27.,3.0,블랙핑크 그만 틀어주세요.. 스피커 음량을 줄이시던가.. 아님 스피커를 바꿔주세요.. 귀 피곤해요..
윤소연,2,2,5.0,2023.07.10.,5.0,
기리기리,26,96,4.5,2023.07.09.,5.0,시설이 좋은 건 아니지만 홍대 다녀갈 때 들리기 괜찮아요.
김철곤,46,256,5.0,2023.06.27.,5.0,
Mj,35,963,4.0,2023.04.10.,4.0,
아름다운봄,36,400,4.7,2022.12.12.,5.0,어딜가나 별다방
예아,35,302,3.3,2022.10.22.,4.0,
도윤,10,11,4.5,2022.10.01.,5.0,파트너분들이 친절하셔서 좋아요
.,7,10,3.2,2022.09.09.,3.0,딸기 아사이 레모네이드 맛있음
송파 고현정,45,422,2.7,2022.07.05.,3.0,요즘 파트너분들은 그다지 친절하지 않네요. 굳이 바쁜 티 내면서 무뚝뚝한 대신 매장은 깨끗하고 무난해요~
김현주,2,6,5.0,2022.05.03.,5.0,
빡세,24,129,4.7,2022.03.16.,5.0,직원분들이 친절하고 좋아요
._.,33,475,4.6,2022.02.15.,5.0,
감자만두,17,34,3.9,2021.12.28.,5.0,직원분들이 굉장히 친절하세요! 자리는 코로나 때문에 그렇게 많지는 않아요
희야,29,218,4.6,2021.11.05.,4.0,좋아요
Brett,24,150,4.5,2021.08.19.,5.0,친절하고 좋아요
312,52,359,3.6,2021.08.07.,3.0,홍대에 위치한 평범한 스타벅스.매장이 넓고 쾌적한 편.1층보다는 2층에 좌석이 더 많고 1층 바깥쪽은 작은 테러스가 있어서 날씨 선선하면 바깥구경하면서 먹기 좋을 듯! 대체적으로 깔끔하고 직원분들도 친절한편입니다.그리고 짱짱 시원해서 추위 잘 타시는분들은 겉옷을 꼭 챙기시길!
정찰병,28,112,4.3,2020.11.22.,5.0,홍대에서 가장 싼 커피집이 아닐까?
카르페디엠,11,10,4.1,2020.08.21.,5.0,엄청친절!! 기분이 좋아지네요
글렛,18,49,4.0,2020.08.17.,5.0,스탭 매우 친절
입맛까다로운쩝쩝박사의정직한리뷰,22,57,3.3,2018.12.07.,5.0,남자 알바분 정말 친절해용!
얼룩말궁뎅이,20,40,2.8,2018.11.18.,5.0,좋아요
ㄱㄱㅑ,63,"1,218",2.9,2017.12.16.,3.0,
