user_name,user_rank,num_response,user_star,time,rating,content
🌱,3,2,3.0,2024.04.21.,4.0,가격이 엄청 싸지는 않음근데 핸드드립이니까..맛도 꽤 있긴함 아인슈페너 크림은 단데 커피는 써가지고...섞어서 먹으면 낫배드크로플이 진짜 맛있었음아이스크림 올려 먹어도 맛있을듯
은행나무,10,8,3.0,2024.04.20.,3.0,커피 맛있다고 해서 갔는데 잘 모르겠음 아몬드블룸… 크림은 엄청 달고 커피는 애매하고 둘이 따로노는맛 아몬드는 향만 넣었나봄ㅠㅠㅋㅋㅋㅋ 같이간 지인은 아인슈페너 시켰는데 내거랑 맛 똑같음… 크로플은 맛있었음 전체적으로 인스타카페 느낌인데 카페내부에 자리는 많은 편
조권호,6,10,4.7,2024.03.25.,5.0,
영,5,112,3.2,2024.03.24.,5.0,사장님이 우리 동네에 가게 차려주셨으면 좋겠다
1,9,8,4.5,2024.03.05.,5.0,아인슈페너랑 크로플 맛있구 친절하십니다 ㅋㅅㅋ 맘에드는 카페
펭킹맘,5,5,4.4,2024.02.29.,4.0,맛은 나쁘지 않지만라떼 비엔나랑 아몬드 블룸? 먹었는데 둘다 달아서 조금 물렸어요 약간 멀미맛이랄까그래도 분위기랑 아늑한 느낌이 좋았음
SSun.,79,"1,706",3.9,2024.02.10.,4.0,아인슈페너 라떼 둘다 존맛!아인슈페너 거품이 제대로 쫀쫀함분위기와 매장 음악 굿
D,22,68,4.3,2024.02.07.,3.0,굳이 찾아올만한 특징이 없음 무난~
와구마구,15,23,3.7,2024.01.22.,4.0,인테리어 괜찮고 커피 맛이 유독 좋은 건 잘 모르겟음
할말많은데참음,41,232,3.4,2024.01.20.,1.0,사장님 추정되시는 분 굉장히 친절다만 아메리카노 기준 맛 그냥 그럼말 소리가 퍼지는 공간인가? 너무 시끄러움여자 직원 불친절
냥복쟁이,66,292,4.1,2024.01.12.,5.0,카페 분위기 좋고 커피랑 디저트가 맛있었음
뚜,1,10,5.0,2024.01.05.,5.0,
엱,41,200,4.4,2023.12.16.,5.0,"이집 크림 잘한다…,,,,,,여기가 1인 1크로플 한다는 크로플 맛집 맞나유내부도 좌석 많고 적당히 조용하고 여유로워서 아주 좋앗어요"
애플민트,34,303,4.7,2023.12.03.,5.0,아인 슈페 너도 맛있습니다
yj,4,2,2.5,2023.11.30.,1.0,"9시 반이 마지막 주문이라는데 저희가 9시 넘어서 들어갔어요. 브라운치즈크로플이 맛있다고 해서 찾아간거라 그걸 시켰고 친구랑 둘이 있는데 밤 9시에 커피 마셨다가는 잠을 못잘것 같아서 음료를 하나만 시키려고 했는데 (커피외엔 옵션 별로 없음) 카운터에서 1인 1음료를 시켜야된다고 하시더라고요. 자영업 해본 사람으로써 1인 1메뉴 인정하는데, 10시에 매장을 닫는데 9시가 넘어서 들어간 손님들한테 (좌석도 많이 남아있었어요) 음료보다 비싼 디저트+음료시키는 손님들에게 1인 1음료 시키는건 좀 아닌것 같더라고요. 물론 식당마다 카페마다 주인분이 정해놓은 규칙이나 뭐 그런게 있는거지만 우리가 토요일 오후2시에 들어간 것도 아니고요. 브라운치즈크로플이 맛있었지만 차는 맛이 없었고 돈 아까워서 굳이 돌아가진않겠네요"
Hyun,21,43,3.4,2023.11.26.,5.0,아인슈페너는 요기 👍
ㅇ,12,11,4.5,2023.09.16.,4.0,"커피는 맛있음평일 저녁 기준 직원들은 그렇게 친절하진 않음ㅋㅋㅋ 대놓고 불친절까지는 아닌데 표정이 일하기 싫어보였음ㅋㅋ 무뚝뚝과 퉁명의 그 사이 어딘가... 커피가지고 올때도 먹는방법 적혀진 플라스틱 바 같은거 있는데 그것도 실수인지 아님 그냥 신경을 안쓰는건지 쾅 내려놓는거보고 일이 하기 싫은갑다 함. 이런거 민감하신 분들은 비추고, 직원은 내알빠 아니고 커피가 중요하다 하시면 한번쯤 가볼만함. 비엔나라떼 맛있었음 크림 많이줌ㅎㅎ"
안알랴줌,35,232,3.4,2023.09.03.,3.0,크림 원툴의 기성품 음료와 디저트를 파는 곳.
