user_name,user_rank,num_response,user_star,time,rating,content
라멘처돌이,54,374,4.4,2024.04.17.,5.0,한국에서 먹은 화덕피자 중 원탑이었슴다 소스는 향긋하고 섬세한 맛이었고 치즈도 신선했어요 도우도 쫄깃쫀듯하니 맨날 먹고싶네요.. 다만 파스타는 평범
음식에 단 맛 나는 거 싫어하는 사람,28,67,4.7,2024.04.15.,5.0,꼬또 에 치폴라 / 디아볼라 / 나폴레타나(엔초비피자) 인데 이번에 엔초비 피자먹고 너무너무 취향이었어요!!!!엔초비에 케이퍼들어간다해서 생소했는데 진짜 맛있었던🥹꼬또 에 치폴라는 생양파가 챱이 아니라...절케 되어있어서 양파러버였지만 먹기 하드했어요...아련... 그래도 화덕피자 + 계속 따듯하게 먹을 수 있어서 좋아요!담에 또 먹는다하면 나폴레타나/ 디아볼라 일케 시킬거 같아용..ㅎ항상 디아볼라는 시키게되더라구여
Julie Kim,40,99,3.9,2024.04.03.,4.0,"맛있습니다.도우가 찐 나폴리 피자 도우! (+워머로 끝까지 따뜻)파스타도 맛있어요. 나이스 알덴테.개인적으로,마르게리따: 존맛탱. 나폴리 그 자체.고르곤졸라: 찐 고르곤졸라의 꼬릿함.멜란자네: 괜찮음.엔초비 오일 파스타: 짭짤하니 존맛탱.바질 페스토 크레마: 호불호 없을듯한 맛.DOC 등급 프로세코도 드라이하니 괜찮습니다.벚꽃 맛집이라 만개할 때 가면 좋을 것 같아요!"
화요,24,90,3.3,2024.03.30.,4.0,치즈의 신선함과 토마토의 풍성한맛괴 산미가 인상적이다
홍정수,2,2,5.0,2024.03.29.,5.0,맛나요 대애박 맛있는집
두레렉,11,15,2.9,2024.03.18.,1.0,이탈리안이랑 기대하고 먹으러 감.맛은 솔직히… 없습니다 나폴리 오리지날이라기보단 코리아패치된? 약간 삼류피자집에 가까움요특히 파스타는 00년대 이대앞 한국식 파스타집을 연상케해서 깜짝 놀랐습니다 ㅎㅎ
횸횸횸,16,33,3.8,2024.03.12.,4.0,개줜맛집… 해외에서 1n년간 살았는데 그리운 맛을 한국에서 찾을 수 있었다는게 감동… 대신 가격이 겁나 쎔.. 그래도 월급 타면 돈 모아서 꼭꼭 갈거임(루꼴라 프루슈토 피자랑 버섯4개 들어간 크림파스타 진짜진짜 추천)비싸서 별하나 뺌맛은 5점!
ㄹㅇ루다가,31,105,3.5,2024.02.24.,3.0,개인적으로 기교 부리고 맛이 좀 나대는 미국피자를 좋아하는데 먹어본 화덕 피자중에 꽤 맛있게먹었음 바질어쩌구 파스타도 바질향 잘느껴지고 생바질도 있고 좋음
이집은망하면안돼,10,20,4.3,2024.02.15.,5.0,
이지우,4,2,3.5,2024.02.14.,4.0,맛있고 분위기 좋아요. 점심시간에 웨이팅 많으니 서두르는 게 좋습니다
꼬로록,45,200,4.6,2024.01.24.,5.0,피자 맛있어요~ 얇지만 생각보다 큼토마토소스가 새콤하구 다른 피자보다 물이 많아여 파스타 양적다그래서 두개시켯는데 남았어요 엔초비 파스타 좋아해서 먹어봤고 둘다 괜찮은 맛이었어용논알콜 맥주 있어서 좋았습니다 ㅋ
^♡^,25,80,4.0,2024.01.22.,4.0,피자 맛있어요!파스타는 별로라 별 하나 뺍니당😭담엔 피자만 두 판 먹으려구요ㅎㅎ
💍,25,43,4.5,2024.01.19.,5.0,마쉿다. 양이 적은데 오히려 좋았다
구이구,46,158,4.9,2024.01.14.,5.0,"이탈리아에서 먹던 피자(안가봄ㅋ) 맛을 합정동에서 느낄 수 있다는 소문이 자자해서 왔슴니더,,, 🤤🍕,,"
mi i,14,20,3.8,2024.01.05.,4.0,이태리에서 먹었던 피자랑 싱크로율 제일 비슷한 곳. 쫀딕하고 넘 맛있어요. 매장은 좀 작지만 뭔가 이태리에서 가본 가게랑 비슷한 분위기라 이태리가 그리울때 가는 곳. 안 먹어봤으면 한번쯤가볼만한 곳.
