user_name,user_rank,num_response,user_star,time,rating,content
늘,31,117,4.1,2024.04.11.,5.0,매쉬드포테이토가 살짝 쫀득하면서 부드럽고 진짜 맛있네요. 살짝 느끼할때쯤 양파피클 먹으니 딱 좋아요.스프라이트 제로만 음료에 추가 되었으면 좋겠어요.다른데 수제버거 못먹겠네...특히 집근처 수제버거 체인점이랑 너무 비교되네... 가격이 싼건 아닌데 가성비 있다고 느낄정도로 맛있고 서비스도 좋아요.5.2.두번째 방문.베이컨치즈가 포테이토보다 먹기 편함.
독고한 미식가,12,23,3.9,2024.03.13.,2.0,맛 없었어요 기름이 많은 음식은 기본적으로 엄청 맛있어야 된다 생각하는데 소스도 잘 안어울리고 느끼하기만 했습니다
ㄹㅇ루다가,31,105,3.5,2024.02.12.,4.0,매쉬드포테이토 버거 먹었구 타 수제버거와 비교하여 엄청 자극적이지 않은 맛이라 되게 술술 들어가는느낌?? 매쉬드포테이토도 부드럽고 맛잇어요 갈릭감튀는 자극적인데 꿀맛. 벅벅이랑 비교하면 임팩트는 덜한데 덜 부담스러움딱하나 아쉬운점은 먹기가 불편하고 매쉬드포테이토의 포테이토밀도가 어딘 높고 어디는 낮아요
맛집일까요 아닐까요,13,14,3.1,2024.02.07.,2.0,"평일에 가서 웨이팅 없었어요!수제버거 처음 먹어보는데느끼해서 다 못 먹었어요버거는 버거킹 불고기 와퍼가 더 맛있는 거 같아요,,갈릭 감자튀김은 소스가 뿌려졌는데 바삭하고 맛있었습니다!갈릭 감튀 추천!장사의신 보고 멀리서 찾아간 건데 아쉬웠습니다.근처에 사시는 분들은 괜찮을 거 같아요"
ㅇㅇ,3,5,4.2,2024.02.07.,5.0,처음에는 평범한 느낌이였는데 집에 오니까또 먹고싶다...
임영호,2,1,5.0,2024.02.05.,5.0,햄버거를 좋아하지 않지만 우연히 들린집인데 괜찬네요 맛잇습니다 ㅎㅎ ^^
노맛은 죄악,8,12,4.1,2024.02.03.,5.0,굿
미식가,4,2,4.0,2024.01.29.,3.0,맛은 무난해요. 매쉬드는 수제버거에 감자샐러드 들어간 맛이에요. 좀 싱겁다는 느낌이 있을수도 있어요. 다만 사장님이 일을 잘 못하시는 느낌입니다. 음식이 여러 테이블에 한번에 나옵니다. 그러다보니 한번에 손님이 빠지고 한번에 다 들어와요. 타이밍 안맞으면 오래 기다려야돼요. 또 오래 기다리다보면 이렇게까지 기다리면서 먹을건 아닌거 같다 라는 생각이 듭니다. 타이밍 맞아서 바로 먹으면 괜찮은데 오래 웨이팅하면서 먹기엔 무난해요.그리고 사장님 오픈 주방인데 안에서 옷 벗고 입고 그러면 먼지 날리지 않을까요..?
원범,28,85,3.1,2024.01.13.,5.0,"가게내에는 음식냄새가 안빠져나가서 문을 열어서 환기시켯구  음식맛은 엄청 훌륭햇습니다 잘먹엇습니다 매쉬드버거. 베이컨치즈버거, 치즈프라이"
.,17,31,4.0,2024.01.08.,4.0,이제까지 다녔던 모든 수제버거 집 중에 원탑.갈릭불고기버거 처음 먹었을 때 충격 먹었음.가격은 살짝 아쉽.(추가) 아니 저때도 가격이 아쉬웠는데 가격이 또 올랐네....
