user_name,user_rank,num_response,user_star,time,rating,content
뇽뇽이,13,21,3.9,2024.04.10.,5.0,케이크가 너무 맛있어요! 크림과 떡의 조합도 너무 좋고 너무 달지 않아서 좋았어요!
뿅,22,122,4.2,2024.04.08.,5.0,목만 안 막히면 커피 대신 케익만 여러개 시켜먹고싶음 흑임자만세
머여..왜여..,66,657,4.3,2024.04.07.,3.0,아이스 아메리카노만 마셨고 커피는 평범합니다
귤이나까라,11,8,4.4,2024.03.17.,4.0,콩가루라떼 ★★★★★이것만 매일매일 먹고싶다. 인절미맛이 진-하게 난다. 진짜 맛있다 진짜...유자설기케이크 ★★☆기대했는데 내 취향은 아니었다. 초코 코팅을 별로 안 좋아하는데 겉에 유자초콜릿+땅콩조각으로 코팅되어있다.흑임자롤떡케이크 ★★★★☆이거 먹고 흑임자 디저트에 눈 떴다. 가운데에 있는 흑임자크림치즈의 비중이 커서 떡 다 먹고나면 크림치즈만 남는데 좀 느끼하다고 느낄 수 있다.그리고 절대 냉장보관하지 말자...... 퍽퍽푸석.............
박평식,10,16,4.2,2024.03.09.,3.0,"그럴싸한, 친숙한, 그러나 과도한"
야호,34,107,4.2,2024.02.03.,5.0,일단 좌석이 적당히 많고 소음크기나 노래소리가 모두 다 맘에 들어요.흑임자떡롤케이크랑. 고구마설기먹었는데 흑임자떡롤케이크 진짜 할미입맛들이 미쳐할 맛이에요!진짜 너무 맛있어요💝
먹둥이,44,434,3.8,2024.02.03.,3.0,그냥 상상하는 그 맛보다 좀 아쉬운..?슴슴하네요비주얼은 이쁨
쥔님,31,70,4.8,2024.01.23.,5.0,빵떡순이는 이곳에 눕습니다 퓨전 너모 좋고요~~
무우,31,106,4.2,2024.01.20.,5.0,떡 좋아하는 분은 시루케이크에서 떡케이크 드세요. 넘 맛있고 선물용으로도 딱이에요👸🏻
Vajiräk Carl Coux,64,380,3.6,2023.12.23.,5.0,"비건분들과 식사하는 자리에 디저트이자 선물로 사갔더니 모두 좋아하셨습니다. 맛도, 모양도 훌륭한 떡케이크입니다."
쩝쩝,6,10,4.2,2023.12.03.,4.0,흑임자 좋아하신다면 꼭 드셔보세요!
나무,3,1,5.0,2023.11.26.,5.0,"인생떡케이크 집이에요 백설기하고 크림이 조화롭고 커피도 맛있어요 사장님도 친절하시구,,,, 주기적으로 방문하고 싶을정도로 만족합니다 !"
나나데이,33,156,4.3,2023.11.10.,5.0,맛있습니다!!!! ㅎㅎ 다음엔 커피랑 같이 시켜보려구요
설입,31,196,3.6,2023.10.16.,3.0,전메뉴 다 먹어봤어요 엄청 맛있지는 않았어요
맛있 맛없 친절 불친절 리뷰러,27,126,3.6,2023.10.08.,5.0,흑임자사랑입니다
친절한두부,28,259,3.3,2023.09.22.,3.0,최근에 재방문했는데 맛이 변했어요 떡은 푸석푸석하고 커피도 별로고...
멍멍,21,158,3.6,2023.09.17.,5.0,떡케익이 이렇게 맛있을 수가 있구나 싶은..
히동이,35,124,3.8,2023.07.05.,4.0,작고 아담한 가게고 그냥 케이크가 아니라 떡케이크라 특별해요.
MK,47,237,4.6,2023.06.18.,5.0,세상에서 제일 맛있는 백설기 떡임. 원래 백설기 안 먹는데 백설기가 이렇게 쫄깃하면서도 부드러울 수 있는데 놀람. 순우유롤떡과 흑임자롤떡 강강강추!!!!!!!!!특히 순우유롤떡 안 크림은 천상의 맛
소다쿠키,17,40,3.9,2023.05.28.,4.0,크림이 정말 맛이ㅛ고요 먹고나서 속은 좋지 않습니다그래도 감수할만한맛
~@m,9,14,4.1,2023.05.06.,5.0,콩가루라떼랑 말차케이크 먹었는데 맛있어요 :D
나나야에나,43,180,3.9,2023.05.03.,4.0,부드러운 떡케이크 맛나요 ㅎㅎㅎㅎ  사이즈는 작어요 가격은 조금 비싸오 그래도 맛나요만점이지만 가격면에서는 ㅋㅋㅋ아쉬워서 ㅋㅋㅋ재방문의사 있어요
ㄱ유진,7,12,4.9,2023.04.29.,5.0,오랜만에 가도 변함없는 맛과 퀄리티.. 한 때 일주일에 3-4번을 사 먹을 정도로 좋아했던 내 인생떡디저트
성은,2,1,5.0,2023.04.18.,5.0,
츄라이츄라이,18,55,4.1,2023.04.10.,5.0,맨날먹구싶당
혼,5,10,3.6,2023.03.24.,5.0,친절하고 케이크 진짜 맛있어요
철v,4,4,4.0,2023.01.10.,5.0,
흐르는 강물이 나를,9,16,4.1,2022.12.06.,5.0,너무맛있어용! 마카롱최고에요 흑임자두… 근데 키우시는 화초는 맨날 죽어요 ㅜㅜㅋㅋㅋㅋ
마리오,29,181,4.7,2022.11.06.,5.0,맛은 진정한 원탑. 그러나 가격은...
박소연,26,196,4.4,2022.08.26.,4.0,신기하고 맛있었어요 커피랑 먹기도 좋았고 만족합니다
타락천사진수총각,62,359,5.0,2022.08.06.,5.0,여기 시루케이크 맛이쪄용. 진수 광광 우럮땅 >< 다만 가격대가 좀 있쪄용. 수지니 누나 사드리구 시퍼서 진수 지갑 털어쪄용. ㅠㅠ
끼룩끼룩,6,6,3.7,2022.08.04.,5.0,죤맛탱
룰루,2,1,2.0,2022.06.26.,2.0,포장하시구 먹을때 까지 1시간 이상 걸리는 분들은 진짜 비추... 흑임자 롤은 쫀득 했지만 다른 떡들은 진짜 퍼석 그자체. 기대를 많이 해서 그런지 진짜 실망이었음
물,58,577,3.4,2022.05.15.,3.0,공간이 너무 띠끄러워여금방품절되는듯 저녁전 방문해도 몇개안남았어요
J:,31,109,3.8,2022.05.12.,5.0,오랜만에 방문했는데 변함없는 맛! 확장이전해서 이제는 안에서도 먹고갈 수 있다.
기록,21,111,3.6,2022.05.12.,4.0,떡보단 크림이 맛났다
소문난맵찔이,25,45,4.4,2022.04.04.,5.0,다른 케이크처럼 사르륵 녹는 맛은 아니지만 쫀득하고 맛있어요! 모양이 잘 흐트러지진 않지만 먹을 때 조금 불편할 순 있어요 그래도 짱맛
OMG,29,117,3.6,2022.03.29.,5.0,우연히 들어갔는데 흑임자 케이크 존맛...음료는 그저그렇습니다! 떡케이크 전문!
.,41,526,3.8,2022.03.26.,5.0,존맛
MJay Ko 고 민정,89,"8,538",3.3,2022.03.20.,3.0,Rice Cake
