user_name,user_rank,num_response,user_star,time,rating,content
쨔잔,14,13,3.2,2024.04.18.,5.0,인테리어도 이쁘고 수제버거인데도 가격이 쌉니다. 맛도 있습니다.가격 맛 인테리어 다 좋네요
ㅇㅇ,16,27,3.8,2024.02.18.,5.0,싱싱하고 좋은 재료로 갓 만든 버거. 맛도 가격도 약간 인앤아웃같음. 개인적으로 빵이 최고라고 생각합니다. 주기적으로 방문하는 최애 버거집💗
☯️,3,3,5.0,2023.12.05.,5.0,직원 분도 친절하신데 ㄹㅇ 존맛꼭 드셔보시길•••
건강한 감자,21,38,3.3,2023.11.19.,5.0,버거를 막 좋아하지는 않는데도여기는 맛나서 자주 감
그린그린,70,772,4.2,2023.10.30.,3.0,학생 누낌 내고 싶을때 ㅎㅎㅎ
쨍하고해뜰날,42,622,4.5,2023.10.07.,5.0,사랑합니다.
츪믊즒,17,30,3.6,2023.10.05.,5.0,사랑해요 식스티즈 없어지지 말아주세요.............. 졸업해서 자주 못가지만 일부러 먹으러 갈때도 많아요😭
아르마다,34,312,4.9,2023.10.04.,5.0,눈도 가격도 즐거운 수제버거 맛집
🙈,39,384,2.9,2023.09.19.,3.0,맛있다아
준라일리,16,29,3.8,2023.09.19.,5.0,맛있고 친절하세용👍
얌얌,23,76,3.6,2023.09.12.,4.0,블치즈버거는 정말 기본에 충실한 맛으로 맛있다! 감자튀김에 치즈 추가해서 느끼할 줄 알았는데 안느끼했음~!
맛집만 리뷰남김,11,13,5.0,2023.09.10.,5.0,홍대에서 버거 먹고 싶다면 무조건 가는곳!
정말 좋거나 정말 별로거나,6,10,5.0,2023.08.31.,5.0,(차가운)파인애플과 햄버거가 이렇게 잘 어울린다니쉑쉑버거보다 맛있는 쉐이크
SOL,100,"4,533",3.3,2023.08.22.,3.0,"가야는이유 : 학교 근처 버거 한끼로 좋은안가는이유 : 가격을 얹히고 더 나은 질을 선택할듯더블치즈버거셋 : 치즈뿐만 아니라 패티도 늘어나 든든하지만 조합이 좋거나 각각이 매력적이진 않았던, 프렌치후라이는 좀 짰고 음료 리필 가능한 점은 좋은"
하이,5,6,1.7,2023.08.21.,5.0,내 기준 가장 잊히지 않는 햄버거결론: 매우 맛있다. 친절하다.
냠냐미,5,4,3.8,2023.07.08.,5.0,진짜 맛있음 최애햄버거더블치즈가 진짜 최고임
드디어,34,152,3.6,2023.07.07.,3.0,애매하다
동탄남,17,48,2.8,2023.07.01.,4.0,맛있고 친절해요
케찹,10,26,4.0,2023.06.29.,5.0,
체리마루,16,35,4.4,2023.05.24.,5.0,좐맛엘비스 닮은 귀염둥이 인형이내 버거 자꾸 야려서 불편한거 빼곤 갓벽함
홍대맛집찾기,7,6,4.3,2023.05.14.,5.0,한국의 IN n OUT버거는 바로 여기입니다.
꼬꼬마,45,"1,095",3.9,2023.03.21.,3.0,가성비 별로 찾아갈정도는 아닙니다
후라이언,17,35,3.4,2023.03.11.,3.0,무난무난 가성비감자튀김은 맥도날드 맛남
nori,28,66,4.7,2023.03.11.,5.0,
추석,29,80,3.2,2023.03.02.,5.0,치즈버거가 이렇게 맛있을 수 있다니 처음 알았다ㅠㅠ 직원분도 친절하시고 고기랑 치즈가 입안에서 막 어우러지는데 존맛탱.
뉴뉴,15,67,2.5,2023.02.13.,2.0,밍밍하고 싱거움
푸다뱅,75,933,4.2,2023.02.05.,5.0,홍대 근방 버거집 중 가장 만족도가 높은 식스티즈👍
돌날,2,18,4.6,2023.01.07.,5.0,
산딸기,12,18,4.6,2022.12.30.,5.0,진짜 너무 맛있어요.. 홍대버거 넘버원탑
격랑,33,94,3.4,2022.12.07.,5.0,"본에 충실한 맛.자극적이지 않고, 예상 가능한 맛이나 적어도 기대나 예상을 배반하지 않음.번이 남자 손바닥만하니 아주 크진 않음. 음료 리필 가능."
sage,21,35,3.4,2022.10.11.,3.0,다른 버거맛집이 문을 닫아 검색해서 대신 가본 버거집인데요. 맛도 질도 양도 만족도에 크게 미치지 못했네요. 버거의 맛은 페티의 육질과 버거빵의 조화인데 전혀 없어서 고기질감을 느낄수 없구요. 맛이 별로라 양이 적어서 다행이긴 한데 가격에 비해 가성비가 전혀 없는 단점이네요. 감튀도 흔하디 흔한… 아무튼. 전체적으로 별로라고밖에 ㅠㅠ
