user_name,user_rank,num_response,user_star,time,rating,content
최희두,14,213,3.2,2024.04.08.,4.0,회식장소 친목모임 닭갈비
람쥐의 도톨희를 뺐지마오,32,98,3.3,2024.04.04.,1.0,별점 조작
방참우,31,73,4.0,2024.04.02.,3.0,생각보다 평점 높아서 놀랐어요. 닭갈비가 맛있긴 한데 다른 가게랑 비교해서 큰 차이가 없었습니다. 미니 부침개 부쳐주시는 건 너무 좋았어요.
쩝쩝박사,14,17,3.1,2024.03.29.,4.0,치즈 닭갈비 먹고싶으면 생각나는 집이에요 치즈양도 많고 일단 비쥬얼 압살 원래 닭갈비는 자극적인 맛으로 먹는 사람으로써 매우 만족쓰
5_4_1_2,11,17,4.3,2024.03.26.,5.0,"시작부터 기름에 전 구워쥬는것부터가 합격.,, 외국인 찐맛집인것 같더라구요? 숨은맛집~~~"
x,11,20,3.9,2024.03.07.,4.0,그냥 무난한 닭갈비집. 직원분들은 친절하세요!
사회인,31,186,2.6,2024.02.19.,3.0,맛있긴한데 너무 짜고 매워서 자극적이에요데려가는 지인들마다 맵고짜다고함..미니부침개 주는건 좋은데 그 외에는 모르겠다재방문은안할듯리뷰이벤트라도하나 4점후반대정돈 아니고 한 3점짜리인듯함
천예진,2,1,3.0,2023.10.17.,3.0,손님도 외국인 직원도 외국인. 그래서 맛이 조금 어려움. 단맛 짠맛 매운맛이 다 조금씩 부족한 느낌. 그래도 접근성은 좋고 가게가 넓고 쾌적함.
맛집좀가자,16,14,3.6,2023.09.12.,1.0,리뷰 왜 삭제함? 정도껏 맛없어야지. 너무 맛 없어서 아직도 기억남는 닭갈비집. 인생에서 먹은 닭갈비 중에 최고 맛없었음. 별점 4.8 절대 말안됨. 리뷰 삭제하면서 별점 관리하는 집
4점이상은만족함,30,312,4.1,2023.09.10.,4.0,무난무난하게 맛있는 정도에요
치즈토끼,33,259,4.4,2023.08.24.,3.0,무난무난 괜찮았습니다관광코스로 소문났는지 외국인이 많았어요
맛있으면짖는헬리콥터개,13,22,3.5,2023.08.19.,1.0,초심 잃은 맛... ㅠㅠ
YoungLok,8,20,3.9,2023.08.15.,4.0,맛있음재방문의사 있음
예컴,9,12,5.0,2023.07.18.,5.0,꼭 치즈로 드세요. 진짜 진짜 진짜 오랜만에 제대로 된 닭갈비 먹음. 볶음밥까지 완벽 철판? 무쇠판? 암튼 다름. 제대로 찐임.
장정호,3,1,5.0,2023.07.01.,5.0,서울시 마포구 서교동 364-22 번지 1층너무 맛있어요!
Mardin✨김샛별,8,6,3.8,2023.05.22.,5.0,This place is bomb!!! 🔥The best 닭갈비 I have ever had. And I have taken so many friends there. They have all loved it. Please keep the quality going☺️ Cant wait to go back 😌
지구인,8,7,5.0,2023.05.09.,5.0,외국인들도 많이 찾는 맛집이더라구요 ㅎㅎ 매콤한 양념 소스가 중독성있고 재료도 푸짐해 맛있어요!
초이,23,31,3.2,2023.05.03.,5.0,양도 많고 맛있게 잘 먹었슴다ㅎㅎ
별점조작시 말없이1점,41,391,2.9,2023.04.14.,1.0,
만듀만듀,21,26,3.8,2023.04.10.,5.0,두세번 방문한 닭갈비 맛집아쉬운점은 닭갈비 다 먹고 볶아먹는 볶음밥이 닭갈비양념이 아닌 고추장같은 소스에 비벼주는데 그닥 맛있진 않다.
푸다뱅,75,933,4.2,2023.04.08.,5.0,자리를 옮기고 닭갈비 폼이 더 좋아진 신미경 닭갈비입니다👍
믕,32,131,3.2,2023.03.15.,4.0,얼마나 별로길래.. 반응들이;; 한번 가보고싶군..
훔냐,29,87,3.0,2023.02.22.,3.0,식전에 미니 전이 나와서 좋았어요 외국인 입맛에 맞춰서 좀 안맵게 나오는 것 같아요! 막 엄청 맛집은 아니지만 맛없지도 않음 무난하게 맛있어요 특히 볶음밥이 맛있었음
민,33,139,4.1,2023.02.14.,4.0,난... 좋던디... 식전 부추전 나오는 게 제일 좋았음근데 보통 맛으로 먹으면 살짝 밍밍함
,2,1,5.0,2023.01.04.,5.0,
뚜벅이,21,"1,026",4.3,2022.12.29.,5.0,
파워I,24,50,5.0,2022.11.18.,5.0,맛있어요!
🐰,2,1,1.0,2022.10.31.,1.0,
카톡,10,19,3.4,2022.08.21.,5.0,맛있어염
강민서,12,117,4.8,2022.08.02.,4.0,
강수빈,7,39,3.6,2022.06.10.,4.0,
.,8,13,4.5,2022.06.09.,4.0,재방문 의사 있음 엄청 특별한 맛은 아니었지만 깔끔했고 매장도 넓고 깨끗했음
김진황,12,29,4.8,2022.06.07.,5.0,친절한 직원들과 맛난 음식과 반찬들에 작은 행복을 느낄 수 있는 곳입니다.
맛집탐방,16,17,3.9,2022.05.22.,5.0,맛있음. 우연히 들어가서 먹고 매우 만족.
ㅈㅎㅈ,21,61,5.0,2022.03.07.,5.0,오랜만에 먹은 닭갈비. 식당도 깔끔하고 닭갈비도 괜찮았네요.
기리,32,156,3.2,2022.03.01.,2.0,무난하고 깔끔한 추억의 홍대
진실신지츠,39,411,4.0,2022.01.28.,4.0,전 맛잇음 몇년전인데 대기많앗지만 나름 맛잇엇음
문준호,2,1,5.0,2021.12.12.,5.0,식전에 나온 전이 쫀득해서 맛있었습니다. 바로 조리해서 따뜻하게 나와서 좋았습니다. 맛은 중간정도 매운맛으로 시켜먹었는데 적당하게 매콤해서 맛있게 먹었네요. 배부르게 먹고갑니다~
나만당할수없지,27,88,3.7,2021.09.19.,5.0,가격대비 양도 많고 양념이 자극적이지 않아서 좋았어요볶음밥 1인분시켰는데 2인분으로 잘못 주문들어가서 1인분은 그냥 서비스로 주셨어요사장님이 친절하셔서 또오고싶네요
요링짱구,3,4,4.0,2021.08.23.,5.0,닭갈비도 너무 맛있고 아주머니 넘 친절하세용! 홍대놀러가면 또 가고싶을정두
보라,26,626,4.2,2021.08.22.,5.0,
산태공 이구연,2,2,4.5,2021.07.11.,4.0,밑에 분이 부정확한 내용으로 1점 평점을 주셔서 바로 잡습니다. 2층에서 인근 1층으로 이전하는 과정에서 잠시 새로운 위치 알리기 이벤트로새로운 매장 위치를 남겨주시는  고객분들께  10% 할인을 드린 것이고 5점을 주면 할인을 드린것은 아니랍니다... 그래서 저는 4점 ~~
클라리사,11,8,4.0,2021.07.07.,5.0,I was quite surprised that I never tried this spot. They have great service. I appreciated that they hire foreigner staff who are quite helpful and friendly too.I love #ddakgalbi so I am quite picky. I liked that they give mini Korean pancake (pajeon) for service and there are 4 different spice levels. We had the cheese ddakgalbi which comes with two types of cheese (yummy ) and level 2 is just right for me. The sauce has balanced sweet and spicy taste which I really liked.At end of your meal don't forget to have fried rice. It's the perfect end of a meal.I would recommend highly especially because the taste and friendly staff !
뚜빈,3,1,5.0,2021.06.30.,5.0,진짜 맛있고 좋아요 여름인데 시원~
조민웅,3,1,4.0,2021.06.30.,4.0,닭갈비랑 볶음밥 다 맛잇어요!
Nilsun Dubai,22,42,4.3,2021.06.30.,5.0,넘 마싰어요 매콤하고 우동사리 누른거 넘 존맛직원 언니들도 다들 친절하셔서 너무 잘 먹었읍니다
뀨뀨,26,106,3.5,2021.06.30.,5.0,넘 맛있어요 양도 많고 다음에 또 올게요 ☺ 치즈랑 같이먹으니까 존맛탱!
김용현,2,1,5.0,2021.06.30.,5.0,맛나요~
햄찌,4,4,4.0,2021.06.29.,5.0,홍대 닭갈비는 여기! 유가네는 약간 특유의 탄맛? 텁텁한 맛? 나는데 여기는 담백하구 괜찮네용~ 맛선택 여러 개 있는데 중간맛 괜찮았어요! 아이들까지 먹기 딱일거같아요ㅎㅎㅎ
김재령,2,2,5.0,2021.06.29.,5.0,너무 맛있어요~~~ 또 오겠습니다 ㅎㅎ
박서연,2,1,5.0,2021.06.29.,5.0,양도 많고 직원분들도 친절하세요!! 넘 마싯게 잘 먹었습니당
린,4,4,4.0,2021.06.29.,5.0,"정말 오랜만에 닭갈비를 먹으러왔습니다!홍대에서 유명한 닭갈비집이라고해서, 기대를 많이 했는데, 역시 기대를 저버리지않네요..!닭갈비는 물론이고, 볶음밥까지 너무 맛있습니다"
💫,11,17,3.2,2021.06.28.,4.0,먹을만 하고 친절한데 긍정적인 리뷰 올리면 10퍼 깎아줘용ㅠㅠ
박지연,2,1,5.0,2021.06.28.,5.0,너무너무 맛있어요!! 홍대오면 꼭 와보세요!!ㅎㅎ
조수아,2,1,5.0,2021.06.28.,5.0,볶음밥까지 배부르게 먹고 갑니다!! 직원분들도 친절하시고 닭갈비 맛있어용
나넹,2,1,5.0,2021.06.28.,5.0,직원이 친절하구 맛있어요! 작은 부침개도 주시는데 것도 맛있어용
진현성,2,1,5.0,2021.06.28.,5.0,짜지도 않고 환상의 비율이 느껴지는 맛이였습니다 ㅎㅎ 치즈랑 쌈무랑 찍어 먹으세요!
주연,3,3,5.0,2021.06.28.,5.0,짱 맛있어요 양도 푸짐하고 닭갈비도 부드러운 것이 아주 만족스럽습니다ㅎㅎ 매콤한 닭갈비 좋아하시는 분들에게 강력추천드립니다!!
