user_name,user_rank,num_response,user_star,time,rating,content
시너,50,327,4.0,2024.02.08.,4.0,"꿔바로우, 온면 맛있었음다음에 이쪽으로 저녁 겸 술집 갈 일 있으면 또 올 예정"
맛있는거조하 :ᴅ,31,74,4.6,2023.09.28.,5.0,양꼬치 냄새 안나고 맛있어요!!!!
수치,24,153,4.5,2023.09.11.,4.0,
나다,24,63,3.6,2023.06.13.,4.0,양꼬치는 이미 다 먹어서 사진이 없네요. 딴 곳보다 살 자체가 두툼하고 냄새 안남. 꿔바로우는 양꼬치 다먹고 20분후에 나옴
유용재,3,3,5.0,2023.06.05.,5.0,냄새 하나도 안나고 맛있네요~
ㅡ,3,3,5.0,2023.06.04.,5.0,내부 깔끔하고 맛도 좋아요 담엔 차 두고 술마시러 갈게요 :)
임병희,2,2,4.5,2023.06.04.,5.0,딸이 하도맛있대서 같이 와봤는데 정말 맛있게먹었네요^^*
임현우,4,5,5.0,2023.06.03.,5.0,맛있게 먹고갔어요~
정호,2,2,5.0,2023.06.03.,5.0,양꼬치존맛
KIM,2,3,5.0,2023.06.02.,5.0,오래된 곳이래서 가봤는데 맛있게 먹고옴 양꼬치 냄새 안나고 부드럽고 굿
임윤수,3,3,5.0,2023.06.02.,5.0,친절하시고 맛있어요 재방문의사 있음
김민제,7,11,5.0,2023.06.02.,5.0,꼬치에서 냄새 1도 안나고 존맛이에요 양꼬치 처음 먹는 친구도 잘먹음
날아라슈퍼보보,12,24,3.8,2023.05.09.,2.0,예전에는 맛났는데 갈수록 고기가 뻑뻑해지고 양도 작아지고 점점 안가게 됩니다…..
majuang,31,127,2.5,2022.11.16.,1.0,환기안되 질식사 할정도 냉장 보관해야할 고기가 술먹는 내내 상온에 그대로방치됨
뚜릌,8,11,4.8,2022.10.07.,4.0,양꼬치는 생이 더 맛있어요 되려 양념된 일반 양꼬치가 냄새나는듯?!
차민호,25,49,3.7,2022.09.28.,1.0,양꼬치 맛은 너무 나쁘지는 않았는데 (밑반찬은 별로) 배달 알림 때문에 홀에서 밥 먹는 내내 정신이 하나도 없음
지구,8,10,4.0,2022.09.26.,1.0,웨이팅 중에 기분 상해서 다른 가게로 갔어요 ^^웨이팅 해야된다해서 20분정도 기다렸는데 저희 이름은 안 적었다고저희 뒤에 있는 팀들 다 들어가면 들어갈 수 있다고 하더라구요?괜히 중국 식당이 아니네요~~ 기다리면 기다리겠는데 친구 생일날 기분만 나빠져서다른 양꼬치 가게 찾아서 갔어요~~ 멀지 않은 곳에 향방양꼬치라고 진짜!! 맛있는 가게 있으니 여기로 가세요 ~!~!~!
