user_name,user_rank,num_response,user_star,time,rating,content
Marius,3,1,5.0,2024.04.19.,5.0,This was my first Korean-BBQ. We ordered the skewerset for 36000Wong. It was enough for 2 persons and tasted delicious. The staff was realy nice and explained us how to eat it properly. We also ordered somaek which is soju+beer. It tastes great and makes fun mixing it.
메에,12,18,3.9,2024.03.13.,3.0,꿔바로우 맛있음. 양꼬치도 나쁘지 않고 평타친다. 그러나 이 가격에 만족스러운 맛은 아님
ㄱ치영,14,28,4.6,2024.03.01.,5.0,양꼬치가 진짜 맛있어요 물만두도 그렇고 또 냉면이 진짜 맛있습니다 양꼬치는 뭐 말할것두 없고요
everything,25,290,4.2,2023.12.21.,5.0,"친절한 사장님, 셀프 데리야끼의 차별화된 맛"
nevertheless,16,19,4.2,2023.11.14.,1.0,맛은 괜찮은데 남직원이 갑자기 와서 양꼬치는 그렇게 빼먹는게 아니라면서 시범을 보여주더니 저한테 먹여주시네요? 사양했는데도 손을 치우지 않으셔서 억지로 입에 넣었어요. 불쾌했습니다. 이제 안가려고요
.,42,294,4.0,2023.10.15.,3.0,맛은 좋았는데 직원태도 살짝 불편한게 있었네요ㅎ ㅎ
여행자,12,10,3.4,2023.10.09.,5.0,양꼬치 온면 맛집
Ray 세웅,3,6,3.7,2023.09.27.,3.0,
azossii,65,582,4.9,2023.09.21.,5.0,"양꼬치 양갈비 근본집,, 메뉴도,,무난,, 대기 항시 있는 곳,,,행복은,,, 어디에나 있는 것,,, ^^  @azossii"
치즈토끼,33,259,4.4,2023.08.24.,4.0,맛있어요 양고기 냄새 별로 안 나고 좋아요꿔바로우도 굿굿
철철,7,43,3.7,2023.08.19.,3.0,
LIA,26,54,4.5,2023.08.02.,4.0,오랜만에 갔는데 여전히 양꼬치 무난히 맛있어요. 예전엔 웨이팅 하고 사람이 많았는데 지금은 그정도는 아니라 오히려 가기 편해요.
053,22,46,4.0,2023.07.04.,3.0,
날아라슈퍼보보,12,24,3.8,2023.05.09.,4.0,뭐 워낙 유명해서. 여기 다닌지 십년 넘었는데양고기된찌 있으니까 다들 먹어보시길. 다른거는 기본기본인데 양고기된찌로 가야할 이유 있음!!
하이,6,7,4.0,2023.05.06.,5.0,
HH,2,5,4.4,2023.05.03.,4.0,
티미,12,25,4.4,2023.03.07.,4.0,친구는 jmt이라는데 나는 쏘쏘개인적으로 좀 기름진걸 좋아해서 그럴수도?꼬치 몇개였는진 기억안나는데 양이 많게 느껴졌음
묭,13,46,4.6,2023.02.24.,5.0,
ㅋㅆㅇ,37,695,3.8,2023.01.21.,4.0,
.,12,15,4.3,2022.11.27.,4.0,분위기가 어수선하긴 해요. 근데 기본은 하는 맛이고 친절하십니다. 향취새우는 완전 술안주에요 맛있었어요~
매달식대로200,33,199,3.6,2022.07.08.,4.0,이렇게 후한 사람이 아닌데 좋아요
길음동빵순이,33,97,4.1,2022.03.14.,5.0,오리지널 양꼬치 너무 맛있어요.. 꿔바러우 촉촉 넘 부드럽.. 양도 많구 꼭 시키세요
맛도리,36,161,3.3,2021.09.29.,4.0,고기질도 좋고 맛있었어요
부넝,27,86,3.4,2021.07.02.,4.0,"넘 마싯,, 다만 안에 연기가 안빠지는지 들어가면 안개가 자욱합니다,,"
꿀꿀,13,626,3.9,2021.06.30.,4.0,
박서진,2,15,4.3,2021.05.12.,4.0,
lullu,8,15,3.2,2021.04.30.,4.0,
보,20,47,3.7,2021.03.29.,4.0,못된녀석 별로안매움 꿔바로우 맛집
곽만근,18,44,4.1,2020.10.22.,4.0,양꼬치맛있가지튀김 소스 맛있는데 넘빨리 물림
미마무,9,14,3.2,2020.07.23.,1.0,맛은 평타서비스는 최악악악악단체로 시위하는 것 처럼 대답 한마디도 안하고쓰윽 쓰윽 접시는 툭툭 기분 더러워짐.그리고 가게 조명이 어두워서 잘 안보이지만 위생적이지 않은 것 같습니다.. 제발 다른 곳 가세요 ㅠ 여기보다 맛있는데 훨 많아요
스님,58,723,3.9,2020.04.21.,1.0,카레양꼬치가 아주 맛이 좋습니다하지만 4/21 화요일 6시대에 서빙한밝은 염색모 덩치큰 남직원 태도가 아주 안 좋아 별점 내립니다손님이 무언가를 요청했는데 대답도 없이 테이블 떠나는건 무슨 예의인지 ? 갖다줄 때도 아무 말 없이 물건만 갖다 주고 사라지네요일행이 “감사합니다” 라고 두 번씩 말했는데도대답도 없고 ㅋㅋ
aa,43,661,3.6,2019.05.11.,4.0,"개인적으로 가 본 양꼬치 집 중에 제일 맛있는 것 같아요. 초보자도 쉽게 먹을 수 있는 맛이에요. 옥수수온면, 냉면 다 맛있어요. 꿔바로우는 그럭저럭입니다.화장실은 너무너무너무너무 좁고 더러워요. 그리고 가게 바닥에 바퀴벌레 기어다니는 걸 본 적이 있어요. 맛에서는 별 5개인데 이런 청결 면에서 신경이 쓰이고..그런데 1층이다 보니 이해가 가다가도 애증의 맛집 ㅠㅠㅠ"
pj,27,108,3.2,2019.03.10.,4.0,괜찮다옥수수국수는 필수다
형,44,298,2.8,2019.01.10.,3.0,(3.3점)양갈비는 만족도가 꽤 높음.나머진 내 예상대로.중국식 양꼬치는 내가 좋아하는 직화방식을 쓰고도 또 내가 좋아하는 양고기임에도 불구하고 굳이 일부로는 찾아가지 않는 음식. 게다가 양꼬치 집에서 먹은 양갈비도 맛있게 먹은적은 그리 많지 않음.딴건 몰라도 여긴 양갈비 만큼은 괜찮았음.2018. 12. 26 첫방문2019. 01. 09. 두번째 방문- 양꼬치평타는 한다.- 양갈비내가 경험한 중식 양고기집 중에선 젤 괜찮음.다른 곳보다 육즙이 풍부.- 옥수수 국수식당이라는 관점에서 보면 많이 비싸다.술집이라 생각하면 조금 비싸다.겨울이어서 따뜻한 국물이 필요.나쁘지 않았다.- 꿔바로우서비스라서 말 안할란다.- 꽃빵튀김이것도 서비스.
혜리,28,66,4.3,2018.05.30.,4.0,오리지널보단 양념파인 나한테 심양은 최고 bbb못된양꼬치 매콤하니 핵꿀맛꿔바로우는 그냥저냥 먹을만하당주방마감시간은 3시 30분! 이후에는 주문을 못하니미리미리 들어가세융
Choi Dong Sik,45,350,4.0,2018.01.19.,4.0,"평범하다면 평범하지만 저렴한 가격에 양꼬치ㄹ 만날 수 있음.다만 금,토의 경우 웨이팅이 있을 수 있다."
웨인(kojjab),15,531,3.6,2018.01.13.,3.0,별루
으뜸,21,70,4.0,2017.09.22.,4.0,와! 하는 느낌은 아니지만 무난하게 맛있아요
공과장,48,484,3.5,2016.03.28.,4.0,
블블,68,949,4.1,2016.03.09.,2.0,심양 청담본점 이태원점 홍대점 다 가봤는데 본점>>>>>>이태원점>>>>>>홍대점 순으로 괜찮았다 홍대점 제일 별로다. 일단 쯔란 너무 짜고  양꼬치는 오래된 양고기 냄새 너무 많이 남ㅠ 꿔바로우도 그닥
만석이,34,146,3.7,2016.01.04.,4.0,카레양꼬치 엔 친따오
