user_name,user_rank,num_response,user_star,time,rating,content
😎,10,17,3.8,2024.03.10.,1.0,욕나옴
산나비,25,76,3.7,2024.01.23.,4.0,추억이 많은가게.  뭐 맛으로 가는가게는 아니고 분위기로 가는곳이니..
kkjj,1,1,1.0,2023.08.27.,1.0,처음가봤습니다. 바텐더나 안에 직원분들은 친절하고 좋았는데 밖에 도장 찍는 알바들이 진짜 불친절하네요. 손님한테 싸가지없게 항상 소리지르면서 시비조로 말함. 외국인한테도 똑같음 다신 안갈듯
냠냠이,5,5,3.4,2023.05.28.,5.0,최고👍🏻
박준서,5,2,5.0,2023.05.14.,5.0,외국 펍 분위기랑 제일 흡사한 한국에 있는 펍 같아요!
여기저기,9,12,2.0,2023.04.22.,1.0,바 직원이랑 매니저 교육 시키세요. 친구들이랑 놀러 갔다가 정신병 있냐는 소리 듣고 다같이 나왔어요. 외부음식 안 된다고 해서 봉투에 넣었더니 싸우자는 건지 다시 와가지고 가방에 넣으라고.. 직원이 무슨 봉투 뺏고 난리를 치길래 어이가 없어서 매니저랑 얘기 좀 하려고 했더니 정신병 있냐는 말도 안되는 소리 듣고.. 와… 8년동안 온 바인데 이런 일은 처음이네요. 살면서 처음이에요.. 주변에서 직원들 싸가지 없고 손님들이랑 싸움 일으킨다고 듣고 보긴 했는데.. 이게 저한테 일어났어요. 장사 잘 된다고 막 하는건가요?
정기웅,2,1,5.0,2023.04.13.,5.0,
세균,42,92,4.8,2023.03.10.,5.0,외국인도 많고 분위기 아주 굿
Dra,32,148,3.8,2022.11.13.,4.0,가드분은 괜찮은데.. american mule은 아무리 가격 고려해도 진저비어를  거의 아예 안넣은거같은데..?
valerie gabriella,3,12,3.3,2022.10.21.,1.0,
딘다,2,1,1.0,2022.08.15.,1.0,아 진짜 직원이 싸가지 없어요.
궁동동,1,6,1.7,2021.10.02.,1.0,
J,15,36,4.3,2020.05.12.,1.0,내부 분위기는 재미있고 좋은데 가드직원이 입이 험하고 싸가지 없던 기억.. 괜히 입열지 말고 일만하셨으면 좋겠어요.마지막 방문일은 2019년 초라 지금은 모르겠네요
dannyR,2,1,2.0,2019.08.31.,2.0,"fun bar to meetinf foreigners, but the staff are super aggressive and rude... the 30kg door guy tried to push my friend over which was a pretty funny standup act."
루시,45,373,4.3,2017.12.21.,5.0,분위기 좋은 술집!!! 예거밤 맛있어용
최호영,11,"1,041",3.0,2017.01.31.,2.0,
